NT [1]    Carotid_Notch_Bulla / absent present,
X [2]    Promontorial_Groove / present absent,
X [3]    Carotid_Foramen / absent present,
X [4]    Stapedial_Groove / present absent,
X [5]    Ramus_Sup._For. / present absent,
NT [6]    POSITION_for_ram_sup / lateral anterolateral,
X [7]    size_pgf,
NT [8]    Postglenoid_For. / squamosal suture absent,
X [9]    Mastoid_Foramen / present absent,
X [10]   Posttemporal_canal / present absent,
X [11]   Subarcuate_Fossa / present absent,
X [12]   Inflation_Tegmen_Tympani / uninflated inflated hyperinflated,
X [13]   Anterior_Proc_Petr / absent present,
X [14]   Tensor_Tympani_Fossa / shallow 'circular pit, no groove' 'circular pit, anterior groove' long_groove_between_tegmen_tymp,
X [15]   Stylomastoid_Foramen / complete incomplete,
X [16]   'Petrosal/Basioccpital' / present absent,
X [17]   Ectotympanic_Bulla / ring 'medial edge = bulla',
NT [18]   Bullar_Cavity / open cancellous,
NT [19]   Pachyo_Bulla / absent present,
NT [20]   Lat_furrow_Bulla / absent present,
NT [21]   Inflation_Tymp._Bulla / absent same_level_as_condyles 'present, ventral to condyles',
NT [22]   Bullar_Expansion / absent bulla_notched medial_expansion lateral_expansion stylohyal_surrounded,
X [23]   Stylohyal_Orient / ventral anteroventral,
NT [24]   Art_Bulla_to_Squamosal / 'contact broad, with medial pgp' cirucular_facet_on_short_entogl contact_with_crest_of_entogleno co
NT [25]   'Tymp/Exocc contact' / absent present,
X [26]   Sigmoid_Process / absent present,
NT [27]   Sigmoid_process_shape / thin_and_transverse_plate broad_and_flaring,
X [28]   EAM_Tympanic_Floor / absent present_but_short present_and_long,
X [29]   'Basioccipital crests (falcate p' / absent present,
X [30]   Paroccipital_Proc. / short intermediate elongate,
X [31]   Post._Edge_Squamosal / flat sharply_upturned bears_dorsal_process,
X [32]   Lambdoidal_Crest / present absent,
NT [33]   Sagittal_Crest_Height / absent_to_very_small 'present, small' 'present, large' 'present, expanded',
NT [34]   Dorsal_Edge_Braincase / posterodorsal level posteroventral,
X [35]   Facial_Nerve_Sulcus / absent ant_wall_squamosal ant_wall_petrosal ant_wall_tympanic,
X [36]   Length_Mastoid_Proc / absent short long hypertrophied,
NT [37]   Lateral_Exp._Mastoid / present absent,
NT [38]   Mastoid_exp / exposed_externally not_exposed_posteriorly,
X [39]   Mastoid_angle,
X [40]   EAM_length,
X [41]   Postgl._Proc._Morph. / ridge rod,
X [42]   New_Glenoid / concave flat convex,
X [43]   Post._Edge_Glenoid_Fossa / flat notched_and_concave,
X [44]   Preglenoid_process / absent present,
X [45]   Posit_For_Ovale / ant_to_gf med_to_gf,
X [46]   Post._Edge_For._Ovale / alisphenoid petrosal squamosal,
X [47]   Zygoma_Height / narrow high dorsally_expanded,
X [48]   Zygoma_Direction / posterolateral posterior,
X [49]   Alisphenoid_Canal / absent present,
X [50]   Foramen_Rotundum / absent present,
X [51]   'Alisphenoid/Frontal' / contact_present contact_absent,
X [52]   'Contact Front/Max' / absent present,
X [53]   Supraorbital_Horns / absent 'present, unbranched' 'present, branched',
X [54]   Supraorbital_process / absent present,
X [55]   Postorbital_Pr._Jugal / absent 'present, no frontal contact' 'present, contacts frontal',
X [56]   Ventral_Edge_Orbit / projects_dorsally projects_laterally,
X [57]   Position_Orbit / Premolar first_M second_M third_M,
X [58]   Lacrimal_Tubercle / absent present,
X [59]   Lacrimal_foramina / two one highly_reduced absent,
X [60]   Facial_Lacrimal / restricted_to_edge facial_present expanded greatly_expanded,
X [61]   Lacrimal_Fossa / absent present,
X [62]   Facial_fenestra / absent present,
X [63]   Ant._Edge_Jugal / Premolar first_M second_M third_M,
X [64]   Elongation_Face / short long elongate,
X [65]   Infraorbital_Canal / over_M1_or_P4 between_P3P4 anterior_or_over_P3,
X [66]   lat_surface_maxilla,
X [67]   Posterior_Edge_Nasal / anterior_orbit over_orbit,
X [68]   Size_Palatine_Fissures / enlarged small absent,
X [69]   Palate_vaulting,
X [70]   Embrasure_pits / absent present,
X [71]   Post_margin_nares / anteriorover_canines between_P1_and_P2 posterior_to_P2,
X [72]   Angular_Process / curved dorsal_hook,
X [73]   Dentary_angle / level_with_ventral_edge below_ventral_edge,
X [74]   Mandibular_Foramen / small large,
X [75]   Coronoid_Process / short long elongate,
X [76]   Coronoid_Height / low high highest,
X [77]   Concavity_Mandible / absent present,
X [78]   Height_Dentary_Condyle / low high very_high,
X [79]   Dentary_Ramus / no_thickening 'thickens from m1-m3',
X [80]   Symphysis,
X [81]   'Upp Inc 1-2' / present all_absent,
X [82]   Incisor_Alignment / transverse_arc 'longitudinal, long prema',
NT [83]   Lower_Incisors / pointed spatulate 'peg-shaped' 'tusk-like',
X [84]   Upper_canine / short elongate,
NT [85]   Lower_Canine / larger_than_incisors same_size smaller,
NT [86]   Canine_shape / oval triangular,
NT [87]   Canines,
X [88]   P1_presence / absent 'present one-rooted' 'present two-rooted',
NT [89]   p1 / present absent,
NT [90]   Lower_P1_Morph / low caniniform molariform,
NT [91]   P3_roots / three two,
NT [92]   p3_metaconid / absent present,
NT [93]   P4_protocone / present absent,
NT [94]   P4_paracone_height / equal_to_paracone_M1 greater_than_twice_M1_paracone,
NT [95]   P4_metacone / absent present,
NT [96]   P4_ectocingulum,
NT [97]   p4_metaconid / absent present,
NT [98]   dp4 / resembles_m1 6_cusped,
NT [99]   M1_parastyle / absent weak strong,
NT [100]  m1_metaconid / present absent,
NT [101]  M2_metacone / subequal_to_paracone half_paracone highly_reduced,
NT [102]  m2_metaconid / present absent,
NT [103]  M3 / 'present, larger than M2' 'present, approx. equal M2' reduced absent,
NT [104]  m3_metaconid / present absent,
NT [105]  M3_Hypoconulid / long reduced absent,
NT [106]  Para_posit,
NT [107]  Stylar_shelves,
NT [108]  Ectocingula / present absent,
NT [109]  Mesostyle,
NT [110]  Paraconule_Molars / present reduced absent,
NT [111]  Cusp_number / 2_cusps 1_cusp no_cusps,
NT [112]  protoloph / absent present,
NT [113]  metaloph / absent present,
NT [114]  lin_cing_molars / absent 'continuous, mesial-distal',
NT [115]  'TEMP m1 parac/crist posit' / cusp_or_crest_lingual 'cusp or crest ant.betw pr-pa',
NT [116]  m1_m2_hypoconulid / absent present,
NT [117]  Hypolophid / absent present,
NT [118]  Metastylid / absent present,
NT [119]  Entoconulid / absent present,
NT [120]  protoconid / subequal_to_talonid twice_height_of_talonid,
NT [121]  ant_low_lophs / absent present,
NT [122]  Reen_groove / proximal absent distal,
NT [123]  Talonid_basin / 'basin, hy and ent present' reduced absent,
X [124]  Occipital_Cond_Ridge / rounded clear_ridge,
X [125]  Occipital_Condyle_Edge / tapers_medially flared_laterally,
NT [126]  Odontoid_Axis / anterior_peg 'spout-like' double_trough,
X [127]  Atlantoid_Facet_Axis / low high,
X [128]  Cerv_vert_length / short long very_long,
X [129]  Arterial_Canal_Cerv / post_open_external post_open_internal,
NT [130]  'Art Sacral/Illium' / broad narrow absent,
X [131]  Number_Sacrals / one two_or_three four five_or_six,
X [132]  Scapular_Spine / 'large acromion, overhangs gleno' small_acromion 'large acromion, does not overha',
X [133]  Supraspinatus,
X [134]  Entepicondyle / wide narrow,
X [135]  Entepi_foramen / present absent,
X [136]  Medial_Edge_Trochlea / restricted expanded,
X [137]  Intercondylar_Ridge / absent present,
X [138]  Olecranon_process / short long,
X [139]  Posterior_Edge_Ulna / convex straight concave,
X [140]  'Radius/Ulna' / separate fused_distally fused_proximally,
X [141]  Proximal_radius / single_fossa two_fossae three_fossae,
X [142]  Distal_radius / single_fossa split_into_scaphoid_and_lunate,
X [143]  Centrale / present absent,
X [144]  'Magnum/Trapezoid' / separate fused,
X [145]  Hand_Symm / between_2_and_3 mesaxonic paraxonic axis_along_4,
NT [146]  'Metacarpal/Magnum' / contact_present 'absent, excl. 3 metacarpal',
X [147]  Digit_2_Forelimb / long reduced,
X [148]  Width_2_Metacarpal / wide constricted very_narrow absent,
X [149]  Digit_5_Forelimb / long reduced,
X [150]  Width_5_Metacarpal / wide constricted very_narrow absent,
NT [151]  Greater_troch / inferior_to_head_of_femur equal_to_head_of_femur above_head_of_femur,
NT [152]  3rd_troch / present highly_reduced absent,
NT [153]  Distal_Femur / wide narrow,
NT [154]  'Tibia/Fibula' / separate fused_proximally fused_distally,
NT [155]  Fibula_Completeness / complete incomplete,
NT [156]  Proxi_astrag / flat grooved deeply_grooved,
NT [157]  Astragalar_Canal / absent present,
NT [158]  Navicular_Facet / convex flat 'saddle-shaped' trochleated,
NT [159]  Cuboid_facet / absent 'present-small' present_transverse,
NT [160]  Axes_of_Astragalus / obtuse parallel,
NT [161]  Lateral_Astragalus / concave flat,
NT [162]  Lateral_Proc_Astrag / present absent_indistinct,
NT [163]  Sustentacular_facet / narrow wide,
NT [164]  Sustentacular_Facet / separate_from_distal_facet partly_connected completely_connected,
NT [165]  'Calcaneus/Cuboid' / flat sharply_angled,
NT [166]  'Nav/Cub fusion' / unfused fused,
NT [167]  'CuboNav/Ectocuneif' / separate fused,
NT [168]  'Ectocuneiform/Meso' / separate fused,
NT [169]  Pes / 'mesaxonic-3' paraxonic 'mesaxonic-4',
NT [170]  Digit_1 / unreduced reduced highly_reduced,
NT [171]  Digit_2_Hindlimb / long reduced_phalang reduced_metatars,
NT [172]  Width_2_Metatarsal / wide constricted very_narrow medial_part_absent,
NT [173]  Digit_5_Hindlimb / long reduced_phalanges,
NT [174]  Width_5_Metatarsal / wide constricted very_narrow,
NT [175]  Elong._Metatarsal_3 / short long elongate,
NT [176]  Metapodial_Keels / absent present 'present, extended anter',
NT [177]  'm3/m4 fusion' / absent present,
NT [178]  '3/4 Metatarsals' / gully_absent present,
NT [179]  Unguventral / curved_inferiorly straight,
NT [180]  Ungdorsal / transversely_compressed 'broad, symmetrical' 'broad, asymmetrical',
X [181]  Hair / abundant absent_or_sparse,
X [182]  sebac_glands / present absent,
X [183]  fornix_expansion,
X [184]  omasum,
X [185]  Cavernous,
X [186]  Lung_bronchi,
