I? [1]    Cervical_groove / present absent,
T [2]    'Mandibular (genal or cheek) groove' / 'smoothly indented, or with acute indentation' absent,
I? [3]    Mandibular_notch / present absent,
I? [4]    Clypeal_notch / present absent,
I? [5]    Antennal_notch / present absent,
X [6]    'Pereonites 2-7 in dorsal view (relative lengths)' / longer_than_wide wider_than_long anteriorly_longer_than_wide_decreasing_posteriorly_to_wider_than_long,
X [7]    'Coxal articulation of pereonites 2-4' / free nearly_fused_or_fused,
X [8]    'Coxal articulation of pereonites 5-7' / free nearly_fused_or_fused,
N [9]    Sternal_processes_on_sternites / present absent,
T [10]   'Typhlosole (form in cross-section)' / 'well developed, ventral invagination forming double spiral in cross section' 'intermediate, ventral invagination forming Y shape in cross section' 'minimal, ventral invagination forming laminar projection or inverted u shape i
X [11]   'Pleonites in lateral view (depth of ventrolateral plates relative to pereonites)' / 'much deeper than pereonites, with large pleurae, basal region of pleopods not visible' 'having depth approximating depth of pereonites, with small pleurae, basal region of pleopods
X [12]   Pleonites_with_pleonite_1_pleura / 'distinctly shallower than pleurae of pleonites 2-5' 'near depth of pleurae of pleonites 2-5',
T [13]   Pleonite_5_ventral_margin_shape / 'subparallel to dorsal margin along length, not sinuate posteriorly' sinuate,
X [14]   Pleotelson_form / 'shallow (lateral fields sloping)' 'vaulted (lateral fields vertical)',
X [15]   Pleotelson_dorsal_surface_shape_in_lateral_view / evenly_curving strongly_inflected_ventrally,
X [16]   Pleotelson_dorsal_surface_setae / lacking_simple_setae sparsely_covered_with_fine_setae covered_with_abundant_curled_simple_setae covered_with_abundant_elongate_setae densely_covered_with_cuticular_hairs_and_setae with_abundant_robust_setae,
X [17]   Pleotelson_dorsal_surface_median_ridge / absent present,
X [18]   Pleotelson_dorsal_surface_lateral_ridges / continuous_with_posterior_apex absent,
X [19]   Pleotelson_lateral_length_versus_depth / less_than_depth_or_subequal_to_depth greater_than_depth,
X [20]   Pleotelson_ventral_surface_anterior_to_uropods / strongly_concave 'flattened, only slightly concave',
X [21]   Pleotelson_ventral_margin_anterior_to_uropods_robust_setae / with_robust_setae with_distally_denticulate_setae_in_one_row with_distally_denticulate_robust_setae_in_two_rows with_fine_setae_only,
X [22]   Pleotelson_ventral_margin_relative_lengths_of_robust_setae_anterior_to_uropods / posterior_seta_longer_than_anterior_adjacent_setae posterior_seta_length_subequal_to_anterior_adjacent_setae posterior_seta_shorter_than_anterior_adjacent_setae,
X [23]   Pleotelson_postanal_ventral_surface / 'present (apical margin and anus separated by cuticular surface)' 'absent (anus adjacent to apical margin)',
T [24]   Pleotelson_postanal_ventral_surface_ornamentation / 'unelaborated, or with fine setae on ridge' 'with robust setae (not on ridge)' with_robust_setae_on_ridge with_groove_forming_cleft_in_posterior_apex,
X [25]   Pleotelson_lateral_uropodal_ridge / terminating_at_pleotelson_margin_above_uropods curving_strongly_and_extending_posteriorly_from_uropods absent,
T [26]   Pleotelson_lateral_uropodal_ridge_setae / with_row_of_robust_setae with_1_robust_seta with_fine_simple_setae lacking_setae,
X [27]   'Pleotelson posterolateral margin, differentiation from apex' / uninterrupted with_distinct_inflection_differentiating_apex,
X [28]   Pleotelson_posterolateral_margin_shape / forming_rounded_process_with_dorsally_projecting_setae crenate forming_vertical_plate forming_rounded_lobe unelaborated,
T [29]   'Pleotelson posterolateral margin (shape if lobe-like)' / curving_dorsally depressed_ventrally_and_posteriorly_angular,
T [30]   'Pleotelson posterolateral margin robust setae (if plates or rounded lobes presen' / without_robust_setae with_one_position_with_robust_setae with_two_positions_with_robust_setae_with_intermediate_setae with_two_positions_with_robust_setae_without_intermediate_setae
T [31]   'Pleotelson posterolateral margin dorsal robust setae (if plates or lobes present' / with_one_robust_seta 'with multiple robust setae, ventrolateral seta' 'with multiple robust setae, ventrolateral setae subequal to dorsomedial setae',
T [32]   'Pleotelson posterolateral margin submarginal seta near inflection point (if plat' / present absent,
T [33]   'Pleotelson posterolateral margin dorsolateral surface robust setae (if lobe-like' / absent adjacent_to_margin set_anteriorly_from_margin,
T [34]   'Pleotelson posterior apex shape in dorsal view (if postanal ventral surface pres' / projecting indented transverse,
T [35]   'Pleotelson posterior apex (flattened or not)' / 'free (not flattened)' strongly_reflexed_and_flattened_against_dorsal_surface,
T [36]   'Pleotelson posterior apex projections (if postanal ventral surface absent)' / with_small_rounded_tubercle without_projections,
T [37]   'Pleotelson posterior apex length in lateral view(if projecting)' / 'very long (> 0.295 pleotelson length)' 'long (0.120-0.295 pleotelson length)' 'short (< 0.119 pleotelson length)',
T [38]   'Pleotelson posterior apex shape in dorsal view (if protruding freely)' / elongate broadly_rounded quadrate,
T [39]   Pleotelson_posterior_apex / visible_in_lateral_view obscured_by_posterolateral_margin_in_lateral_view,
T [40]   Pleotelson_posterior_apex_robust_setae / absent with_1_pair_of_robust_setae with_2_pairs_of_robust_setae with_3_pairs_of_robust_setae with_4_pairs_of_robust_setae,
X [41]   'Antennula articles (in male)' / more_than_6_articles 6_or_fewer_articles,
X [42]   Antennula_article_3_rudimentary_second_flagellum / present absent,
X [43]   'Antennula article 4 length (relative to article 3)' / shorter 'subequal (ratio 0.95-1.05)' longer,
T [44]   'Antennula terminal article shape (taxa with more 6 articles in male)' / tubular globular 'distally oblique, with 2 or more groups of aesthetascs' conical 'tiny, vestigial',
T [45]   'Antennula terminal article length relative to penultimate article (taxa more tha' / shorter subequal longer,
T [46]   Antennula_penultimate_article_length / longer_than_any_other_article 'length approximately sub-equal to, or less than length of other articles',
T [47]   'Antennula articles 5-6 shape (taxa with 6 or fewer articles in male)' / inflated_and_bulbous width_subequal_to_article_4 article_5_only_inflated_and_bulbous,
T [48]   'Antennula article 5 length relative to  article 6 (taxa with 6 or fewer articles' / subequal_or_less greater article_6_not_expressed,
T [49]   'Antennula penultimate and ante-penultimate articles shape in cross section' / flattened 'oval, or circular',
