'hits','time','dataset','length'
9,0.640659093856812,"Vinther2008.nex",76
14,1.64665508270264,"Vinther2008.nex",76
10,0.250015020370483,"Vinther2008.nex",76
7,0.67191219329834,"Vinther2008.nex",76
9,0.734601974487305,"Vinther2008.nex",76
8,0.85942006111145,"Vinther2008.nex",76
40,2.06260585784912,"Vinther2008.nex",76
2,0.0312519073486328,"Vinther2008.nex",76
7,0.593780994415283,"Vinther2008.nex",76
8,0.453149080276489,"Vinther2008.nex",76
7,0.234386920928955,"Vinther2008.nex",76
60,2.23431801795959,"Vinther2008.nex",76
6,0.343769073486328,"Vinther2008.nex",76
8,0.57815408706665,"Vinther2008.nex",76
4,0.296885013580322,"Vinther2008.nex",76
9,0.265640020370483,"Vinther2008.nex",76
8,0.156258106231689,"Vinther2008.nex",76
25,1.51570510864258,"Vinther2008.nex",76
9,0.218760967254639,"Vinther2008.nex",76
10,0.234388113021851,"Vinther2008.nex",76
15,0.812546014785767,"Vinther2008.nex",76
15,0.453150987625122,"Vinther2008.nex",76
11,0.755731105804443,"Vinther2008.nex",76
60,2.73451709747314,"Vinther2008.nex",76
13,0.390645980834961,"Vinther2008.nex",76
7,0.515651941299438,"Vinther2008.nex",76
14,2.50054907798767,"Vinther2008.nex",76
13,0.656285047531128,"Vinther2008.nex",76
40,1.8438458442688,"Vinther2008.nex",76
11,0.343768835067749,"Vinther2008.nex",76
4,0.140633106231689,"Vinther2008.nex",76
11,0.343766927719116,"Vinther2008.nex",76
11,0.250014066696167,"Vinther2008.nex",76
15,0.343770027160645,"Vinther2008.nex",76
14,0.765666007995605,"Vinther2008.nex",76
11,0.406271934509277,"Vinther2008.nex",76
6,0.250013113021851,"Vinther2008.nex",76
11,0.468774080276489,"Vinther2008.nex",76
2,0.0312559604644775,"Vinther2008.nex",76
200,7.95190715789795,"Vinther2008.nex",76
9,0.441253185272217,"Vinther2008.nex",76
10,0.593786001205444,"Vinther2008.nex",76
2,0.0781300067901611,"Vinther2008.nex",76
4,0.15283203125,"Vinther2008.nex",76
8,0.368442058563232,"Vinther2008.nex",76
200,10.1875519752502,"Vinther2008.nex",76
4,0.153748989105225,"Vinther2008.nex",76
11,0.312517881393433,"Vinther2008.nex",76
3,0.125006914138794,"Vinther2008.nex",76
200,8.4892041683197,"Vinther2008.nex",76
14,0.651550054550171,"Vinther2008.nex",76
5,0.450299978256226,"Vinther2008.nex",76
5,0.163110017776489,"Vinther2008.nex",76
14,0.332221984863281,"Vinther2008.nex",76
3,0.0610408782958984,"Vinther2008.nex",76
8,0.316213130950928,"Vinther2008.nex",76
3,0.139091968536377,"Vinther2008.nex",76
15,0.821483850479126,"Vinther2008.nex",76
3,0.0781300067901611,"Vinther2008.nex",76
12,0.430107831954956,"Vinther2008.nex",76
10,0.562529802322388,"Vinther2008.nex",76
2,0.0781309604644775,"Vinther2008.nex",76
13,0.556716918945312,"Vinther2008.nex",76
13,1.01267695426941,"Vinther2008.nex",76
40,1.61877608299255,"Vinther2008.nex",76
5,0.328144073486328,"Vinther2008.nex",76
9,1.55140900611877,"Vinther2008.nex",76
4,0.125009059906006,"Vinther2008.nex",76
9,0.830889940261841,"Vinther2008.nex",76
2,0.0213301181793213,"Vinther2008.nex",76
14,0.807837009429932,"Vinther2008.nex",76
5,0.129086017608643,"Vinther2008.nex",76
9,0.336225032806396,"Vinther2008.nex",76
100,4.21830201148987,"Vinther2008.nex",76
25,0.865445137023926,"Vinther2008.nex",76
16,0.959877967834473,"Vinther2008.nex",76
3,0.109380006790161,"Vinther2008.nex",76
60,2.72773694992065,"Vinther2008.nex",76
8,0.628635883331299,"Vinther2008.nex",76
25,1.45125603675842,"Vinther2008.nex",76
14,0.535444021224976,"Vinther2008.nex",76
5,0.433071136474609,"Vinther2008.nex",76
15,1.94403886795044,"Vinther2008.nex",76
11,0.451815843582153,"Vinther2008.nex",76
5,0.140632152557373,"Vinther2008.nex",76
6,0.125008106231689,"Vinther2008.nex",76
14,1.12506008148193,"Vinther2008.nex",76
100,4.48380208015442,"Vinther2008.nex",76
8,0.537796974182129,"Vinther2008.nex",76
40,1.63387894630432,"Vinther2008.nex",76
16,1.22680187225342,"Vinther2008.nex",76
2,0.0312528610229492,"Vinther2008.nex",76
11,0.437520980834961,"Vinther2008.nex",76
25,0.867649078369141,"Vinther2008.nex",76
8,0.531276941299438,"Vinther2008.nex",76
11,0.3281409740448,"Vinther2008.nex",76
100,4.29944491386414,"Vinther2008.nex",76
25,1.90026903152466,"Vinther2008.nex",76
60,2.65377283096313,"Vinther2008.nex",76
9,0.409272909164429,"Vinther2008.nex",76
13,0.624415874481201,"Vinther2008.nex",76
60,2.93195796012878,"Vinther2008.nex",76
14,1.02168393135071,"Vinther2008.nex",76
40,1.59706783294678,"Vinther2008.nex",76
13,2.16744685173035,"Vinther2008.nex",76
11,0.485323905944824,"Vinther2008.nex",76
100,3.43152093887329,"Vinther2008.nex",76
4,0.116076946258545,"Vinther2008.nex",76
15,0.272669076919556,"Vinther2008.nex",76
2,0.161454916000366,"Vinther2008.nex",76
16,0.687537908554077,"Vinther2008.nex",76
2,0.140633106231689,"Vinther2008.nex",76
10,0.43159818649292,"Vinther2008.nex",76
40,2.28903698921204,"Vinther2008.nex",76
12,0.453150033950806,"Vinther2008.nex",76
6,0.218762159347534,"Vinther2008.nex",76
10,0.437524795532227,"Vinther2008.nex",76
8,0.343770027160645,"Vinther2008.nex",76
25,1.10943508148193,"Vinther2008.nex",76
13,0.578158140182495,"Vinther2008.nex",76
7,0.656286954879761,"Vinther2008.nex",76
8,0.718793153762817,"Vinther2008.nex",76
40,1.74993300437927,"Vinther2008.nex",76
100,4.00044393539429,"Vinther2008.nex",76
6,0.218763113021851,"Vinther2008.nex",76
13,0.265640020370483,"Vinther2008.nex",76
3,0.2812659740448,"Vinther2008.nex",76
13,0.75003981590271,"Vinther2008.nex",76
25,0.93755316734314,"Vinther2008.nex",76
40,1.54695606231689,"Vinther2008.nex",76
15,0.656286001205444,"Vinther2008.nex",76
9,0.234387874603271,"Vinther2008.nex",76
10,0.515653133392334,"Vinther2008.nex",76
