"","ambiguous","ambigAbsent","extraState","inapplicable"
"ambiguous",761,765,1035,781
"ambigAbsent",761,765,1035,781
"extraState",798,799,1024,840
"extraState",784,785,1024,823
"extraState",795,796,1024,829
"extraState",784,786,1024,824
"extraState",787,788,1024,827
"extraState",795,797,1024,838
"extraState",795,796,1024,836
"extraState",783,785,1024,822
"extraState",784,785,1024,816
"extraState",794,796,1024,836
"extraState",783,785,1024,820
"extraState",785,786,1024,817
"extraState",795,797,1024,837
"extraState",796,797,1024,830
"extraState",785,786,1024,814
"extraState",794,796,1024,834
"extraState",784,786,1024,823
"extraState",796,797,1024,827
"inapplicable",762,766,1036,778
"inapplicable",765,768,1036,778
"inapplicable",762,766,1035,778
"inapplicable",765,769,1037,778
