"","ambiguous","ambigAbsent","extraState","inapplicable"
"ambiguous",804,863,1007,890
"ambiguous",804,863,1007,890
"ambiguous",804,863,1010,892
"ambiguous",804,863,1009,890
"ambiguous",804,863,1009,890
"ambiguous",804,863,1008,892
"ambiguous",804,865,1013,895
"ambiguous",804,863,1010,892
"ambiguous",804,863,1008,892
"ambiguous",804,863,1009,890
"ambiguous",804,863,1009,890
"ambiguous",804,863,1008,892
"ambiguous",804,863,1007,890
"ambiguous",804,863,1007,890
"ambiguous",804,865,1013,895
"ambiguous",804,863,1009,890
"ambiguous",804,863,1009,890
"ambiguous",804,863,1009,890
"ambiguous",804,865,1013,895
"ambiguous",804,863,1010,892
"ambiguous",804,865,1011,895
"ambiguous",804,865,1011,895
"ambiguous",804,865,1013,895
"ambiguous",804,863,1010,892
"ambiguous",804,863,1010,892
"ambiguous",804,863,1008,892
"ambiguous",804,863,1010,892
"ambiguous",804,863,1010,892
"ambiguous",804,865,1013,895
"ambiguous",804,865,1011,895
"ambiguous",804,863,1009,890
"ambiguous",804,865,1011,895
"ambiguous",804,863,1010,892
"ambiguous",804,865,1013,895
"ambiguous",804,865,1013,895
"ambiguous",804,865,1013,895
"ambigAbsent",813,861,1000,880
"ambigAbsent",812,861,1002,880
"ambigAbsent",813,861,1000,881
"ambigAbsent",812,861,999,881
"ambigAbsent",813,861,997,880
"ambigAbsent",810,861,1000,880
"ambigAbsent",813,861,999,880
"ambigAbsent",813,861,1000,881
"ambigAbsent",811,861,1001,880
"ambigAbsent",812,861,999,880
"ambigAbsent",813,861,997,880
"ambigAbsent",812,861,1002,880
"ambigAbsent",813,861,1000,880
"ambigAbsent",813,861,1000,880
"ambigAbsent",810,861,1000,879
"ambigAbsent",810,861,1000,880
"ambigAbsent",813,861,999,881
"ambigAbsent",810,861,1001,880
"ambigAbsent",813,861,999,880
"ambigAbsent",811,861,1001,880
"ambigAbsent",813,861,1000,880
"ambigAbsent",811,861,1002,880
"ambigAbsent",813,861,998,881
"ambigAbsent",811,861,1001,880
"ambigAbsent",813,861,999,880
"ambigAbsent",812,861,999,880
"ambigAbsent",812,861,999,881
"ambigAbsent",811,861,1001,880
"ambigAbsent",813,861,998,880
"ambigAbsent",812,861,997,880
"ambigAbsent",812,861,1000,879
"ambigAbsent",813,861,998,880
"ambigAbsent",811,861,1000,880
"ambigAbsent",813,861,1000,880
