"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24"
"1",0,0,46960,31531,38008,48091,38299,56752,40192,48032,29347,56693,50816,33883,56752,42544,34891,59477,48091,43552,24848,36048,5808,33584
"2",0,0,46960,31531,38008,48091,38299,56752,40192,48032,29347,56693,50816,33883,56752,42544,34891,59477,48091,43552,24848,36048,5808,33584
"3",46960,46960,0,16797,17040,37506,8661,28845,8136,37447,25701,28786,35263,19149,28845,10488,25701,26602,37506,17040,60016,77200,46960,68752
"4",31531,31531,16797,0,17565,23049,8136,31710,8661,22990,8904,31651,26422,2352,31710,11013,8904,35083,23049,17565,44587,61771,31531,53323
"5",38008,38008,17040,17565,0,40614,25701,31953,8904,40555,8661,31894,43987,15213,31953,6552,15213,35326,40614,6552,55792,73792,43552,64528
"6",48091,48091,37506,23049,40614,0,28845,8661,31710,59,31953,8720,3491,25401,8720,34062,31953,12152,59,40614,43195,78331,48091,51931
"7",38299,38299,8661,8136,25701,28845,0,37506,16797,28786,17040,37447,26602,10488,37506,19149,17040,35263,28845,25701,51355,68539,38299,60091
"8",56752,56752,28845,31710,31953,8661,37506,0,23049,8720,40614,59,12152,34062,59,25401,40614,3491,8720,31953,51856,86992,56752,60592
"9",40192,40192,8136,8661,8904,31710,16797,23049,0,31651,17565,22990,35083,11013,23049,2352,17565,26422,31710,8904,53248,70432,40192,61984
"10",48032,48032,37447,22990,40555,59,28786,8720,31651,0,31894,8661,3432,25342,8720,34003,31894,12093,59,40555,43136,78272,48032,51872
"11",29347,29347,25701,8904,8661,31953,17040,40614,17565,31894,0,40555,35326,6552,40614,15213,6552,43987,31953,15213,47131,65131,34891,55867
"12",56693,56693,28786,31651,31894,8720,37447,59,22990,8661,40555,0,12093,34003,59,25342,40555,3432,8720,31894,51797,86933,56693,60533
"13",50816,50816,35263,26422,43987,3491,26602,12152,35083,3432,35326,12093,0,28774,12152,37435,35326,8661,3491,43987,45920,81056,50816,54656
"14",33883,33883,19149,2352,15213,25401,10488,34062,11013,25342,6552,34003,28774,0,34062,8661,6552,37435,25401,15213,46939,64123,33883,55675
"15",56752,56752,28845,31710,31953,8720,37506,59,23049,8720,40614,59,12152,34062,0,25401,40614,3491,8661,31953,51856,86992,56752,60592
"16",42544,42544,10488,11013,6552,34062,19149,25401,2352,34003,15213,25342,37435,8661,25401,0,15213,28774,34062,6552,55600,72784,42544,64336
"17",34891,34891,25701,8904,15213,31953,17040,40614,17565,31894,6552,40555,35326,6552,40614,15213,0,43987,31953,8661,40771,59587,29347,49507
"18",59477,59477,26602,35083,35326,12152,35263,3491,26422,12093,43987,3432,8661,37435,3491,28774,43987,0,12152,35326,54581,89717,59477,63317
"19",48091,48091,37506,23049,40614,59,28845,8720,31710,59,31953,8720,3491,25401,8661,34062,31953,12152,0,40614,43195,78331,48091,51931
"20",43552,43552,17040,17565,6552,40614,25701,31953,8904,40555,15213,31894,43987,15213,31953,6552,8661,35326,40614,0,49432,68248,38008,58168
"21",24848,24848,60016,44587,55792,43195,51355,51856,53248,43136,47131,51797,45920,46939,51856,55600,40771,54581,43195,49432,0,49280,19040,8736
"22",36048,36048,77200,61771,73792,78331,68539,86992,70432,78272,65131,86933,81056,64123,86992,72784,59587,89717,78331,68248,49280,0,30240,58016
"23",5808,5808,46960,31531,43552,48091,38299,56752,40192,48032,34891,56693,50816,33883,56752,42544,29347,59477,48091,38008,19040,30240,0,27776
"24",33584,33584,68752,53323,64528,51931,60091,60592,61984,51872,55867,60533,54656,55675,60592,64336,49507,63317,51931,58168,8736,58016,27776,0
