"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24"
"1",0,1e-09,24,26,26,24,18,2,26,26,12,14,12,4,8,10,20,16,28,10,2,10,10,18
"2",1e-09,0,16,18,24,16,24,6,24,18,8,10,8,16,10,8,18,18,26,8,20,12,20,20
"3",24,16,0,16,16,18,18,24,16,24,18,6,4,8,20,16,20,16,28,2,12,18,4,12
"4",26,18,16,0,18,26,26,16,18,18,8,16,16,12,10,2,18,18,14,8,10,12,8,12
"5",26,24,16,18,0,26,4,26,24,26,10,8,8,16,12,12,12,8,12,10,18,8,12,24
"6",24,16,18,26,26,0,4,18,16,4,4,18,6,18,2,10,8,10,6,16,20,4,26,26
"7",18,24,18,26,4,4,0,16,18,4,16,8,4,16,10,4,8,20,16,10,18,20,28,24
"8",2,6,24,16,26,18,16,0,26,2,16,24,14,18,12,10,16,2,10,10,20,16,26,26
"9",26,24,16,18,24,16,18,26,0,6,8,26,8,20,20,10,8,12,8,2,10,18,28,20
"10",26,18,24,18,26,4,4,2,6,0,16,24,2,16,2,18,6,18,2,18,16,16,10,18
"11",12,8,18,8,10,4,16,16,8,16,0,26,16,12,26,12,18,2,12,16,2,18,10,20
"12",14,10,6,16,8,18,8,24,26,24,26,0,10,4,28,12,14,10,8,18,8,18,18,18
"13",12,8,4,16,8,6,4,14,8,2,16,10,0,18,26,2,8,20,16,16,18,8,2,20
"14",4,16,8,12,16,18,16,18,20,16,12,4,18,0,28,20,16,4,4,18,2,2,26,26
"15",8,10,20,10,12,2,10,12,20,2,26,28,26,28,0,18,10,10,24,18,10,18,28,28
"16",10,8,16,2,12,10,4,10,10,18,12,12,2,20,18,0,16,12,26,12,10,10,26,26
"17",20,18,20,18,12,8,8,16,8,6,18,14,8,16,10,16,0,26,24,2,24,10,28,28
"18",16,18,16,18,8,10,20,2,12,18,2,10,20,4,10,12,26,0,26,20,26,18,20,4
"19",28,26,28,14,12,6,16,10,8,2,12,8,16,4,24,26,24,26,0,10,24,20,12,2
"20",10,8,2,8,10,16,10,10,2,18,16,18,16,18,18,12,2,20,10,0,26,18,8,2
"21",2,20,12,10,18,20,18,20,10,16,2,8,18,2,10,10,24,26,24,26,0,20,18,2
"22",10,12,18,12,8,4,20,16,18,16,18,18,8,2,18,10,10,18,20,18,20,0,20,6
"23",10,20,4,8,12,26,28,26,28,10,10,18,2,26,28,26,28,20,12,8,18,20,0,4
"24",18,20,12,12,24,26,24,26,20,18,20,18,20,26,28,26,28,4,2,2,2,6,4,0
