"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46"
"1",0,136,446,166,264,434,1080,98,472,952,434,740,472,770,1080,808,396,298,702,264,136,750,444,414,712,770,732,744,0,434,724,376,732,712,562,542,464,952,682,434,446,434,278,98,472,404
"2",136,0,428,226,128,374,1104,38,336,976,374,764,336,710,1104,672,336,434,726,128,0,614,504,278,652,634,672,726,136,374,706,316,672,652,426,406,524,976,706,298,428,374,414,38,336,428
"3",446,428,0,612,556,390,730,390,92,602,726,390,764,726,730,428,688,744,352,556,428,370,890,706,332,390,352,298,446,54,278,668,688,668,854,834,910,602,332,726,0,390,724,390,92,54
"4",166,226,612,0,98,600,1246,264,562,1118,600,906,562,936,1246,898,562,464,868,98,226,840,278,504,878,860,898,910,166,600,890,542,898,878,396,376,298,1118,848,524,612,600,444,264,562,570
"5",264,128,556,98,0,502,1232,166,464,1104,502,892,464,838,1232,800,464,562,854,0,128,742,376,406,780,762,800,854,264,502,834,444,800,780,298,278,396,1104,834,426,556,502,542,166,464,556
"6",434,374,390,600,502,0,1066,336,374,938,672,726,710,336,1066,710,634,732,688,502,374,652,878,652,614,672,634,688,434,336,668,614,298,278,800,780,898,938,668,672,390,0,712,336,374,390
"7",1080,1104,730,1246,1232,1066,0,1066,768,442,730,340,768,730,0,432,892,906,502,1232,1104,574,1052,910,536,594,556,556,1080,730,536,872,892,872,1058,1038,1072,442,482,930,730,1066,886,1066,768,676
"8",98,38,390,264,166,336,1066,0,374,938,336,726,374,672,1066,710,298,396,688,166,38,652,542,316,614,672,634,688,98,336,668,278,634,614,464,444,562,938,668,336,390,336,376,0,374,390
"9",472,336,92,562,464,374,768,374,0,640,710,428,672,710,768,336,672,770,390,464,336,278,840,614,316,298,336,390,472,38,370,652,672,652,762,742,860,640,370,634,92,374,750,374,0,92
"10",952,976,602,1118,1104,938,442,938,640,0,602,212,640,602,442,304,866,880,476,1104,976,548,1026,884,510,568,530,530,952,602,510,846,866,846,1032,1012,1046,0,456,904,602,938,860,938,640,548
