"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100","V101","V102","V103","V104","V105","V106","V107","V108","V109","V110","V111","V112","V113","V114","V115","V116","V117","V118","V119","V120","V121","V122","V123","V124","V125","V126","V127","V128","V129","V130","V131","V132","V133","V134","V135","V136","V137","V138","V139","V140","V141","V142","V143","V144","V145","V146","V147","V148","V149","V150","V151","V152","V153","V154","V155","V156","V157","V158","V159","V160","V161","V162","V163","V164","V165","V166","V167","V168","V169","V170","V171","V172","V173","V174","V175","V176","V177","V178","V179","V180","V181","V182","V183","V184","V185","V186","V187","V188","V189","V190","V191","V192","V193","V194","V195","V196","V197","V198","V199","V200","V201","V202","V203","V204","V205","V206","V207","V208","V209","V210","V211","V212","V213","V214","V215","V216","V217","V218","V219","V220","V221","V222","V223","V224","V225","V226","V227","V228","V229","V230","V231","V232","V233","V234","V235","V236","V237","V238","V239","V240","V241","V242","V243","V244","V245","V246","V247","V248","V249","V250","V251","V252","V253","V254","V255","V256","V257","V258","V259","V260","V261","V262","V263","V264","V265","V266","V267","V268","V269","V270","V271","V272","V273","V274","V275","V276","V277","V278","V279","V280","V281","V282","V283","V284","V285","V286","V287","V288","V289","V290","V291","V292","V293","V294","V295","V296","V297","V298","V299","V300","V301","V302","V303","V304","V305","V306","V307","V308","V309","V310","V311","V312","V313","V314","V315","V316","V317","V318","V319","V320","V321","V322","V323","V324","V325","V326","V327","V328","V329","V330","V331","V332","V333","V334","V335","V336","V337","V338","V339","V340","V341","V342","V343","V344","V345","V346","V347","V348","V349","V350","V351","V352","V353","V354","V355","V356","V357","V358","V359","V360","V361","V362","V363","V364","V365","V366","V367","V368","V369","V370","V371","V372","V373","V374","V375","V376","V377","V378","V379","V380","V381","V382","V383","V384","V385","V386","V387","V388","V389","V390","V391","V392","V393","V394","V395","V396","V397","V398","V399","V400","V401","V402","V403","V404","V405","V406","V407","V408","V409","V410","V411","V412","V413","V414","V415","V416","V417","V418","V419","V420","V421","V422","V423","V424","V425","V426","V427","V428","V429","V430","V431","V432","V433","V434","V435","V436","V437","V438","V439","V440","V441","V442","V443","V444","V445","V446","V447","V448","V449","V450","V451","V452","V453","V454","V455","V456","V457","V458","V459","V460","V461","V462","V463","V464","V465","V466","V467","V468","V469","V470","V471","V472","V473","V474","V475","V476","V477","V478","V479","V480","V481","V482","V483","V484","V485","V486","V487","V488","V489","V490","V491","V492","V493","V494","V495","V496"
"1",0,8,8,2,2,2,8,58,58,54,54,62,62,62,56,64,54,54,56,62,50,60,60,62,56,60,62,58,58,46,46,48,4,56,66,60,60,62,56,58,54,60,54,40,44,8,54,60,58,60,60,54,52,62,42,10,54,60,60,54,62,58,46,46,54,58,56,62,52,54,48,58,58,60,56,60,50,42,60,58,60,60,64,48,54,54,58,56,56,54,58,60,56,56,44,60,54,54,64,40,64,60,64,60,46,60,58,62,56,64,58,56,58,40,60,60,60,40,60,58,58,50,60,60,54,48,62,56,60,46,56,56,62,8,10,10,54,8,8,18,10,8,8,42,8,10,54,4,12,12,10,8,14,18,20,2,18,14,22,26,8,12,6,22,16,16,18,52,12,18,48,20,14,62,8,18,10,18,54,12,14,14,14,56,10,26,8,14,52,14,14,24,28,52,14,18,6,18,22,28,54,20,50,18,12,26,22,14,10,12,20,56,10,60,14,56,22,58,20,12,16,6,24,22,10,10,18,60,8,58,8,54,16,52,14,12,10,8,10,12,16,8,48,6,66,22,14,16,16,56,8,58,18,20,20,14,60,16,12,12,6,12,22,14,60,10,16,12,10,18,16,14,10,26,12,56,22,16,52,8,22,8,20,16,8,54,22,12,52,18,12,8,60,14,26,8,14,2,16,14,18,20,12,14,56,8,18,12,58,8,12,14,12,52,54,16,18,14,12,56,62,16,16,14,4,12,52,50,14,12,18,8,18,10,16,50,52,54,12,4,20,22,18,10,14,20,18,16,6,10,14,10,16,4,10,12,6,22,24,12,18,8,20,12,50,50,58,8,6,6,10,22,10,52,54,6,4,12,10,58,54,16,12,12,46,48,12,14,8,54,22,14,48,14,14,8,6,12,14,6,8,66,14,6,54,22,44,8,10,4,14,60,16,60,12,2,12,8,8,18,54,22,10,10,12,54,12,18,48,54,24,24,56,52,4,8,18,16,54,54,60,62,16,16,8,8,64,64,46,54,10,18,14,56,52,16,10,48,14,56,12,52,16,56,10,52,56,50,10,12,10,8,16,14,64,48,10,58,16,48,52,58,52,50,10,42,52,60,26,18,24,14,20,14,24,4
"2",8,0,8,6,10,8,10,58,58,58,56,58,60,54,60,60,52,60,56,58,54,60,60,56,58,56,56,58,58,50,50,48,6,54,56,60,56,60,58,56,62,52,60,46,46,2,60,64,60,58,54,56,62,64,46,2,68,62,56,62,58,64,44,44,62,60,54,60,54,60,50,64,62,64,52,56,62,44,62,60,58,60,64,42,60,58,60,54,58,52,56,62,54,56,40,56,58,56,62,40,60,54,60,54,46,60,54,52,64,58,64,56,56,42,56,58,52,42,54,56,58,52,64,58,56,50,56,56,56,42,54,62,64,20,12,16,50,6,4,8,8,12,20,46,10,16,44,18,12,12,18,14,10,14,18,10,18,16,24,12,12,12,8,18,14,14,18,48,20,20,46,18,12,60,8,2,22,6,52,12,18,18,18,56,18,24,6,12,52,24,12,16,6,52,12,24,12,12,24,10,56,18,46,20,18,18,22,18,20,18,16,58,24,58,16,50,20,54,10,16,18,2,18,24,10,6,16,60,12,52,12,52,20,54,10,20,10,16,16,24,20,6,50,12,70,12,10,16,20,52,12,56,24,26,22,20,58,16,6,10,16,6,24,22,56,14,14,6,14,18,10,20,26,22,6,56,22,12,48,14,24,6,14,6,16,66,12,14,52,18,10,14,54,6,18,10,14,14,16,22,18,10,6,18,56,22,10,6,62,6,8,14,12,58,52,14,12,18,14,58,64,24,12,22,24,18,52,44,22,20,18,10,22,14,22,52,52,50,16,20,10,16,18,20,22,12,20,18,8,12,14,12,12,10,12,22,16,12,16,8,24,14,14,8,50,50,60,8,10,8,10,12,10,48,54,24,8,22,18,58,56,14,22,14,46,52,12,14,10,52,18,24,50,14,12,8,6,14,18,10,10,56,8,4,54,12,50,22,22,12,6,56,12,58,16,20,14,12,2,10,50,24,16,20,16,60,12,4,48,50,20,8,60,52,20,10,16,12,56,52,56,60,22,14,8,16,64,58,44,56,14,22,16,50,54,12,16,46,12,56,16,52,18,54,14,50,58,48,6,12,12,16,10,14,58,50,14,56,12,48,54,58,56,52,16,44,52,60,30,24,26,14,22,12,22,12
"3",8,8,0,10,6,8,56,56,58,60,62,62,64,54,58,54,54,54,58,62,56,58,64,56,54,62,56,60,60,46,46,50,2,58,64,58,62,58,60,56,54,56,62,46,48,2,66,56,60,58,58,58,56,62,46,2,58,58,62,64,62,60,38,48,58,58,56,50,56,58,52,58,54,56,54,52,64,46,58,64,60,60,56,50,64,60,56,54,56,56,60,60,60,60,44,60,56,58,56,44,62,58,58,56,48,62,58,60,62,64,66,54,58,44,56,60,56,40,60,58,56,46,62,54,54,52,54,58,60,44,60,64,62,18,10,12,50,4,16,18,14,8,22,46,18,10,48,10,18,10,16,14,8,16,16,14,18,18,24,10,10,24,24,20,14,10,16,48,14,14,52,20,12,6,10,14,18,12,58,16,16,20,20,58,14,4,14,12,54,18,14,4,10,56,16,26,12,16,12,12,56,16,46,20,16,24,6,6,14,12,14,60,16,58,10,52,16,48,18,12,22,4,10,24,10,8,10,56,10,54,16,54,14,56,10,8,20,16,14,16,8,6,46,16,68,10,10,16,14,56,24,62,18,26,22,6,62,18,6,8,12,14,10,18,62,10,18,12,16,14,18,18,10,22,2,56,16,12,14,16,26,6,20,4,12,54,12,10,52,16,16,22,54,4,20,12,8,22,8,12,52,12,8,16,54,16,14,8,56,12,10,16,14,58,54,10,14,4,20,60,60,24,2,16,10,12,52,52,20,4,14,12,12,6,20,54,58,54,14,20,16,20,18,6,12,22,16,20,18,12,10,8,14,22,14,18,10,18,18,6,6,20,16,10,54,54,60,12,8,10,8,20,8,50,50,12,18,26,18,50,56,14,14,20,46,50,14,16,10,58,22,14,52,18,18,62,14,12,8,10,10,58,12,10,56,16,40,20,14,12,18,12,8,60,14,6,4,10,8,12,54,14,8,20,10,60,14,10,50,54,18,10,60,56,12,8,14,22,58,52,58,52,20,14,6,8,54,56,48,54,24,6,16,56,54,16,16,46,10,56,12,48,6,56,6,2,60,44,6,20,8,10,10,16,56,52,2,56,20,52,58,54,52,54,20,42,52,54,30,22,24,22,18,8,24,10
"4",2,6,10,0,2,10,58,58,60,60,60,64,56,58,54,54,52,52,56,62,62,64,66,64,54,56,48,58,52,44,42,52,4,64,58,54,60,54,58,56,54,56,56,46,42,6,62,62,60,54,54,60,60,66,44,10,56,60,56,60,58,58,46,46,52,64,60,62,56,58,44,56,54,60,56,56,62,44,58,66,54,58,58,48,66,52,62,60,60,52,58,58,52,64,44,62,54,56,62,42,66,58,60,56,46,54,54,58,52,58,60,54,64,42,62,56,56,48,58,54,60,44,54,60,54,44,60,62,54,42,64,60,54,22,4,12,50,12,14,10,16,10,18,46,16,16,48,10,10,14,12,16,10,22,20,18,16,14,22,20,12,10,12,14,20,8,16,48,16,16,46,16,8,12,16,8,12,8,54,6,16,12,20,64,16,20,16,22,56,20,8,12,14,56,10,26,18,12,14,18,58,18,46,8,18,20,22,20,24,8,4,58,14,56,14,50,10,48,8,4,18,8,8,18,12,16,14,54,16,52,18,52,6,54,14,16,18,16,24,16,26,16,50,22,64,22,8,14,10,56,10,62,20,12,20,18,62,16,10,68,18,16,22,12,60,8,18,62,16,18,8,16,16,12,4,58,18,12,10,12,18,10,8,10,14,58,16,14,46,8,10,22,50,10,14,12,6,16,16,18,50,14,12,10,50,12,20,10,50,60,10,16,12,62,48,22,8,14,22,62,58,20,6,22,26,4,54,46,20,10,12,10,16,10,14,56,56,52,16,20,16,18,16,8,20,20,18,24,8,18,12,16,16,6,18,12,22,6,12,8,18,6,8,18,48,54,64,4,4,8,4,18,6,48,56,24,10,24,14,52,54,6,20,6,46,54,14,12,58,52,22,10,48,12,16,60,4,8,8,16,2,58,12,16,46,20,44,20,18,14,8,10,10,58,18,8,14,12,64,18,50,22,18,58,8,62,10,12,52,52,20,20,64,54,14,22,6,12,60,52,50,54,22,16,16,8,58,56,44,54,12,10,20,54,56,18,18,48,18,58,4,60,16,56,20,6,58,52,14,14,18,22,16,20,54,52,20,54,12,52,58,56,50,56,58,46,48,56,20,20,26,4,24,24,22,8
"5",2,10,6,2,0,1e-09,56,60,62,56,54,60,62,60,56,56,50,50,56,58,58,58,54,60,60,58,58,56,62,46,42,50,8,56,62,58,58,60,60,54,58,62,58,40,50,4,60,56,64,58,54,60,62,60,36,10,58,58,56,54,54,56,48,44,58,58,52,58,52,58,44,64,64,64,54,50,66,46,64,58,56,56,60,48,52,60,56,54,54,46,56,54,62,58,44,58,62,58,54,48,62,56,56,60,50,52,52,62,52,56,58,56,60,46,60,56,62,48,56,56,54,46,54,56,62,44,64,60,58,50,62,64,64,6,12,14,52,16,8,14,10,6,10,48,8,6,46,12,6,12,14,22,8,24,4,14,16,22,14,8,18,20,10,6,18,16,12,50,8,8,42,12,16,22,6,14,10,14,52,10,16,20,12,56,10,22,16,10,52,20,10,16,14,52,20,20,12,14,22,16,56,14,48,10,14,22,18,14,18,20,14,54,10,56,8,50,6,54,8,14,18,8,8,22,18,6,12,52,18,52,16,54,10,52,10,14,10,16,16,22,20,8,52,14,68,22,16,14,14,62,14,56,20,18,24,8,62,10,12,66,18,16,10,14,58,24,8,62,14,20,18,20,8,12,16,54,18,6,4,22,4,10,10,10,16,56,18,8,44,10,12,16,52,16,18,6,64,20,16,20,44,16,18,20,52,14,16,20,54,58,22,12,8,56,56,16,12,8,24,60,60,16,6,26,12,4,52,48,14,14,22,12,18,16,22,54,50,58,10,14,10,22,24,10,18,16,14,22,6,10,12,10,18,4,16,8,18,14,10,14,16,16,14,14,58,48,64,14,20,12,12,14,14,52,54,10,12,22,14,54,54,2,8,12,48,50,10,16,56,48,4,12,46,8,14,52,6,10,64,10,16,58,6,20,48,22,48,20,22,16,14,18,14,56,12,12,20,10,62,18,50,10,18,56,6,62,2,10,48,58,22,14,58,48,12,18,24,14,58,54,52,60,16,18,10,10,58,56,42,56,12,12,20,54,54,12,14,46,16,56,6,50,10,56,22,26,52,52,10,20,8,6,10,18,56,54,26,56,16,54,52,56,50,54,56,46,48,56,22,18,26,14,26,6,26,6
"6",2,8,8,10,1e-09,0,56,58,58,58,60,58,58,60,60,60,60,58,56,56,60,56,56,56,56,56,54,60,56,48,50,48,2,56,60,60,58,54,56,56,62,64,64,36,46,2,58,56,54,54,56,58,60,56,40,1e-09,60,60,60,54,60,58,50,46,64,60,56,58,58,54,48,56,58,60,54,56,60,50,60,58,60,60,56,44,62,56,62,54,58,46,56,60,56,62,44,56,56,52,60,48,56,58,56,54,50,56,52,54,48,64,60,58,62,50,60,60,64,46,60,58,56,46,58,56,56,50,56,62,54,46,58,64,54,16,4,6,52,12,16,6,14,10,16,46,18,8,46,10,6,18,4,16,2,22,14,18,14,16,8,8,10,16,14,16,8,16,12,48,20,10,50,12,10,8,18,8,8,16,52,2,16,20,22,56,12,14,12,6,54,18,16,18,20,54,14,24,20,12,26,22,56,14,52,12,16,8,16,18,18,22,12,56,20,58,12,46,10,54,10,12,10,20,8,8,12,8,12,54,14,48,14,52,8,56,10,20,10,8,12,26,22,12,52,24,62,22,10,10,14,56,24,64,16,14,10,18,60,14,16,54,20,10,24,10,58,10,16,56,12,16,16,12,8,16,8,58,16,8,8,26,10,12,16,22,8,58,20,20,48,14,12,26,48,16,22,8,62,22,10,12,46,14,6,12,60,10,16,10,50,52,20,18,8,56,52,10,14,10,8,62,62,18,22,20,10,22,54,48,12,16,8,8,18,10,18,52,52,52,14,20,10,14,14,12,4,14,16,24,2,16,16,16,12,4,18,10,14,20,14,18,14,14,16,16,48,50,60,16,12,6,16,12,12,52,58,10,20,8,20,54,56,6,14,14,50,54,18,22,46,50,20,12,52,18,10,54,8,18,62,8,20,56,10,14,52,18,42,8,4,8,16,16,12,62,12,10,10,18,52,14,48,24,20,48,12,60,16,14,50,52,14,12,48,54,20,14,10,14,60,54,54,60,12,24,22,8,60,54,42,56,22,10,18,58,56,10,8,48,8,58,16,54,26,56,18,16,58,50,10,12,22,12,6,16,52,52,18,56,10,56,56,54,54,56,48,48,50,54,22,20,22,12,24,20,18,6
"7",8,10,56,58,56,56,0,60,60,56,62,56,62,54,56,58,58,56,58,58,62,60,56,58,62,52,56,58,54,46,46,50,2,60,58,60,62,58,56,54,60,56,64,44,50,8,60,64,60,60,54,58,56,54,44,4,66,58,52,62,62,64,46,50,66,62,58,60,56,62,48,58,62,60,56,60,56,46,58,62,56,60,56,46,64,54,56,56,60,48,62,54,60,62,48,54,62,54,56,46,56,60,62,56,52,56,56,54,48,56,58,56,62,46,58,56,56,38,58,60,58,44,60,50,56,50,62,60,56,48,60,58,50,18,20,12,52,10,12,6,20,8,16,48,16,16,46,16,8,16,24,14,12,14,4,20,8,8,12,12,20,18,12,8,14,12,14,46,24,16,52,10,18,10,20,4,14,6,56,16,18,22,26,56,12,16,10,22,52,12,10,20,8,56,16,10,14,8,22,12,48,14,48,12,6,24,14,20,14,12,18,54,14,60,20,48,8,54,6,62,18,28,10,8,16,66,18,56,16,50,10,60,20,52,16,14,10,14,20,24,22,8,50,16,56,18,12,16,8,54,12,58,12,16,4,10,60,8,10,56,22,8,14,14,60,4,22,58,12,18,8,18,6,6,20,54,16,14,18,18,18,12,12,12,6,56,14,10,48,2,10,22,52,14,14,12,50,8,20,20,46,14,16,14,62,16,16,16,58,54,12,18,8,56,54,18,8,14,8,56,60,20,26,24,6,20,56,46,12,22,16,8,22,14,14,58,52,52,22,14,10,12,28,16,4,24,14,22,4,16,10,16,16,6,16,8,26,24,18,18,12,22,26,20,52,50,62,12,10,8,12,8,16,50,60,8,8,8,22,54,50,8,14,8,46,52,16,10,48,48,20,16,52,10,14,56,14,14,54,18,14,56,12,20,52,16,42,22,10,8,14,10,16,58,20,18,16,6,54,12,58,18,22,50,10,60,24,18,48,52,20,16,56,54,18,22,22,16,54,50,56,60,56,20,24,66,60,58,52,52,12,12,8,52,46,6,16,46,16,56,18,52,10,56,16,12,58,52,6,18,6,14,12,14,56,52,16,58,16,58,56,54,54,50,50,50,58,58,22,20,20,20,20,10,26,6
"8",58,58,56,58,60,58,60,0,62,62,64,62,58,52,56,58,54,56,56,58,60,56,64,56,62,62,60,62,58,44,42,48,6,58,62,60,62,58,60,62,60,66,58,48,44,6,62,60,64,60,56,56,60,66,44,2,58,56,58,52,62,60,50,46,54,60,56,58,52,54,46,60,56,56,58,62,56,44,52,60,56,60,62,46,60,52,60,58,60,54,60,58,58,62,50,68,54,56,58,38,62,62,60,60,52,56,60,60,48,58,56,58,62,46,54,54,66,42,56,56,64,42,60,52,48,44,56,62,54,48,58,60,62,8,20,4,52,12,10,14,8,16,8,48,8,20,44,10,6,8,10,18,18,14,8,16,16,12,8,12,22,14,18,14,10,14,12,50,22,16,46,14,14,20,12,10,20,18,54,8,14,6,16,56,22,8,18,8,54,22,12,12,16,56,12,2,10,14,26,16,50,4,50,18,26,12,6,20,14,10,18,54,22,60,14,52,10,52,6,60,16,16,16,6,26,64,2,56,14,54,14,54,10,52,16,10,2,12,4,22,22,18,50,22,62,12,4,12,12,56,10,22,16,12,8,12,56,12,14,64,16,2,14,16,58,20,22,58,2,16,12,18,14,10,18,22,8,6,20,10,24,6,16,16,6,54,12,20,54,10,10,8,54,18,20,6,52,14,10,18,46,18,14,18,62,16,2,24,62,56,12,16,18,64,54,20,12,22,14,56,60,24,6,22,20,18,58,58,10,16,22,12,20,12,14,56,48,52,20,14,6,12,20,16,26,12,20,10,6,12,12,14,16,6,16,22,10,6,20,22,6,14,6,12,52,46,54,10,10,10,6,12,18,54,58,20,10,22,18,52,52,12,18,6,50,56,16,14,52,54,18,22,52,12,8,56,20,12,56,14,16,56,14,22,56,16,42,14,12,12,6,14,16,14,22,20,14,12,60,18,52,14,20,54,8,54,16,16,6,52,10,10,54,52,18,2,14,20,54,50,52,56,54,22,20,64,58,58,46,50,12,10,22,62,48,10,22,46,18,54,16,52,6,56,18,16,50,48,14,14,12,20,18,2,58,52,20,58,16,56,54,52,48,50,56,48,54,60,32,18,16,20,28,18,24,8
"9",58,58,58,60,62,58,60,62,0,60,54,60,64,58,56,62,58,52,58,54,60,58,54,54,54,54,60,54,54,42,50,46,8,60,58,60,60,54,56,64,56,64,60,48,48,4,58,62,54,58,56,60,54,62,44,8,62,58,54,60,56,62,46,44,64,62,60,58,60,56,48,64,56,62,56,60,66,46,66,58,58,58,66,48,60,60,56,54,56,48,60,58,60,58,42,58,54,62,56,42,60,56,60,62,50,54,56,62,52,60,56,52,56,46,58,60,64,42,56,58,62,44,54,60,58,46,56,58,62,52,56,62,64,16,16,12,46,14,10,20,18,8,6,48,10,8,46,14,6,14,12,6,10,20,4,8,16,14,16,24,16,12,6,22,22,18,12,48,20,16,50,16,18,18,4,20,8,4,50,14,16,26,24,54,4,20,10,10,54,16,14,18,14,58,10,12,14,12,20,10,54,10,44,18,16,20,20,14,10,12,18,58,16,54,16,52,10,50,16,48,6,16,10,14,20,58,18,54,14,54,10,50,8,56,8,16,20,14,12,20,12,18,50,28,64,8,16,20,8,54,6,16,12,10,12,12,56,8,14,64,18,20,16,22,54,20,4,60,6,20,4,22,22,10,12,12,22,24,6,8,16,4,20,14,6,54,14,10,54,8,10,12,54,12,14,12,58,10,12,20,48,14,10,22,62,10,4,20,50,56,18,20,8,64,50,22,18,12,8,60,60,18,20,18,16,14,58,48,18,14,8,18,20,10,18,50,52,50,20,18,18,10,20,14,10,18,24,18,4,14,14,12,12,2,12,22,24,20,8,20,16,20,16,12,50,50,54,8,12,24,16,10,8,48,56,16,10,10,18,54,56,12,10,18,48,56,18,12,52,50,16,8,52,18,10,52,4,14,58,12,22,54,12,16,54,10,44,18,12,10,10,12,16,8,14,12,24,8,60,22,48,16,18,54,10,52,14,16,10,50,24,14,58,56,6,14,8,8,58,48,54,54,44,18,16,52,60,56,40,54,14,16,16,52,52,2,24,48,20,60,22,50,8,50,10,22,54,50,14,12,18,8,4,12,58,52,16,52,12,54,58,56,52,54,56,46,48,56,18,20,22,22,22,26,20,6
"10",54,58,60,60,56,58,56,62,60,0,64,58,60,54,58,56,60,56,60,54,58,62,52,60,60,52,58,56,60,46,48,52,4,54,60,56,64,56,54,62,56,66,60,46,44,2,58,58,56,56,58,60,58,62,46,4,60,64,58,56,58,62,50,48,64,58,58,62,56,56,50,54,58,56,58,60,62,44,56,58,62,60,60,44,66,54,64,56,64,46,58,54,60,62,50,56,64,62,64,44,58,60,58,56,50,58,62,58,46,64,62,54,60,44,60,62,66,42,62,54,62,42,52,56,54,50,64,62,58,50,58,56,62,4,8,6,50,8,8,18,12,16,18,42,10,14,44,8,12,14,12,20,14,18,16,14,8,24,10,8,8,10,14,16,14,10,18,50,14,14,50,2,6,10,18,14,12,16,54,14,14,16,20,56,22,10,14,14,58,20,10,8,6,56,18,12,16,18,8,6,54,12,46,24,4,10,10,12,24,16,20,54,14,56,18,50,2,52,8,50,14,18,14,4,12,56,6,52,18,52,10,54,20,54,12,16,18,12,14,22,20,14,54,18,64,20,16,10,20,54,8,20,10,20,6,6,58,10,22,54,18,14,12,12,60,14,12,56,14,14,14,14,8,18,16,20,12,8,12,6,8,4,18,22,16,52,8,10,58,12,12,18,52,10,12,8,58,6,10,14,44,16,12,16,64,18,18,10,62,52,6,16,16,58,62,24,12,20,12,62,58,22,8,16,20,10,54,50,14,20,14,8,8,12,4,52,56,50,14,16,16,8,22,24,12,8,14,20,8,10,8,14,16,8,14,20,12,12,14,14,12,18,24,14,50,54,58,10,12,14,12,12,18,50,56,18,8,20,16,50,54,22,20,10,54,50,16,12,46,48,16,16,50,10,12,50,16,16,58,12,10,50,16,8,58,8,46,10,14,22,10,16,18,12,18,6,8,8,52,16,52,12,18,50,4,54,20,20,12,50,14,20,66,60,16,12,10,20,58,52,54,56,46,16,22,54,54,52,44,54,14,16,8,56,52,6,20,50,20,60,22,50,12,56,22,10,58,52,6,18,20,16,12,12,54,48,26,54,14,60,58,52,52,54,48,46,48,58,8,18,24,22,14,24,20,6
