"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100","V101","V102","V103","V104","V105","V106","V107","V108","V109","V110","V111","V112","V113","V114","V115","V116","V117","V118","V119","V120","V121","V122","V123","V124","V125","V126","V127","V128","V129","V130"
"1",0,700,588,246,388,114,358,360,588,672,276,276,0,700,588,246,388,114,358,360,588,672,276,276,0,700,276,358,426,388,276,276,588,672,246,360,700,276,672,358,670,388,558,330,276,700,388,396,588,276,30,162,670,672,700,304,114,192,642,642,700,192,360,388,192,670,276,84,426,358,358,672,358,388,276,246,304,162,360,360,330,276,642,360,396,672,700,588,672,330,0,276,246,558,700,558,388,588,388,700,276,114,588,360,360,192,588,276,246,426,388,642,246,276,274,426,276,304,672,588,84,246,330,672,558,388,426,588,360,276
"2",700,0,616,454,396,586,454,508,112,196,622,508,700,0,616,454,396,586,454,508,112,196,622,508,700,0,616,342,616,396,538,454,454,508,622,538,342,670,538,454,342,342,454,538,586,112,454,616,304,616,670,700,142,538,424,396,616,538,226,538,30,508,538,424,670,454,592,616,274,426,538,508,342,426,508,622,538,538,508,622,622,424,538,538,304,508,454,424,226,538,700,538,454,142,0,304,396,142,538,312,622,700,454,622,508,700,586,454,538,304,508,226,616,622,426,616,592,508,226,112,700,700,622,196,616,312,586,274,592,700
"3",588,616,0,504,700,504,616,588,504,588,642,588,588,616,0,504,700,504,616,588,504,588,642,588,588,616,312,616,162,700,558,474,162,276,672,558,274,426,246,616,304,586,192,588,342,616,586,192,312,312,588,426,616,246,304,700,474,558,588,276,586,588,558,616,426,304,672,504,504,700,700,276,616,670,588,672,670,588,588,642,672,504,276,558,504,276,274,192,558,588,588,558,504,504,616,342,700,474,670,304,642,558,162,642,588,396,30,474,588,474,700,588,342,642,700,162,672,700,558,504,588,426,672,588,30,616,192,342,672,396
"4",246,454,504,0,226,192,112,114,342,426,198,114,246,454,504,0,226,192,112,114,342,426,198,114,246,454,192,112,504,226,114,30,342,426,168,114,454,276,426,112,424,142,312,84,192,454,142,474,504,192,276,246,424,426,454,226,192,114,396,396,454,114,114,142,276,424,198,162,504,196,196,426,112,226,114,168,226,84,114,198,168,30,396,114,474,426,454,342,426,84,246,114,0,312,454,474,226,342,226,454,198,276,342,198,114,276,504,30,84,504,226,396,162,198,196,504,198,226,426,342,246,246,168,426,474,142,504,504,198,276
"5",388,396,700,226,0,358,226,280,508,592,310,112,388,396,700,226,0,358,226,280,508,592,310,112,388,396,388,114,700,0,142,226,538,592,310,310,426,274,622,226,426,114,538,310,358,508,226,700,700,388,358,388,538,622,508,84,388,226,622,622,426,196,310,196,358,538,280,388,670,30,142,592,114,30,112,310,226,226,280,226,226,196,622,310,700,592,538,508,622,310,388,142,226,538,396,700,0,538,142,396,310,304,538,226,280,388,670,226,142,700,112,622,388,310,114,700,280,196,622,508,304,304,226,592,700,84,670,670,196,304
"6",114,586,504,192,358,0,304,246,474,558,360,246,114,586,504,192,358,0,304,246,474,558,360,246,114,586,192,304,342,358,276,192,504,558,360,276,616,246,588,304,616,304,504,276,162,586,304,342,504,192,84,276,616,588,586,358,30,276,588,588,616,246,276,274,246,616,330,30,312,388,388,558,304,388,246,360,388,276,246,360,360,162,588,276,342,558,616,474,588,276,114,276,192,504,586,504,358,504,388,586,360,114,504,360,246,276,474,192,276,342,358,588,192,360,388,342,330,358,588,474,114,276,360,558,504,274,312,474,330,276
"7",358,454,616,112,226,304,0,226,454,538,310,226,358,454,616,112,226,304,0,226,454,538,310,226,358,454,304,112,616,226,226,142,454,538,280,226,454,388,538,0,424,142,424,196,304,342,30,586,616,304,388,358,312,538,342,226,304,226,508,508,454,226,226,30,388,312,310,274,616,196,84,538,112,226,226,280,114,196,226,310,280,142,508,226,586,538,342,454,538,196,358,226,112,424,454,586,226,454,114,454,310,388,454,310,226,388,616,142,196,616,114,508,274,310,196,616,310,114,538,454,358,358,280,538,586,142,616,616,310,388
"8",360,508,588,114,280,246,226,0,396,396,114,168,360,508,588,114,280,246,226,0,396,396,114,168,360,508,276,226,588,280,198,114,426,396,114,30,538,330,342,226,538,226,426,114,246,508,226,588,588,276,330,360,538,426,508,280,276,198,426,342,538,168,30,196,330,538,84,276,558,310,310,312,226,310,168,114,310,198,84,114,114,84,426,114,588,396,538,396,342,30,360,198,114,426,508,588,280,426,310,508,198,360,426,198,0,360,558,114,198,588,280,342,276,114,310,588,168,280,426,396,360,360,198,312,588,196,558,558,84,360
"9",588,112,504,342,508,474,454,396,0,84,510,396,588,112,504,342,508,474,454,396,0,84,510,396,588,112,504,454,504,508,426,342,342,396,510,426,454,558,426,454,454,454,342,426,474,112,454,504,192,504,558,588,142,426,424,508,504,426,114,426,142,396,426,424,558,454,480,504,162,538,538,396,454,538,396,510,538,426,396,510,510,312,426,426,192,396,454,312,114,426,588,426,342,30,112,192,508,30,538,424,510,588,342,510,396,588,474,342,426,192,508,114,504,510,538,504,480,508,114,0,588,588,510,84,504,424,474,162,480,588
"10",672,196,588,426,592,558,538,396,84,0,510,480,672,196,588,426,592,558,538,396,84,0,510,480,672,196,588,538,588,592,510,426,426,312,510,426,538,642,426,538,538,538,426,342,558,196,538,588,276,588,642,672,226,342,508,592,588,510,30,426,226,480,426,508,642,538,480,588,246,622,622,396,538,622,480,510,622,510,312,510,510,396,342,342,276,312,538,396,114,426,672,510,426,114,196,276,592,114,622,508,426,672,426,426,396,672,558,426,510,276,592,114,588,510,622,588,396,592,30,84,672,672,426,84,588,508,558,246,480,672
"11",276,622,642,198,310,360,310,114,510,510,0,198,276,622,642,198,310,360,310,114,510,510,0,198,276,622,330,310,642,310,168,168,480,510,30,84,592,360,396,310,622,280,510,198,360,622,280,672,642,330,276,276,622,480,622,226,330,84,510,426,592,114,84,310,276,622,30,360,672,310,310,426,310,280,198,30,196,114,198,84,114,198,510,168,672,510,592,510,396,114,276,168,198,510,622,672,310,480,280,622,84,330,480,168,114,246,672,168,198,642,310,426,360,0,226,642,114,226,480,510,360,360,198,426,672,310,672,672,114,330
"12",276,508,588,114,112,246,226,168,396,480,198,0,276,508,588,114,112,246,226,168,396,480,198,0,276,508,276,226,588,112,30,114,426,480,198,198,538,162,510,226,538,226,426,198,246,508,226,588,588,276,246,276,538,510,508,196,276,114,510,510,538,84,198,196,246,538,168,276,558,142,142,480,226,142,0,198,226,114,168,114,114,84,510,198,588,480,538,396,510,198,276,30,114,426,508,588,112,426,142,508,198,192,426,114,168,276,558,114,30,588,112,510,276,198,226,588,168,196,510,396,192,192,114,480,588,196,558,558,84,192
"13",0,700,588,246,388,114,358,360,588,672,276,276,0,700,588,246,388,114,358,360,588,672,276,276,0,700,276,358,426,388,276,276,588,672,246,360,700,276,672,358,670,388,558,330,276,700,388,396,588,276,30,162,670,672,700,304,114,192,642,642,700,192,360,388,192,670,276,84,426,358,358,672,358,388,276,246,304,162,360,360,330,276,642,360,396,672,700,588,672,330,0,276,246,558,700,558,388,588,388,700,276,114,588,360,360,192,588,276,246,426,388,642,246,276,274,426,276,304,672,588,84,246,330,672,558,388,426,588,360,276
"14",700,0,616,454,396,586,454,508,112,196,622,508,700,0,616,454,396,586,454,508,112,196,622,508,700,0,616,342,616,396,538,454,454,508,622,538,342,670,538,454,342,342,454,538,586,112,454,616,304,616,670,700,142,538,424,396,616,538,226,538,30,508,538,424,670,454,592,616,274,426,538,508,342,426,508,622,538,538,508,622,622,424,538,538,304,508,454,424,226,538,700,538,454,142,0,304,396,142,538,312,622,700,454,622,508,700,586,454,538,304,508,226,616,622,426,616,592,508,226,112,700,700,622,196,616,312,586,274,592,700
