"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100","V101","V102","V103","V104","V105","V106","V107","V108","V109","V110","V111","V112","V113","V114","V115","V116","V117","V118","V119","V120","V121","V122","V123","V124","V125","V126","V127","V128","V129","V130","V131","V132","V133","V134","V135","V136","V137","V138","V139","V140","V141","V142","V143","V144","V145","V146","V147","V148","V149","V150","V151","V152","V153","V154","V155","V156","V157","V158","V159","V160","V161","V162","V163","V164","V165","V166","V167","V168","V169","V170","V171","V172","V173","V174","V175","V176","V177","V178","V179","V180","V181","V182","V183","V184","V185","V186","V187","V188","V189","V190","V191","V192","V193","V194","V195","V196","V197","V198","V199","V200","V201","V202","V203","V204","V205","V206","V207","V208","V209","V210","V211","V212","V213","V214","V215","V216","V217","V218","V219","V220","V221","V222","V223","V224","V225","V226","V227","V228","V229","V230","V231","V232","V233","V234","V235","V236","V237","V238","V239","V240","V241","V242","V243","V244","V245","V246","V247","V248","V249","V250","V251","V252","V253","V254","V255","V256","V257","V258","V259","V260","V261","V262","V263","V264","V265","V266","V267","V268","V269","V270","V271","V272","V273","V274","V275","V276","V277","V278","V279","V280","V281","V282","V283","V284","V285","V286","V287","V288","V289","V290","V291","V292","V293","V294","V295","V296","V297","V298","V299","V300","V301","V302","V303","V304","V305","V306","V307","V308","V309","V310","V311","V312","V313","V314","V315","V316","V317","V318","V319","V320","V321","V322","V323","V324","V325","V326","V327","V328","V329","V330","V331","V332","V333","V334","V335","V336","V337","V338","V339","V340","V341","V342","V343","V344","V345","V346","V347","V348","V349","V350","V351","V352","V353","V354","V355","V356","V357","V358","V359","V360","V361","V362","V363","V364","V365","V366","V367","V368","V369","V370","V371","V372","V373","V374","V375","V376","V377","V378","V379","V380","V381","V382","V383","V384","V385","V386","V387","V388","V389","V390","V391","V392","V393","V394","V395","V396","V397","V398","V399","V400","V401","V402","V403","V404","V405","V406","V407","V408"
"1",0,1448,6774,7094,1280,10165,10813,1928,7574,1128,480,800,648,9365,10013,6294,16459,15659,17358,40606,18158,563414,563499,565038,565123,66232,106762,65482,74371,65006,571254,64783,564143,571339,105405,564313,65097,105885,49562,115499,13833,563499,12405,15113,50291,63817,39877,49491,73982,63805,73490,34042,40926,43407,541954,71317,541784,72129,80694,65962,64682,570778,570693,570608,81002,71637,35879,39562,39082,563584,570583,17678,66198,65398,74763,570778,570890,570613,26243,72609,565123,565208,564313,108042,107562,20297,43336,45564,29982,33971,33722,65162,34522,64837,63557,106134,39397,40677,20368,40126,63325,64605,65486,34771,33242,570498,570498,19088,19568,19888,72922,570832,570413,115499,113970,114770,41406,36679,35251,64749,63949,571339,571254,571169,42607,40606,81494,64125,66678,64952,570890,564228,64297,64617,51678,27043,570777,16878,40364,40844,40044,48929,28453,72690,563584,570644,570559,107242,42034,571005,44136,38282,40926,48762,44764,35399,570693,564228,64357,14633,22570,13205,23998,15968,16448,20617,541869,541869,31410,22525,106614,22045,21245,72117,50291,49491,65806,40197,116927,51719,36199,36679,46656,247029,51346,35879,247744,419742,247509,180162,248309,188374,154830,421022,247424,188854,50631,200769,44764,35399,176716,165154,185281,170318,420222,155150,246944,180642,174743,188054,25090,190327,28980,183628,191404,248224,22045,37771,176396,181675,22337,182475,192684,23617,195190,26150,195990,195510,26950,177196,193362,429107,175916,186081,429907,186999,192204,186679,191884,45856,161762,42354,19058,420542,28042,19350,29515,36971,37291,177730,42834,163042,42034,173366,155630,172086,181451,175543,34290,184428,180067,21245,31410,256394,26762,16205,36491,14633,165954,164674,171118,15113,247829,257109,257194,27242,18738,13833,26470,15725,162562,177250,196364,186199,195564,15405,256309,29865,179203,180022,201569,194710,194077,204075,155150,27562,33405,174839,25670,179587,161762,171127,165474,21725,187574,154350,154830,20150,50546,34205,28715,204875,164515,178530,29065,181442,22817,187415,19830,19538,175902,162242,22525,37192,170638,188152,188952,163715,179702,162242,180502,45564,179222,189387,196939,197739,29780,71637,64605,64125,63805,64617,71329,63325,12958,34522,65006,12405,66232,65752,6294,64749,7094,65229,13833,17678,15648,14238,13205,42834,7574,6774,66198,1280,0,66678,64429,63503,65878,22045,40126,39397,50291,36679,42354,33971,16878,13758,13685,17358,24650,35879,20617,12885,41406,20368,65097,50878,40126,65806,35399,74847,65962,63817,72129,64297,72117,19568,18158,14313,33242,64837,480,64037,1448,63557,800,63949
"2",1448,0,6926,5646,1128,10013,9365,480,6126,1280,1928,648,800,10813,10165,6446,15011,15811,17510,40758,16710,561966,562051,563590,563675,65824,106914,64034,75563,66198,569918,64375,562695,570003,103957,562865,63649,104437,48114,114051,13985,562051,12557,13665,48843,63969,40029,49643,72534,63957,72042,32594,39478,41959,540506,71469,540336,70681,80846,64514,64834,569442,569357,569272,79554,70189,36031,38114,37634,562136,569247,16230,65790,66590,75955,569442,569554,569277,26395,71161,563675,563760,562865,106594,106114,20449,43488,44116,28534,34123,33874,65314,33074,64429,64749,104686,39549,39229,18920,40278,63477,63157,66678,33323,33394,569162,569162,19240,19720,18440,74114,569496,569077,114051,114122,113322,39958,35231,33803,64341,65141,570003,569918,569833,42759,40758,80046,62677,66270,66144,569554,562780,64449,63169,50230,25595,569441,17030,38916,39396,40196,49081,28605,72842,562136,569308,569223,107394,42186,569669,42688,38434,39478,48914,44916,35551,569357,562780,63949,13185,21122,11757,22550,14520,15000,19169,540421,540421,29962,21077,105166,20597,21397,70669,48843,49643,65398,38749,115479,50271,34751,35231,45208,247181,49898,36031,246296,419894,247661,180314,246861,186926,154982,419574,247576,187406,50783,200921,44916,35551,175268,165306,185433,170470,420374,153702,247096,180794,174895,188206,23642,188879,29132,183780,191556,246776,20597,36323,176548,181827,22489,181027,191236,22169,195342,26302,194542,194062,25502,175748,193514,429259,176068,184633,428459,185551,190756,186831,192036,46008,161914,40906,17610,419094,26594,19502,28067,37123,35843,177882,41386,161594,42186,171918,154182,172238,181603,174095,32842,182980,178619,21397,29962,256546,26914,14757,36643,13185,164506,164826,169670,13665,246381,255661,255746,27394,18890,13985,25022,14277,161114,177402,194916,186351,195716,15557,256461,28417,179355,178574,200121,194862,192629,204227,153702,26114,33557,173391,25822,178139,161914,171279,164026,21877,187726,154502,154982,18702,50698,32757,28867,203427,163067,177082,29217,179994,22969,185967,19982,18090,176054,162394,21077,35744,169190,188304,187504,163867,179854,162394,179054,44116,179374,187939,197091,196291,28332,70189,63157,62677,63957,63169,71481,63477,13110,33074,66198,12557,65824,65344,6446,64341,5646,64821,13985,16230,15800,12790,11757,41386,6126,6926,65790,1128,1448,66270,65621,64695,67070,20597,40278,39549,48843,35231,40906,34123,17030,12310,12237,17510,23202,36031,19169,13037,39958,18920,63649,51030,40278,65398,35551,73399,64514,63969,70681,64449,70669,19720,16710,14465,33394,64429,1928,65229,0,64749,648,65141
"3",6774,6926,0,1280,7094,16939,16291,6446,800,5646,6294,7574,6126,16139,15491,480,10645,9845,11808,35056,12608,566132,566217,567756,567841,66590,102172,69838,75689,66324,574406,65141,566861,574491,100815,567031,68493,100335,44972,110909,18189,566217,16761,18509,45701,68173,34327,44901,78338,67201,77846,29452,36336,38817,546310,74713,546140,76485,85050,69358,69038,574822,574737,574652,85358,75993,30329,34012,34492,566302,574627,13088,66624,65824,75189,574822,574042,574657,21653,76005,567841,567926,567031,102492,102972,14747,38746,40974,25392,29381,28172,68558,28972,65195,64875,101544,34807,35127,14818,35536,67681,68001,65844,30181,28652,574542,574542,14498,14018,15298,74240,574876,574457,110909,109380,110180,35856,31129,29701,65175,64375,574491,574406,574321,38017,35056,85850,68481,66144,66270,574042,566946,67693,68973,46128,22453,574821,12288,35774,35294,34494,44339,23863,77046,566302,574688,574603,101692,36484,574157,39546,33692,36336,44172,40174,30809,574737,566946,65675,18989,26926,17561,28354,20324,19844,16027,546225,546225,26820,16975,101064,17455,16655,75513,45701,44901,67124,35607,112337,47129,31609,31129,42066,251385,46756,30329,252100,424098,250905,184518,251705,183784,158226,424418,250820,183304,46041,196179,40174,30809,172126,168550,180691,173714,423618,159506,251300,184038,178139,182504,29446,194683,33336,187984,186814,251620,17455,32221,170846,177085,17747,177885,187134,18067,189640,20600,190440,190920,21400,171646,188772,433463,171326,181491,434263,182409,187614,181129,186334,41266,157172,37764,23414,424898,22492,23706,33871,31421,32701,172180,37284,157492,36484,167816,159026,167496,176861,178939,38646,188784,183463,16655,26820,260750,22172,19601,31901,18989,169350,169030,174514,18509,252185,261465,261550,21692,22134,18189,21880,20081,157972,172660,191774,181609,190974,18801,260665,34221,183559,175432,196979,190120,189487,199485,159506,22972,37761,179195,21080,183943,157172,166537,169830,16175,182984,158706,158226,24506,45956,38561,33071,200285,168871,172980,33421,184838,17267,182825,23226,22934,171312,156692,16975,32602,174994,192508,193308,168071,174152,156692,174952,40974,174632,184797,192349,193149,34136,75993,68001,68481,67201,68973,75685,67681,17314,28972,66324,16761,66590,67070,480,65175,1280,64695,18189,13088,19044,17634,17561,37284,800,0,66624,7094,6774,66144,63895,64821,65344,17455,35536,34807,45701,31129,37764,29381,12288,18114,17081,11808,28989,30329,16027,16281,35856,14818,68493,45328,35536,67124,30809,79203,69358,68173,76485,67693,75513,14018,12608,17709,28652,65195,6294,64395,6926,64875,7574,64375
"4",7094,5646,1280,0,6774,15659,15011,6126,480,6926,7574,6294,6446,16459,15811,800,9365,10165,13088,36336,12288,564852,564937,566476,566561,66270,102492,68558,76009,66644,573126,64821,565581,573211,99535,565751,68173,100015,43692,109629,18509,564937,17081,18189,44421,68493,35607,45221,77058,68481,76566,28172,35056,37537,545030,75993,544860,75205,85370,69038,69358,573542,573457,573372,84078,74713,31609,33692,33212,565022,573347,11808,65344,66144,75509,573542,572762,573377,21973,75685,566561,566646,565751,102172,101692,16027,39066,39694,24112,29701,29452,69838,28652,64875,65195,100264,35127,34807,14498,35856,68001,67681,67124,28901,28972,573262,573262,14818,15298,14018,74560,573596,573177,109629,109700,108900,35536,30809,29381,63895,64695,573211,573126,573041,38337,36336,84570,67201,65824,66590,572762,565666,68973,67693,45808,21173,573541,12608,34494,34974,35774,44659,24183,77366,565022,573408,573323,102972,37764,572877,38266,34012,35056,44492,40494,31129,573457,565666,64395,17709,25646,16281,27074,19044,19524,14747,544945,544945,25540,16655,100744,16175,16975,75193,44421,45221,65844,34327,111057,45849,30329,30809,40786,251705,45476,31609,250820,424418,252185,184838,251385,182504,159506,424098,252100,182984,46361,196499,40494,31129,170846,169830,181011,174994,424898,158226,251620,185318,179419,183784,28166,193403,33656,188304,187134,251300,16175,31901,172126,177405,18067,176605,186814,17747,190920,21880,190120,189640,21080,171326,189092,433783,171646,180211,432983,181129,186334,182409,187614,41586,157492,36484,22134,423618,22172,24026,32591,32701,31421,173460,36964,157172,37764,167496,158706,167816,177181,178619,37366,187504,183143,16975,25540,261070,22492,19281,32221,17709,169030,169350,174194,18189,250905,260185,260270,22972,23414,18509,20600,18801,156692,172980,190494,181929,191294,20081,260985,32941,183879,174152,195699,190440,188207,199805,158226,21692,38081,177915,21400,182663,157492,166857,168550,17455,183304,159026,159506,23226,46276,37281,33391,199005,167591,172660,33741,184518,18547,181545,24506,22614,171632,157972,16655,31322,173714,192828,192028,168391,175432,157972,174632,39694,174952,183517,192669,191869,32856,74713,67681,67201,68481,67693,76005,68001,17634,28652,66644,17081,66270,65790,800,63895,0,64375,18509,11808,20324,17314,16281,36964,480,1280,65344,6774,7094,65824,65175,65141,66624,16175,35856,35127,44421,30809,36484,29701,12608,16834,16761,13088,27709,31609,14747,17561,35536,14498,68173,46608,35856,65844,31129,77923,69038,68493,75205,68973,75193,15298,12288,18989,28972,64875,7574,65675,5646,65195,6294,64695
"5",1280,1128,7094,6774,0,9845,10493,648,6294,1448,800,480,1928,10645,11293,7574,16139,16939,17678,40926,16878,563094,563179,564718,564803,64952,108042,65162,75651,66286,570934,63503,563823,571019,105085,563993,63817,104605,49242,115179,15113,563179,13685,13833,49971,65097,40197,50771,73662,64125,73170,33722,40606,43087,541634,71637,541464,71809,81974,64682,65962,570458,570373,570288,80682,71317,36199,38282,38762,563264,570263,17358,65878,66678,76043,570458,570570,570293,27523,71329,564803,564888,563993,106762,107242,20617,44616,45244,29662,35251,34042,65482,33242,63557,64837,105814,40677,39397,19088,41406,64605,63325,65806,34451,34522,570178,570178,20368,19888,19568,74202,570512,570093,115179,115250,114450,40126,35399,33971,64429,65229,571019,570934,570849,43887,40926,81174,63805,65398,66232,570570,563908,64617,64297,50398,26723,570457,18158,40044,39564,40364,50209,29733,73970,563264,570324,570239,107562,42354,570685,43816,39562,40606,50042,46044,36679,570373,563908,64037,14313,22250,12885,23678,15648,15168,20297,541549,541549,31090,21245,105334,21725,22525,70837,49971,50771,65486,39877,116607,51399,35879,35399,46336,248309,51026,36199,247424,421022,247829,181442,247029,188054,155150,419742,247744,187574,51911,202049,46044,36679,176396,165474,186561,170638,420542,154830,248224,180962,175063,188374,24770,190007,30260,184908,192684,246944,21725,36491,176716,182955,23617,182155,191404,22337,195510,26470,194710,195190,25670,175916,194642,430387,177196,185761,429587,186679,191884,186999,192204,47136,163042,42034,18738,420222,26762,20630,29195,37291,36971,178050,41554,161762,42354,172086,154350,173366,182731,174263,33970,184108,178787,22525,31090,257674,28042,14925,37771,14313,164674,165954,169838,13833,247509,256789,256874,27562,19058,15113,26150,15405,162242,178530,196044,187479,196844,15725,257589,29545,180483,179702,201249,195990,193757,205355,154830,27242,34685,174519,26950,179267,163042,172407,165154,22045,188854,155630,155150,19830,51826,33885,29995,204555,164195,177250,30345,180162,23137,187095,20150,18258,177182,162562,21245,36872,170318,189432,188632,164995,180022,162562,179222,45244,180502,189067,198219,197419,29460,71317,63325,63805,64125,64297,72609,64605,14238,33242,66286,13685,64952,65432,7574,64429,6774,63949,15113,17358,15968,12958,12885,41554,6294,7094,65878,0,1280,65398,64749,64783,66198,21725,41406,40677,49971,35399,42034,35251,18158,13438,12405,17678,24330,36199,20297,13205,40126,19088,63817,51198,41406,65486,36679,74527,64682,65097,71809,64617,70837,19888,16878,14633,34522,63557,800,64357,1128,64837,480,65229
"6",10165,10013,16939,15659,9845,0,648,10493,16139,11293,10645,9365,10813,800,1448,16459,6294,7094,27523,50771,26723,553249,553334,554873,554958,74797,116927,74047,65806,75171,561089,73348,553978,561174,113970,554148,73662,114450,39397,105334,23998,553334,22570,23678,40126,73982,50042,40926,63817,73970,63325,42607,49491,33242,531789,81482,531619,80694,72129,74527,74847,560613,560528,560443,70837,80202,46044,48127,47647,553419,560418,26243,74763,75563,66198,560613,560725,560448,17678,81174,554958,555043,554148,116607,116127,30462,34771,35399,19817,44136,43887,75327,43087,73402,73722,114699,49562,49242,28933,50291,73490,73170,75651,43336,43407,560333,560333,29253,29733,28453,64357,560667,560248,105334,105405,104605,49971,45244,43816,73314,74114,561174,561089,561004,34042,50771,71329,72690,75243,75117,560725,554063,74462,73182,60243,16878,560612,27043,48929,49409,50209,40364,19888,64125,553419,560479,560394,117407,52199,560840,33971,48447,49491,40197,36199,45564,560528,554063,72922,23198,12405,21770,13833,24533,25013,29182,531704,531704,21245,31090,115179,30610,31410,80682,40126,40926,74371,48762,106762,41554,44764,45244,36491,257194,41181,46044,256309,429907,257674,190327,256874,196939,164995,429587,257589,197419,42066,192204,36199,45564,185281,175319,176716,180483,430387,163715,257109,190807,184908,198219,14925,180162,20415,175063,201569,256789,30610,46336,186561,191840,32502,191040,201249,32182,205355,36315,204555,204075,35515,185761,184797,420542,186081,175916,419742,195564,200769,196844,202049,37291,171927,50919,27623,429107,36607,29515,19350,47136,45856,187895,51399,171607,52199,181931,164195,182251,172886,184108,24125,174263,188632,31410,21245,247829,36927,24770,46656,23198,174519,174839,179683,23678,256394,246944,247029,37407,28903,23998,35035,24290,171127,187415,186199,196364,186999,25570,247744,19700,170638,188587,191404,204875,183912,195510,163715,36127,24840,164674,35835,188152,171927,162562,174039,31890,197739,164515,164995,28715,41981,24040,20150,194710,154350,187095,20500,190007,32982,177250,29995,28103,167337,172407,31090,27027,179203,179587,178787,155150,189867,172407,189067,35399,189387,179222,188374,187574,19615,80202,73170,72690,73970,73182,81494,73490,23123,43087,75171,22570,74797,74317,16459,73314,15659,73794,23998,26243,25813,22803,21770,51399,16139,16939,74763,9845,10165,75243,74594,73668,76043,30610,50291,49562,40126,45244,50919,44136,27043,22323,22250,27523,14485,46044,29182,23050,49971,28933,73662,61043,50291,74371,45564,64682,74527,73982,80694,74462,80682,29733,26723,24478,43407,73402,10645,74202,10013,73722,9365,74114
"7",10813,9365,16291,15011,10493,648,0,9845,15491,10645,11293,10013,10165,1448,800,15811,5646,6446,26875,50123,26075,552601,552686,554225,554310,75189,116279,73399,66198,75563,560553,73740,553330,560638,113322,553500,73014,113802,38749,104686,23350,552686,21922,23030,39478,73334,49394,40278,63169,73322,62677,41959,48843,32594,531141,80834,530971,80046,71481,73879,74199,560077,559992,559907,70189,79554,45396,47479,46999,552771,559882,25595,75155,75955,66590,560077,560189,559912,17030,80526,554310,554395,553500,115959,115479,29814,34123,34751,19169,43488,43239,74679,42439,73794,74114,114051,48914,48594,28285,49643,72842,72522,76043,42688,42759,559797,559797,28605,29085,27805,64749,560131,559712,104686,104757,103957,49323,44596,43168,73706,74506,560638,560553,560468,33394,50123,70681,72042,75635,75509,560189,553415,73814,72534,59595,16230,560076,26395,48281,48761,49561,39716,19240,63477,552771,559943,559858,116759,51551,560304,33323,47799,48843,39549,35551,44916,559992,553415,73314,22550,11757,21122,13185,23885,24365,28534,531056,531056,20597,30442,114531,29962,30762,80034,39478,40278,74763,48114,106114,40906,44116,44596,35843,256546,40533,45396,255661,429259,257026,189679,256226,196291,164347,428939,256941,196771,41418,191556,35551,44916,184633,174671,176068,179835,429739,163067,256461,190159,184260,197571,14277,179514,19767,174415,200921,256141,29962,45688,185913,191192,31854,190392,200601,31534,204707,35667,203907,203427,34867,185113,184149,419894,185433,175268,419094,194916,200121,196196,201401,36643,171279,50271,26975,428459,35959,28867,18702,46488,45208,187247,50751,170959,51551,181283,163547,181603,172238,183460,23477,173615,187984,30762,20597,247181,36279,24122,46008,22550,173871,174191,179035,23030,255746,246296,246381,36759,28255,23350,34387,23642,170479,186767,185551,195716,186351,24922,247096,19052,169990,187939,190756,204227,183264,194862,163067,35479,24192,164026,35187,187504,171279,161914,173391,31242,197091,163867,164347,28067,41333,23392,19502,194062,153702,186447,19852,189359,32334,176602,29347,27455,166689,171759,30442,26379,178555,178939,178139,154502,189219,171759,188419,34751,188739,178574,187726,186926,18967,79554,72522,72042,73322,72534,80846,72842,22475,42439,75563,21922,75189,74709,15811,73706,15011,74186,23350,25595,25165,22155,21122,50751,15491,16291,75155,10493,10813,75635,74986,74060,76435,29962,49643,48914,39478,44596,50271,43488,26395,21675,21602,26875,13837,45396,28534,22402,49323,28285,73014,60395,49643,74763,44916,64034,73879,73334,80046,73814,80034,29085,26075,23830,42759,73794,11293,74594,9365,74114,10013,74506
"8",1928,480,6446,6126,648,10493,9845,0,5646,800,1448,1128,1280,11293,10645,6926,15491,16291,17030,40278,16230,562446,562531,564070,564155,65344,107394,64514,76043,66678,570398,63895,563175,570483,104437,563345,63169,103957,48594,114531,14465,562531,13037,13185,49323,64449,39549,50123,73014,63477,72522,33074,39958,42439,540986,70989,540816,71161,81326,64034,65314,569922,569837,569752,80034,70669,35551,37634,38114,562616,569727,16710,66270,67070,76435,569922,570034,569757,26875,70681,564155,564240,563345,106114,106594,19969,43968,44596,29014,34603,33394,64834,32594,63949,65229,105166,40029,38749,18440,40758,63957,62677,66198,33803,33874,569642,569642,19720,19240,18920,74594,569976,569557,114531,114602,113802,39478,34751,33323,64821,65621,570483,570398,570313,43239,40278,80526,63157,65790,66624,570034,563260,63969,63649,49750,26075,569921,17510,39396,38916,39716,49561,29085,73322,562616,569788,569703,106914,41706,570149,43168,38914,39958,49394,45396,36031,569837,563260,64429,13665,21602,12237,23030,15000,14520,19649,540901,540901,30442,20597,104686,21077,21877,70189,49323,50123,65878,39229,115959,50751,35231,34751,45688,247661,50378,35551,246776,420374,247181,180794,246381,187406,154502,419094,247096,186926,51263,201401,45396,36031,175748,164826,185913,169990,419894,154182,247576,180314,174415,187726,24122,189359,29612,184260,192036,246296,21077,35843,176068,182307,22969,181507,190756,21689,194862,25822,194062,194542,25022,175268,193994,429739,176548,185113,428939,186031,191236,186351,191556,46488,162394,41386,18090,419574,26114,19982,28547,36643,36323,177402,40906,161114,41706,171438,153702,172718,182083,173615,33322,183460,178139,21877,30442,257026,27394,14277,37123,13665,164026,165306,169190,13185,246861,256141,256226,26914,18410,14465,25502,14757,161594,177882,195396,186831,196196,15077,256941,28897,179835,179054,200601,195342,193109,204707,154182,26594,34037,173871,26302,178619,162394,171759,164506,21397,188206,154982,154502,19182,51178,33237,29347,203907,163547,176602,29697,179514,22489,186447,19502,17610,176534,161914,20597,36224,169670,188784,187984,164347,179374,161914,178574,44596,179854,188419,197571,196771,28812,70669,62677,63157,63477,63649,71961,63957,13590,32594,66678,13037,65344,65824,6926,64821,6126,64341,14465,16710,15320,12310,12237,40906,5646,6446,66270,648,1928,65790,65141,65175,66590,21077,40758,40029,49323,34751,41386,34603,17510,12790,11757,17030,23682,35551,19649,12557,39478,18440,63169,50550,40758,65878,36031,73879,64034,64449,71161,63969,70189,19240,16230,13985,33874,63949,1448,64749,480,65229,1128,65621
"9",7574,6126,800,480,6294,16139,15491,5646,0,6446,7094,6774,6926,16939,16291,1280,9845,10645,12608,35856,11808,565332,565417,566956,567041,65790,102972,69038,76489,67124,573606,64341,566061,573691,100015,566231,67693,99535,44172,110109,18989,565417,17561,17709,44901,68973,35127,45701,77538,68001,77046,28652,35536,38017,545510,75513,545340,75685,85850,68558,69838,574022,573937,573852,84558,75193,31129,33212,33692,565502,573827,12288,65824,66624,75989,574022,573242,573857,22453,75205,567041,567126,566231,101692,102172,15547,39546,40174,24592,30181,28972,69358,28172,64395,65675,100744,35607,34327,14018,36336,68481,67201,66644,29381,29452,573742,573742,15298,14818,14498,75040,574076,573657,110109,110180,109380,35056,30329,28901,64375,65175,573691,573606,573521,38817,35856,85050,67681,65344,67070,573242,566146,68493,68173,45328,21653,574021,13088,34974,34494,35294,45139,24663,77846,565502,573888,573803,102492,37284,573357,38746,34492,35536,44972,40974,31609,573937,566146,64875,18189,26126,16761,27554,19524,19044,15227,545425,545425,26020,16175,100264,16655,17455,74713,44901,45701,66324,34807,111537,46329,30809,30329,41266,252185,45956,31129,251300,424898,251705,185318,250905,182984,159026,423618,251620,182504,46841,196979,40974,31609,171326,169350,181491,174514,424418,158706,252100,184838,178939,183304,28646,193883,34136,188784,187614,250820,16655,31421,171646,177885,18547,177085,186334,17267,190440,21400,189640,190120,20600,170846,189572,434263,172126,180691,433463,181609,186814,181929,187134,42066,157972,36964,22614,424098,21692,24506,33071,32221,31901,172980,36484,156692,37284,167016,158226,168296,177661,178139,37846,187984,182663,17455,26020,261550,22972,18801,32701,18189,168550,169830,173714,17709,251385,260665,260750,22492,22934,18989,21080,19281,157172,173460,190974,182409,191774,19601,261465,33421,184359,174632,196179,190920,188687,200285,158706,22172,38561,178395,21880,183143,157972,167337,169030,16975,183784,159506,159026,23706,46756,37761,33871,199485,168071,172180,34221,184038,18067,182025,24026,22134,172112,157492,16175,31802,174194,193308,192508,168871,174952,157492,174152,40174,175432,183997,193149,192349,33336,75193,67201,67681,68001,68173,76485,68481,18114,28172,67124,17561,65790,66270,1280,64375,480,63895,18989,12288,19844,16834,16761,36484,0,800,65824,6294,7574,65344,64695,65621,66144,16655,36336,35607,44901,30329,36964,30181,13088,17314,16281,12608,28189,31129,15227,17081,35056,14018,67693,46128,36336,66324,31609,78403,68558,68973,75685,68493,74713,14818,11808,18509,29452,64395,7094,65195,6126,65675,6774,65175
"10",1128,1280,5646,6926,1448,11293,10645,800,6446,0,648,1928,480,10493,9845,6126,16291,15491,16230,39478,17030,563246,563331,564870,564955,66144,106594,65314,75243,65878,571198,64695,563975,571283,105237,564145,63969,104757,49394,115331,13665,563331,12237,13985,50123,63649,38749,49323,73814,62677,73322,33874,40758,43239,541786,70189,541616,71961,80526,64834,64514,570722,570637,570552,80834,71469,34751,38434,38914,563416,570527,17510,67070,66270,75635,570722,570834,570557,26075,71481,564955,565040,564145,106914,107394,19169,43168,45396,29814,33803,32594,64034,33394,64749,64429,105966,39229,39549,19240,39958,63157,63477,65398,34603,33074,570442,570442,18920,18440,19720,73794,570776,570357,115331,113802,114602,40278,35551,34123,65621,64821,571283,571198,571113,42439,39478,81326,63957,66590,65824,570834,564060,63169,64449,50550,26875,570721,16710,40196,39716,38916,48761,28285,72522,563416,570588,570503,106114,40906,570949,43968,38114,40758,48594,44596,35231,570637,564060,65229,14465,22402,13037,23830,15800,15320,20449,541701,541701,31242,21397,105486,21877,21077,70989,50123,49323,66678,40029,116759,51551,36031,35551,46488,246861,51178,34751,247576,419574,246381,179994,247181,188206,153702,419894,246296,187726,50463,200601,44596,35231,176548,164026,185113,169190,419094,154982,246776,179514,173615,186926,24922,190159,28812,183460,191236,247096,21877,36643,175268,181507,22169,182307,191556,22489,194062,25022,194862,195342,25822,176068,193194,428939,175748,185913,429739,186831,192036,185551,190756,45688,161594,42186,18890,420374,26914,19182,29347,35843,37123,176602,41706,161914,40906,172238,154502,171918,181283,174415,34122,184260,178939,21077,31242,256226,26594,15077,36323,14465,164826,164506,169990,13985,247661,256941,257026,26114,17610,13665,26302,15557,162394,177082,196196,186031,195396,14277,256141,29697,179035,179854,201401,194542,193909,203907,154982,27394,33237,174671,25502,179419,161594,170959,165306,20597,187406,154182,153702,19982,50378,34037,28547,204707,164347,177402,28897,180314,21689,187247,18702,18410,175734,161114,21397,37024,170470,187984,188784,163547,178574,161114,179374,45396,179054,189219,196771,197571,29612,71469,63477,63957,62677,64449,71161,63157,12790,33394,65878,12237,66144,66624,6126,65621,6926,65141,13665,17510,14520,13110,13037,41706,6446,5646,67070,1448,1128,66590,64341,64375,65790,21877,39958,39229,50123,35551,42186,33803,16710,13590,12557,16230,24482,34751,20449,11757,40278,19240,63969,49750,39958,66678,35231,74679,64834,63649,71961,63169,70989,18440,17030,13185,33074,64749,648,63949,1280,64429,1928,64821
