"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100","V101","V102","V103","V104","V105","V106","V107","V108","V109","V110","V111","V112","V113","V114","V115","V116","V117","V118","V119","V120","V121","V122","V123","V124","V125","V126","V127","V128","V129","V130","V131","V132","V133","V134","V135","V136","V137","V138","V139","V140","V141","V142","V143","V144","V145","V146","V147","V148","V149","V150","V151","V152","V153","V154","V155","V156","V157","V158","V159","V160","V161","V162","V163","V164","V165","V166","V167","V168","V169","V170","V171","V172","V173","V174","V175","V176","V177","V178","V179","V180","V181","V182","V183","V184","V185","V186","V187","V188","V189","V190","V191","V192","V193","V194","V195","V196","V197","V198","V199","V200","V201","V202","V203","V204","V205","V206","V207","V208","V209","V210","V211","V212","V213","V214","V215","V216","V217","V218","V219","V220","V221","V222","V223","V224","V225","V226","V227","V228","V229","V230","V231","V232","V233","V234","V235","V236","V237","V238","V239","V240","V241","V242","V243","V244","V245","V246","V247","V248","V249","V250","V251","V252","V253","V254","V255","V256","V257","V258","V259","V260","V261","V262","V263","V264","V265","V266","V267","V268","V269","V270","V271","V272","V273","V274","V275","V276","V277","V278","V279","V280","V281","V282","V283","V284","V285","V286","V287","V288","V289","V290","V291","V292","V293","V294","V295","V296","V297","V298","V299","V300","V301","V302","V303","V304","V305","V306","V307","V308","V309","V310","V311","V312","V313","V314","V315","V316","V317","V318","V319","V320","V321","V322","V323","V324","V325","V326","V327","V328","V329","V330","V331","V332","V333","V334","V335","V336","V337","V338","V339","V340","V341","V342","V343","V344","V345","V346","V347","V348","V349","V350","V351","V352","V353","V354","V355","V356","V357","V358","V359","V360","V361","V362","V363","V364","V365","V366","V367","V368","V369","V370","V371","V372","V373","V374","V375","V376","V377","V378","V379","V380","V381","V382","V383","V384","V385","V386","V387","V388","V389","V390","V391","V392","V393","V394","V395","V396","V397","V398","V399","V400","V401","V402","V403","V404","V405","V406","V407","V408"
"1",0,4,8,4,6,2,14,60,16,22,18,56,22,26,20,60,64,10,28,16,28,30,26,20,12,26,30,8,12,14,60,20,22,58,60,42,20,16,18,24,18,6,16,16,62,22,14,14,16,14,6,62,56,12,22,14,28,8,22,18,26,30,50,28,14,56,22,26,20,18,28,24,52,28,28,14,62,60,44,18,20,56,18,34,14,16,24,22,30,24,18,66,18,22,12,24,24,22,22,16,62,14,16,54,56,22,22,30,46,22,22,64,22,10,28,24,22,50,26,20,20,60,26,20,12,24,26,18,18,20,20,48,42,48,44,50,50,50,48,48,42,62,28,34,10,24,18,60,24,28,50,28,14,18,58,58,60,32,32,50,52,52,64,56,16,30,8,54,18,34,24,16,22,14,20,24,22,16,6,20,56,14,16,20,24,14,24,58,28,20,24,54,26,28,30,24,4,28,20,16,10,26,14,24,52,18,18,34,38,26,16,26,18,32,22,6,66,4,62,62,48,12,26,8,30,26,12,16,46,58,54,14,54,4,26,18,26,50,56,4,58,16,20,48,50,58,52,16,26,28,42,12,28,14,22,18,60,22,18,24,28,22,18,22,22,22,26,16,22,16,20,36,26,12,60,56,14,56,54,32,30,52,58,26,20,24,16,28,24,24,36,64,48,60,20,20,16,6,56,22,48,26,24,20,26,50,10,16,14,28,20,22,60,64,20,26,62,26,18,22,12,26,46,30,24,6,12,18,6,48,50,16,30,14,14,28,24,18,20,8,12,42,8,36,38,24,20,40,34,22,18,18,10,14,40,36,10,24,34,36,32,20,10,16,18,10,24,16,40,16,28,30,12,16,20,20,6,26,14,22,14,10,10,26,16,40,18,20,18,38,34,16,10,34,30,22,32,16,26,20,28,22,2,18,10,18,20,18
"2",4,0,8,8,10,2,12,60,62,24,24,24,20,62,18,10,62,24,22,24,18,26,34,24,20,22,22,18,16,8,16,62,16,22,58,24,30,20,20,18,10,10,18,16,8,20,28,46,16,16,6,60,22,8,26,42,24,12,18,22,32,32,22,22,20,54,26,46,30,38,20,30,16,34,24,18,14,12,36,22,22,58,16,20,20,2,28,16,26,20,20,66,22,16,12,54,20,28,12,22,60,22,6,28,22,18,20,54,42,26,8,62,30,16,22,26,24,52,28,30,12,4,12,8,8,20,28,20,20,22,50,54,46,48,42,58,50,42,48,52,52,58,18,28,22,30,18,58,24,18,46,28,8,26,50,64,62,24,38,52,42,52,60,54,8,18,2,50,24,36,20,14,16,20,26,16,28,20,12,52,42,18,28,20,20,16,22,26,24,16,14,52,18,26,30,18,6,20,26,38,4,16,16,26,44,18,40,42,44,26,24,22,18,8,24,62,50,24,58,58,16,20,22,8,24,32,12,28,44,60,62,24,52,22,32,24,14,56,62,56,54,24,14,54,50,50,12,20,24,24,38,18,26,26,14,14,8,18,28,10,22,24,16,18,22,28,26,8,60,20,22,38,24,20,52,50,16,14,4,28,18,64,54,18,18,16,20,26,34,36,28,56,56,58,16,22,28,18,16,56,50,38,28,24,24,48,8,16,16,26,14,30,60,62,18,8,60,26,14,18,28,24,52,28,22,50,4,24,10,50,58,10,28,18,24,24,32,18,22,20,20,40,10,36,42,22,44,26,38,18,38,20,36,34,44,38,38,16,30,30,36,8,4,10,14,18,44,12,38,16,22,14,12,18,18,28,12,18,18,32,14,10,12,24,22,46,14,16,10,28,24,32,20,24,28,8,22,18,30,14,30,22,18,12,10,16,14,16
"3",8,8,0,10,4,6,12,62,18,28,30,28,62,64,14,12,60,26,62,26,42,26,46,30,16,18,30,12,24,4,56,60,16,20,14,18,28,48,20,20,8,6,22,20,22,30,30,50,32,16,14,58,22,56,22,46,28,16,24,20,26,40,16,20,14,52,24,50,24,30,18,24,26,12,32,16,58,10,22,50,24,58,16,42,24,14,12,30,26,26,22,26,28,26,24,22,18,24,18,28,24,24,20,50,20,42,24,56,48,20,20,60,46,16,20,20,20,52,26,26,18,2,20,18,16,28,30,26,16,14,56,44,38,12,46,54,52,44,50,44,56,60,16,26,20,28,22,56,24,22,52,30,58,50,52,56,58,6,22,50,40,50,54,50,18,26,50,54,4,34,20,24,20,50,26,12,24,20,16,54,38,16,20,16,26,48,18,22,30,20,28,16,24,26,30,24,2,32,60,42,12,22,18,28,54,20,44,58,42,34,26,36,14,4,34,58,48,56,62,60,20,22,28,62,10,34,10,22,48,60,54,22,50,16,28,30,30,62,60,58,58,20,22,46,54,56,12,16,30,10,40,14,28,18,36,12,6,18,22,10,40,22,4,22,14,22,26,14,52,18,24,30,20,44,50,60,22,12,12,14,22,60,58,24,24,22,20,12,32,34,32,64,60,58,18,20,24,18,24,58,42,26,40,50,16,52,18,22,16,24,26,26,60,58,38,12,60,26,6,36,16,26,52,18,14,50,24,16,4,40,52,12,24,8,20,16,30,22,22,18,22,38,12,38,38,24,30,2,36,28,36,22,40,16,42,44,42,30,36,26,34,20,10,12,20,10,34,32,30,16,30,18,6,24,24,34,12,24,42,34,10,14,14,24,20,38,22,10,12,36,20,22,24,32,32,28,30,12,20,18,28,26,18,24,18,20,18,14
"4",4,8,10,0,2,8,20,20,60,12,22,24,62,64,22,12,22,24,62,24,42,28,28,24,22,26,22,12,14,4,62,58,16,26,10,38,18,20,26,18,8,14,62,14,20,44,16,52,16,16,12,26,20,56,16,48,20,8,28,16,62,18,16,22,2,20,24,34,16,36,22,22,28,20,26,12,64,10,40,22,22,60,60,42,18,16,60,22,28,22,28,28,26,16,8,30,24,26,18,20,22,24,18,30,10,26,24,56,26,20,10,18,24,8,52,50,22,54,18,22,18,6,36,10,22,34,34,64,28,20,58,52,44,10,50,60,50,46,42,52,52,60,18,26,52,28,20,16,18,24,34,28,52,22,62,54,56,6,54,6,50,48,56,58,14,22,48,50,16,28,18,44,20,42,24,48,18,18,16,50,46,14,26,20,4,48,26,24,26,20,18,14,22,28,32,22,6,32,58,44,8,24,14,26,54,52,46,58,36,38,26,28,6,6,22,60,56,60,62,58,2,28,24,62,10,32,14,32,52,2,54,12,26,20,28,52,24,62,64,54,56,16,24,44,48,52,46,16,16,14,22,10,18,12,20,12,10,20,20,20,44,26,16,16,20,34,22,12,4,12,20,28,12,14,56,60,38,14,14,12,24,64,54,24,18,20,24,12,30,30,24,56,58,60,22,14,26,20,26,52,48,24,28,24,18,60,14,10,14,20,22,32,58,64,38,12,62,28,12,28,10,8,54,22,16,16,20,22,6,42,60,16,18,24,28,22,22,28,20,28,20,38,6,44,40,16,18,28,38,22,36,28,42,20,44,34,44,22,32,38,36,14,14,10,8,16,22,22,30,14,18,20,14,22,24,28,44,26,16,32,16,12,8,26,30,48,18,14,26,30,22,14,10,26,12,26,36,18,24,10,26,24,20,22,10,10,18,8
"5",6,10,4,2,0,6,14,24,64,60,28,20,12,28,16,20,20,28,16,18,30,44,30,32,22,16,32,12,10,8,16,24,18,18,12,42,26,14,18,22,12,12,20,14,18,36,24,16,14,16,2,20,16,18,20,20,26,24,16,10,62,24,20,22,16,26,52,34,44,22,24,52,30,20,22,28,18,24,40,12,12,16,60,44,12,8,8,18,40,14,20,12,20,22,6,22,30,24,10,26,60,22,4,22,16,24,24,32,50,22,20,16,26,20,54,26,28,26,6,32,14,20,42,16,18,32,14,60,14,22,52,52,42,4,44,58,52,46,50,62,54,62,60,42,58,14,6,20,36,52,54,28,28,24,22,60,62,56,36,22,48,56,60,62,22,30,56,54,26,36,16,30,12,22,12,20,22,64,8,52,46,10,8,18,42,16,22,20,22,58,18,52,22,14,34,28,14,28,56,18,20,20,42,28,56,58,22,24,40,28,20,30,22,6,34,54,62,54,60,60,10,22,26,14,12,20,16,30,48,2,52,20,24,20,34,56,32,52,56,48,54,26,2,44,44,54,54,22,18,48,42,28,12,24,22,10,24,18,22,12,26,16,2,24,18,30,36,14,4,24,24,22,32,20,56,60,28,8,16,56,22,60,54,20,30,24,30,10,16,34,34,56,62,56,18,2,20,14,24,58,36,28,24,22,18,60,10,22,18,48,18,26,62,60,18,2,60,30,14,26,26,10,50,52,18,12,22,20,18,50,58,20,38,20,34,22,28,26,44,26,14,40,14,36,38,16,8,16,34,32,34,20,14,14,42,36,12,24,28,34,36,14,10,24,46,10,2,14,30,4,18,22,6,30,20,28,30,20,4,32,40,10,20,26,22,46,20,12,26,38,26,14,26,34,20,16,22,20,32,10,14,14,16,22,26,14,16,2
"6",2,2,6,8,6,0,58,22,20,8,18,64,18,26,20,64,30,16,14,18,38,18,28,28,34,18,30,14,22,6,60,18,16,18,6,26,42,24,18,20,12,2,58,8,26,18,40,14,30,14,6,22,20,14,26,18,24,22,60,22,16,28,16,24,4,32,54,30,28,36,22,54,22,20,40,12,62,64,42,26,14,24,10,26,44,12,12,18,18,26,22,26,20,22,20,22,24,22,18,16,24,24,16,30,14,30,22,30,32,28,8,30,24,18,12,28,24,26,20,18,10,64,20,8,10,32,16,58,36,24,22,50,38,50,52,58,52,50,46,62,56,30,60,38,18,42,24,12,40,20,36,30,24,24,62,52,52,62,34,52,34,48,58,60,22,28,46,52,8,22,16,16,14,20,24,20,26,62,12,18,42,58,40,18,18,18,20,22,28,52,32,10,24,16,32,22,18,36,16,18,22,30,42,18,54,20,18,12,44,36,24,26,26,8,26,2,54,60,62,60,30,30,24,12,10,36,16,28,54,58,46,36,30,16,32,16,30,56,60,8,60,14,20,52,48,52,50,14,20,14,18,26,14,16,24,20,62,20,28,16,42,26,16,20,20,22,8,10,18,22,22,30,28,8,60,50,14,18,20,54,10,60,52,16,28,22,28,8,16,26,32,54,60,54,22,4,24,22,28,52,52,30,32,22,14,58,20,26,22,20,28,28,56,60,26,12,50,28,12,28,14,12,48,22,16,16,20,22,12,54,58,14,32,22,24,18,44,28,12,24,44,46,16,46,38,18,14,26,40,16,34,20,8,10,38,36,6,26,24,32,38,28,4,16,24,44,12,18,38,14,22,18,12,28,22,22,14,24,20,34,32,16,22,10,20,44,26,14,28,22,18,10,24,16,22,24,38,28,34,10,28,28,22,20,20,12,20,12
"7",14,12,12,20,14,58,0,22,64,16,20,62,16,14,14,58,22,26,16,32,34,28,30,26,26,18,28,10,14,2,22,24,16,18,16,38,44,10,26,22,24,10,26,16,14,44,46,14,22,24,8,16,16,18,16,14,26,16,12,24,14,28,22,26,18,26,32,24,22,28,10,14,10,34,20,14,20,58,24,12,20,22,8,42,48,10,26,62,24,16,24,32,34,20,2,62,60,26,16,18,16,22,6,26,18,20,20,18,22,24,6,22,26,1e-09,22,46,18,28,54,14,26,58,28,4,8,20,18,10,12,28,20,46,44,48,52,58,60,50,50,22,56,24,28,34,28,10,22,4,42,28,30,28,26,20,62,54,60,26,32,58,46,42,54,64,54,20,44,54,4,20,1e-09,40,14,10,16,22,30,60,10,18,46,58,22,58,16,14,26,20,22,14,16,18,18,18,34,32,16,32,16,16,60,18,12,16,56,26,18,48,42,32,22,26,60,10,24,8,62,54,64,60,30,28,22,16,12,16,20,24,54,60,54,42,22,26,40,28,32,64,60,4,56,10,22,56,40,54,52,24,20,18,14,58,10,22,26,14,58,18,34,14,38,60,1e-09,12,20,16,14,8,24,22,24,32,12,16,60,50,38,8,8,52,22,62,46,24,20,20,32,14,14,32,30,50,58,60,22,12,12,24,20,56,44,36,28,22,18,50,16,24,20,20,12,26,54,58,22,1e-09,48,30,8,26,20,20,58,20,20,10,18,26,14,46,58,36,18,20,36,12,48,8,16,14,14,36,8,44,38,18,8,26,36,30,36,18,10,14,38,38,10,28,20,36,38,12,10,12,22,28,2,10,38,6,22,30,10,6,22,18,14,18,6,30,34,14,12,10,22,46,26,18,26,26,32,16,18,6,18,18,36,22,32,10,28,26,24,20,14,18,26,4
"8",60,60,62,20,24,22,22,0,26,26,24,60,22,24,18,28,20,62,10,30,28,28,30,16,32,36,36,26,26,6,18,18,10,58,8,34,26,20,16,20,10,8,30,22,28,40,24,18,30,20,10,14,14,12,30,14,30,16,12,20,16,22,26,24,2,24,28,30,32,28,24,22,20,46,18,22,16,26,40,18,10,26,8,24,50,10,22,62,24,14,20,22,32,14,2,60,60,26,8,22,18,22,18,58,20,30,32,16,46,18,8,20,26,16,24,46,26,16,56,42,16,22,44,6,16,40,14,18,40,28,18,52,48,56,54,56,48,44,54,6,54,12,20,40,26,14,28,24,24,20,50,26,22,30,52,56,54,26,38,60,48,50,54,62,48,18,46,58,10,24,18,40,14,16,22,24,34,20,16,42,34,4,16,58,20,20,22,26,24,18,14,8,20,28,26,24,14,20,52,12,58,12,20,14,52,24,24,44,46,26,26,32,52,8,28,8,50,58,52,60,48,28,24,30,20,12,6,22,56,56,60,20,2,18,36,18,32,60,58,48,58,38,24,56,44,54,54,28,22,12,38,56,14,24,14,12,20,16,26,18,32,58,16,18,26,20,18,20,56,20,26,30,24,24,54,46,34,6,22,16,8,62,58,26,28,22,12,18,12,30,38,58,60,50,20,12,22,24,28,58,50,34,28,26,22,58,14,20,24,20,8,24,56,60,16,14,56,16,10,14,22,4,52,26,18,12,22,26,14,38,56,12,28,24,32,22,28,14,20,14,8,44,6,42,34,26,22,30,36,36,36,18,18,12,36,40,16,14,30,22,38,8,14,6,14,22,16,16,34,12,20,24,12,8,24,26,16,22,4,30,22,22,22,8,14,42,22,18,26,26,26,16,22,12,20,26,30,26,36,12,14,32,24,22,18,18,16,20
"9",16,62,18,60,64,20,64,26,0,22,60,28,64,30,20,24,16,62,20,24,22,24,20,24,16,30,32,10,24,4,20,16,18,58,10,28,30,20,18,10,10,6,22,22,62,42,32,18,32,22,18,58,16,14,18,14,30,20,26,18,10,26,34,14,18,54,30,32,18,26,8,24,52,20,32,10,22,26,26,22,16,20,24,18,18,18,14,20,24,18,20,20,26,46,18,58,14,18,14,58,20,26,10,56,20,26,30,22,46,26,16,16,16,2,18,52,22,22,54,22,16,18,22,6,10,16,20,56,18,26,46,52,46,46,52,60,52,50,52,58,56,6,22,32,32,14,28,24,20,28,50,22,26,26,62,62,62,22,36,54,40,52,62,60,20,34,52,54,16,30,20,42,8,14,20,16,24,18,10,42,40,6,24,12,26,52,28,24,22,8,30,2,20,20,24,36,22,30,54,16,56,24,18,8,52,30,22,48,44,20,16,28,8,16,26,58,56,60,64,60,42,28,38,64,22,16,6,22,54,50,58,24,6,20,34,24,32,64,54,48,58,18,12,54,42,54,52,6,20,14,38,54,18,26,16,20,16,10,34,18,26,56,6,18,32,48,18,4,16,20,24,38,16,20,58,52,40,6,52,26,22,60,52,28,22,22,14,24,18,32,34,62,62,58,26,8,20,18,62,58,50,32,26,30,20,50,18,22,18,24,38,26,56,58,10,18,52,14,18,22,24,8,50,16,20,16,22,24,8,54,60,40,20,20,24,24,32,12,22,12,14,44,26,44,38,22,14,38,36,32,6,20,12,14,46,36,12,18,34,30,38,22,14,26,20,16,8,16,42,10,16,22,6,16,26,28,10,14,8,24,16,20,20,2,14,48,24,16,28,30,24,16,16,16,18,4,34,26,32,6,34,32,18,22,18,16,16,14
"10",22,24,28,12,60,8,16,26,22,0,22,22,60,20,24,26,60,60,12,26,28,18,24,48,46,22,34,8,18,6,24,58,20,24,10,22,42,18,14,16,18,14,22,16,64,24,48,20,24,16,8,60,62,22,28,16,28,26,26,20,20,28,30,16,2,54,10,30,28,20,22,18,54,30,26,10,26,24,16,16,18,62,64,38,16,1e-09,24,24,18,36,8,16,24,50,14,26,12,26,6,20,26,18,10,54,52,28,24,12,34,22,10,60,20,18,56,30,30,56,28,24,24,20,24,6,20,16,14,58,16,22,46,52,50,44,54,54,22,46,54,54,46,58,22,26,62,16,24,58,18,24,38,26,22,28,60,60,60,22,44,24,44,46,64,62,16,28,56,48,18,26,24,28,14,16,22,12,18,26,8,40,52,6,30,10,24,46,22,64,32,18,24,12,18,20,22,24,20,22,52,16,16,22,18,14,56,62,26,44,42,22,12,34,8,8,32,60,62,60,60,54,16,26,40,60,24,24,56,16,56,2,62,40,50,1e-09,20,22,22,58,62,46,58,18,24,60,42,58,42,12,22,22,16,2,6,20,16,10,18,8,30,22,28,26,6,14,24,20,12,16,16,22,20,36,22,24,54,58,18,54,58,24,6,56,58,28,30,16,16,22,22,36,36,60,60,52,26,8,28,22,56,22,54,26,18,26,14,50,10,22,26,20,16,18,54,60,16,14,52,16,2,14,22,4,50,26,18,18,12,20,18,52,52,18,26,10,22,26,46,16,16,6,20,46,42,40,44,22,14,32,38,36,12,18,14,14,36,34,14,20,32,28,36,20,24,18,18,22,18,12,30,22,24,32,12,14,24,26,28,14,2,28,16,16,12,34,16,36,20,22,26,28,34,6,24,4,20,12,28,26,22,12,32,28,22,16,28,14,24,12
