"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72"
"1",0,1260,4172,152,1412,4020,152,12202,0,1564,12124,4172,304,8612,8842,11372,11602,11450,4324,12050,8690,11524,4020,1412,4172,152,11972,1260,27863,26999,27711,26847,28595,27579,28443,27731,29751,32328,29903,29019,34179,33599,33447,33467,33315,33027,34843,27005,26853,34691,32176,34331,34271,29171,33179,34211,34423,33759,34059,33911,27737,27585,17476,17628,14340,14418,14488,14196,14044,14566,14118,13966
"2",1260,0,4312,1412,152,4160,1412,10942,1260,304,10864,4312,1564,7352,7582,11512,11742,11590,4464,10790,7430,11664,4160,152,4312,1412,10712,0,26675,25811,26523,25659,27407,26391,27255,26543,28563,31140,28715,27831,32991,32411,32259,32279,32127,31839,33655,25817,25665,33503,30988,33143,33083,27983,31991,33023,33235,32571,32871,32723,26549,26397,18736,18888,15600,15678,15748,15456,15304,15826,15378,15226
"3",4172,4312,0,4020,4160,152,4020,8230,4172,4312,8152,0,4172,11664,11590,7504,7430,7582,152,8382,11742,7352,152,4160,304,4324,8304,4312,30643,29779,30795,29931,31375,30663,31527,30511,27075,29348,26923,26343,31503,30619,30771,30487,30639,30351,31863,24025,24177,32015,29500,31351,31595,26191,30199,31231,31443,31083,31383,30931,24757,24909,21648,21496,18208,18286,18356,18064,18216,18434,17986,18138
"4",152,1412,4020,0,1260,4172,0,12050,152,1412,11972,4020,152,8764,8690,11524,11450,11602,4172,12202,8842,11372,4172,1260,4324,304,12124,1412,27711,26847,27863,26999,28443,27731,28595,27579,29903,32176,29751,29171,34331,33447,33599,33315,33467,33179,34691,26853,27005,34843,32328,34179,34423,29019,33027,34059,34271,33911,34211,33759,27585,27737,17628,17476,14188,14266,14336,14044,14196,14414,13966,14118
"5",1412,152,4160,1260,0,4312,1260,10790,1412,152,10712,4160,1412,7504,7430,11664,11590,11742,4312,10942,7582,11512,4312,0,4464,1564,10864,152,26523,25659,26675,25811,27255,26543,27407,26391,28715,30988,28563,27983,33143,32259,32411,32127,32279,31991,33503,25665,25817,33655,31140,32991,33235,27831,31839,32871,33083,32723,33023,32571,26397,26549,18888,18736,15448,15526,15596,15304,15456,15674,15226,15378
"6",4020,4160,152,4172,4312,0,4172,8382,4020,4464,8304,152,4324,11512,11742,7352,7582,7430,304,8230,11590,7504,0,4312,152,4172,8152,4160,30795,29931,30643,29779,31527,30511,31375,30663,26923,29500,27075,26191,31351,30771,30619,30639,30487,30199,32015,24177,24025,31863,29348,31503,31443,26343,30351,31383,31595,30931,31231,31083,24909,24757,21496,21648,18360,18438,18508,18216,18064,18586,18138,17986
"7",152,1412,4020,0,1260,4172,0,12050,152,1412,11972,4020,152,8764,8690,11524,11450,11602,4172,12202,8842,11372,4172,1260,4324,304,12124,1412,27711,26847,27863,26999,28443,27731,28595,27579,29903,32176,29751,29171,34331,33447,33599,33315,33467,33179,34691,26853,27005,34843,32328,34179,34423,29019,33027,34059,34271,33911,34211,33759,27585,27737,17628,17476,14188,14266,14336,14044,14196,14414,13966,14118
"8",12202,10942,8230,12050,10790,8382,12050,0,12202,10638,78,8230,11898,3590,3360,1030,800,952,8078,152,3512,878,8382,10790,8230,12050,230,10942,36865,36001,37017,36153,37725,37013,37877,36861,33425,34814,33273,32565,37097,36085,36237,35941,36093,35805,37457,30247,30399,37609,34966,36945,37049,32413,35653,36685,36897,36537,36837,36385,31107,31259,29230,29078,25790,25868,25938,25646,25798,26016,25568,25720
"9",0,1260,4172,152,1412,4020,152,12202,0,1564,12124,4172,304,8612,8842,11372,11602,11450,4324,12050,8690,11524,4020,1412,4172,152,11972,1260,27863,26999,27711,26847,28595,27579,28443,27731,29751,32328,29903,29019,34179,33599,33447,33467,33315,33027,34843,27005,26853,34691,32176,34331,34271,29171,33179,34211,34423,33759,34059,33911,27737,27585,17476,17628,14340,14418,14488,14196,14044,14566,14118,13966
"10",1564,304,4312,1412,152,4464,1412,10638,1564,0,10560,4312,1260,7352,7278,11512,11438,11590,4160,10790,7430,11360,4464,152,4312,1412,10712,304,26383,25519,26535,25671,27243,26531,27395,26379,28703,30848,28551,27843,33131,32119,32271,31975,32127,31839,33491,25525,25677,33643,31000,32979,33083,27691,31687,32719,32931,32571,32871,32419,26385,26537,18748,18596,15308,15386,15456,15164,15316,15534,15086,15238
