"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72"
"1",0,2,6,4,12,6,12,4,28,32,36,36,26,4,4,30,34,28,6,30,36,2,4,28,22,2,36,8,30,30,28,30,28,28,26,26,30,6,36,6,30,28,28,8,32,36,32,30,4,26,30,30,30,28,30,30,36,34,4,10,26,14,20,28,2,6,24,4,22,6,24,26
"2",2,0,2,4,1e-09,4,10,4,26,32,30,32,24,8,2,32,34,26,6,30,30,6,10,30,24,26,30,8,32,28,26,24,28,30,26,28,30,4,32,28,28,30,28,4,28,32,28,30,6,28,28,28,32,26,30,32,32,34,2,8,24,20,12,30,4,26,22,8,24,8,26,28
"3",6,2,0,2,6,6,8,6,26,30,28,34,30,6,6,32,32,32,8,28,32,1e-09,4,36,6,26,32,12,34,34,28,22,30,28,28,28,32,4,32,28,30,36,30,6,28,30,30,28,2,2,34,26,34,8,28,32,30,30,6,20,22,14,18,30,28,28,28,2,12,4,28,30
"4",4,4,2,0,10,10,10,2,28,32,34,34,24,6,4,30,34,26,2,32,34,10,26,32,2,28,34,4,32,28,28,24,30,26,26,26,34,4,34,30,32,32,28,8,30,34,32,28,6,6,28,32,28,6,28,30,34,28,6,18,28,16,14,28,26,28,22,6,10,6,22,24
"5",12,1e-09,6,10,0,8,8,8,26,34,30,30,22,4,6,32,36,24,10,30,34,2,26,32,8,28,34,8,36,26,26,26,28,28,26,24,32,4,32,30,26,32,28,4,26,30,32,30,6,8,26,26,30,8,30,32,30,24,8,20,22,18,16,26,26,30,20,6,12,4,24,26
"6",6,4,6,10,8,0,10,2,26,32,34,28,6,8,1e-09,34,36,4,12,30,34,4,28,36,4,26,34,6,34,10,32,26,30,30,28,30,34,6,30,28,28,34,30,2,24,34,30,28,8,10,8,24,6,2,28,34,34,26,4,20,20,18,18,32,28,30,2,2,12,4,4,2
"7",12,10,8,10,8,10,0,28,28,36,34,22,4,8,28,32,32,4,4,32,36,8,28,30,2,28,36,4,32,2,30,24,30,30,30,24,32,4,32,30,6,30,32,6,26,32,32,28,28,6,10,6,2,26,28,32,32,28,18,12,4,20,18,26,28,28,4,4,4,8,6,28
"8",4,4,6,2,8,2,28,0,30,34,32,24,2,12,28,36,34,2,2,34,32,4,26,32,6,28,32,8,36,4,30,26,28,28,32,22,34,4,32,30,6,30,32,12,28,34,30,30,28,8,8,8,6,26,30,34,34,30,16,18,2,18,20,24,26,26,6,4,10,2,2,26
"9",28,26,26,28,26,26,28,30,0,32,34,26,4,10,26,34,34,4,4,32,28,2,28,34,4,26,28,10,30,8,32,28,32,30,32,4,32,6,32,28,8,32,34,6,28,32,32,30,30,2,8,4,6,28,30,32,32,30,16,22,2,14,18,12,28,32,10,12,14,6,4,28
"10",32,32,30,32,34,32,36,34,32,0,36,28,4,8,26,32,30,8,4,34,30,8,28,34,4,32,30,6,28,4,34,22,28,32,30,6,34,2,34,32,8,32,32,10,26,34,30,30,30,8,6,8,4,28,32,30,34,28,14,22,12,18,14,10,30,26,12,10,14,8,12,30
