"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43"
"1",0,2460,4620,173505,171345,175965,172647,2160,170187,55244,50624,173805,53084,52784,172347,174807,218249,217934,219464,216719,211871,2460,0,210341,218306,6672,14057,4620,11597,9437,2160,11897,9132,4512,6972,307077,303419,307191,305203,307195,303305,288343,288310
"2",2460,0,2160,175965,173805,173505,170187,4620,172647,52784,53084,171345,50624,55244,174807,172347,220709,220394,221924,219179,214331,0,2460,212801,220766,9132,11597,2160,14057,11897,4620,9437,6672,6972,4512,307194,303423,307195,305085,307077,303422,287491,287458
"3",4620,2160,0,173805,175965,171345,172347,2460,174807,50624,55244,173505,52784,53084,172647,170187,218549,218234,219764,217019,212171,2160,4620,210641,218606,6972,9437,0,11897,14057,2460,11597,4512,9132,6672,306074,305583,306075,305397,305957,305582,287203,287170
"4",173505,175965,173805,0,2160,2460,5952,171345,3492,155915,155615,4620,158075,153455,1332,3792,220391,218736,217056,222071,227676,175965,173505,229356,218388,175227,177482,173805,175022,177182,171345,179642,177687,177387,179847,290576,290198,290690,290134,290694,290084,280433,280574
"5",171345,173805,175965,2160,0,4620,3792,173505,1332,158075,153455,2460,155915,155615,3492,5952,222551,220896,219216,224231,229836,173805,171345,231516,220548,177387,179642,175965,177182,175022,173505,177482,179847,175227,177687,291696,288038,291810,289822,291814,287924,280721,280862
"6",175965,173505,171345,2460,4620,0,3492,173805,5952,153455,158075,2160,155615,155915,3792,1332,222851,221196,219516,224531,230136,173505,175965,231816,220848,177687,175022,171345,177482,179642,173805,177182,175227,179847,177387,290693,290202,290694,290016,290576,290201,279581,279722
"7",172647,170187,172347,5952,3792,3492,0,174807,2460,154457,154757,1332,152297,156917,4620,2160,226343,222048,223008,225383,233628,170187,172647,232668,221676,179037,177452,172347,179912,177752,174807,175292,176577,176877,174417,291457,287686,291458,289348,291340,287685,281201,281342
"8",2160,4620,2460,171345,173505,173805,174807,0,172347,53084,52784,175965,55244,50624,170187,172647,216089,215774,217304,214559,209711,4620,2160,208181,216146,4512,11897,2460,9437,11597,0,14057,6972,6672,9132,305957,305579,306071,305515,306075,305465,288055,288022
"9",170187,172647,174807,3492,1332,5952,2460,172347,0,156917,152297,3792,154757,154457,2160,4620,223883,219588,220548,222923,231168,172647,170187,230208,219216,176577,179912,174807,177452,175292,172347,177752,179037,174417,176877,291340,287682,291454,289466,291458,287568,282053,282194
"10",55244,52784,50624,155915,158075,153455,154457,53084,156917,0,4620,155615,2160,2460,154757,152297,208225,198914,200444,206695,208555,52784,55244,207025,199286,57596,60061,50624,62521,64681,53084,62221,55136,59756,57296,263738,263247,263739,263061,263621,263246,246575,246794
"11",50624,53084,55244,155615,153455,158075,154757,52784,152297,4620,0,155915,2460,2160,154457,156917,207925,198614,200144,206395,208255,53084,50624,206725,198986,57296,64681,55244,62221,60061,52784,62521,59756,55136,57596,264741,261083,264855,262867,264859,260969,247715,247934
"12",173805,171345,173505,4620,2460,2160,1332,175965,3792,155615,155915,0,153455,158075,5952,3492,225011,223356,221676,226691,232296,171345,173805,233976,223008,179847,177182,173505,179642,177482,175965,175022,177387,177687,175227,291813,288042,291814,289704,291696,288041,279869,280010
"13",53084,50624,52784,158075,155915,155615,152297,55244,154757,2160,2460,153455,0,4620,156917,154457,210385,201074,202604,208855,210715,50624,53084,209185,201446,59756,62221,52784,64681,62521,55244,60061,57296,57596,55136,264858,261087,264859,262749,264741,261086,246863,247082
"14",52784,55244,53084,153455,155615,155915,156917,50624,154457,2460,2160,158075,4620,0,152297,154757,205765,196454,197984,204235,206095,55244,52784,204565,196826,55136,62521,53084,60061,62221,50624,64681,57596,57296,59756,263621,263243,263735,263179,263739,263129,247427,247646
"15",172347,174807,172647,1332,3492,3792,4620,170187,2160,154757,154457,5952,156917,152297,0,2460,221723,217428,218388,220763,229008,174807,172347,228048,217056,174417,177752,172647,175292,177452,170187,179912,176877,176577,179037,290220,289842,290334,289778,290338,289728,281765,281906
"16",174807,172347,170187,3792,5952,1332,2160,172647,4620,152297,156917,3492,154457,154757,2460,0,224183,219888,220848,223223,231468,172347,174807,230508,219516,176877,175292,170187,177752,179912,172647,177452,174417,179037,176577,290337,289846,290338,289660,290220,289845,280913,281054
