"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43"
"1",0,4,6,36,2,40,40,1e-09,6,72,38,38,8,72,38,6,72,40,42,6,36,42,68,46,42,72,44,40,38,62,66,70,62,44,44,60,8,62,2,42,74,74,72
"2",4,0,38,42,36,8,36,32,2,72,36,44,2,72,6,6,62,36,68,10,40,44,68,42,10,72,42,36,42,36,56,62,4,46,42,60,6,62,6,60,64,74,72
"3",6,38,0,40,10,6,38,38,10,72,6,40,12,70,8,1e-09,62,42,68,40,68,40,68,42,4,72,40,6,40,42,56,62,42,38,40,60,38,62,72,60,64,72,72
"4",36,42,40,0,4,38,38,4,8,70,40,42,10,62,40,10,2,38,68,42,66,46,68,40,36,72,38,10,36,10,6,36,38,42,42,60,44,62,70,60,10,64,70
"5",2,36,10,4,0,42,34,12,2,62,6,42,6,62,36,12,4,42,68,38,68,42,56,38,40,72,38,34,38,6,42,40,40,44,38,60,40,52,72,60,12,64,62
"6",40,8,6,38,42,0,4,6,6,62,8,38,6,40,42,4,10,38,68,44,68,38,56,44,38,72,42,40,38,44,38,38,40,40,46,60,40,52,72,60,4,12,62
"7",40,36,38,38,34,4,0,8,72,2,36,1e-09,4,42,38,8,36,42,68,40,68,42,42,42,34,62,42,10,34,46,44,34,42,40,42,54,42,4,72,60,8,6,72
"8",1e-09,32,38,4,12,6,8,0,70,42,4,4,6,36,40,2,6,40,56,40,66,46,4,42,36,62,36,10,8,42,40,36,42,38,40,54,36,36,70,54,2,4,70
"9",6,2,10,8,2,6,72,70,0,40,10,36,2,38,40,8,40,36,56,36,56,44,38,38,36,42,40,4,4,48,42,36,38,36,44,8,46,42,62,54,8,8,72
"10",72,72,72,70,62,62,2,42,40,0,42,42,72,4,36,4,38,42,6,44,56,40,40,38,32,36,68,14,32,44,42,32,40,42,62,8,42,8,62,8,4,72,72
