"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23"
"1",0,104,9184,208,9080,104,9080,0,208,9184,104,104,9080,9484,208,9184,104,0,104,208,9080,9184,104
"2",104,0,9080,104,8976,208,8976,104,104,9080,0,208,8976,9380,104,9080,0,104,0,104,8976,9080,208
"3",9184,9080,0,8976,104,9080,104,9184,8976,0,9080,9080,104,300,8976,0,9080,9184,9080,8976,104,0,9080
"4",208,104,8976,0,9080,104,9080,208,0,8976,104,104,9080,9276,0,8976,104,208,104,0,9080,8976,104
"5",9080,8976,104,9080,0,9184,0,9080,9080,104,8976,9184,0,404,9080,104,8976,9080,8976,9080,0,104,9184
"6",104,208,9080,104,9184,0,9184,104,104,9080,208,0,9184,9380,104,9080,208,104,208,104,9184,9080,0
"7",9080,8976,104,9080,0,9184,0,9080,9080,104,8976,9184,0,404,9080,104,8976,9080,8976,9080,0,104,9184
"8",0,104,9184,208,9080,104,9080,0,208,9184,104,104,9080,9484,208,9184,104,0,104,208,9080,9184,104
"9",208,104,8976,0,9080,104,9080,208,0,8976,104,104,9080,9276,0,8976,104,208,104,0,9080,8976,104
"10",9184,9080,0,8976,104,9080,104,9184,8976,0,9080,9080,104,300,8976,0,9080,9184,9080,8976,104,0,9080
"11",104,0,9080,104,8976,208,8976,104,104,9080,0,208,8976,9380,104,9080,0,104,0,104,8976,9080,208
"12",104,208,9080,104,9184,0,9184,104,104,9080,208,0,9184,9380,104,9080,208,104,208,104,9184,9080,0
"13",9080,8976,104,9080,0,9184,0,9080,9080,104,8976,9184,0,404,9080,104,8976,9080,8976,9080,0,104,9184
"14",9484,9380,300,9276,404,9380,404,9484,9276,300,9380,9380,404,0,9276,300,9380,9484,9380,9276,404,300,9380
"15",208,104,8976,0,9080,104,9080,208,0,8976,104,104,9080,9276,0,8976,104,208,104,0,9080,8976,104
"16",9184,9080,0,8976,104,9080,104,9184,8976,0,9080,9080,104,300,8976,0,9080,9184,9080,8976,104,0,9080
"17",104,0,9080,104,8976,208,8976,104,104,9080,0,208,8976,9380,104,9080,0,104,0,104,8976,9080,208
"18",0,104,9184,208,9080,104,9080,0,208,9184,104,104,9080,9484,208,9184,104,0,104,208,9080,9184,104
"19",104,0,9080,104,8976,208,8976,104,104,9080,0,208,8976,9380,104,9080,0,104,0,104,8976,9080,208
"20",208,104,8976,0,9080,104,9080,208,0,8976,104,104,9080,9276,0,8976,104,208,104,0,9080,8976,104
"21",9080,8976,104,9080,0,9184,0,9080,9080,104,8976,9184,0,404,9080,104,8976,9080,8976,9080,0,104,9184
"22",9184,9080,0,8976,104,9080,104,9184,8976,0,9080,9080,104,300,8976,0,9080,9184,9080,8976,104,0,9080
"23",104,208,9080,104,9184,0,9184,104,104,9080,208,0,9184,9380,104,9080,208,104,208,104,9184,9080,0
