"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23"
"1",0,2,6,4,1e-09,2,2,2,2,1e-09,4,1e-09,4,1e-09,4,1e-09,2,2,1e-09,2,4,6,4
"2",2,0,4,2,4,4,1e-09,4,4,2,2,4,1e-09,4,2,6,6,4,2,2,4,8,2
"3",6,4,0,4,6,8,2,2,1e-09,1e-09,6,6,2,2,2,6,1e-09,8,2,1e-09,2,6,1e-09
"4",4,2,4,0,2,4,4,2,4,2,2,4,2,2,4,2,4,4,4,4,4,4,2
"5",1e-09,4,6,2,0,6,4,4,2,2,1e-09,2,2,6,2,4,4,6,2,4,2,4,2
"6",2,4,8,4,6,0,6,2,6,4,4,2,4,1e-09,4,4,2,2,1e-09,2,6,2,4
"7",2,1e-09,2,4,4,6,0,2,2,4,4,1e-09,4,4,1e-09,2,2,1e-09,4,6,4,6,4
"8",2,4,2,2,4,2,2,0,4,2,2,4,1e-09,4,2,4,4,2,2,2,1e-09,2,2
"9",2,4,1e-09,4,2,6,2,4,0,2,2,4,2,2,6,2,2,4,2,4,4,2,4
"10",1e-09,2,1e-09,2,2,4,4,2,2,0,2,2,2,2,6,6,4,4,4,1e-09,4,4,4
"11",4,2,6,2,1e-09,4,4,2,2,2,0,4,4,6,2,4,1e-09,6,4,2,2,2,6
"12",1e-09,4,6,4,2,2,1e-09,4,4,2,4,0,2,1e-09,2,1e-09,2,2,2,1e-09,2,1e-09,2
"13",4,1e-09,2,2,2,4,4,1e-09,2,2,4,2,0,4,4,4,6,2,2,2,4,4,2
"14",1e-09,4,2,2,6,1e-09,4,4,2,2,6,1e-09,4,0,4,4,4,2,2,2,2,2,2
"15",4,2,2,4,2,4,1e-09,2,6,6,2,2,4,4,0,2,6,2,1e-09,4,4,2,4
"16",1e-09,6,6,2,4,4,2,4,2,6,4,1e-09,4,4,2,0,2,4,4,4,1e-09,4,4
"17",2,6,1e-09,4,4,2,2,4,2,4,1e-09,2,6,4,6,2,0,4,6,6,2,6,4
"18",2,4,8,4,6,2,1e-09,2,4,4,6,2,2,2,2,4,4,0,4,6,6,4,2
"19",1e-09,2,2,4,2,1e-09,4,2,2,4,4,2,2,2,1e-09,4,6,4,0,2,4,2,2
"20",2,2,1e-09,4,4,2,6,2,4,1e-09,2,1e-09,2,2,4,4,6,6,2,0,2,2,2
"21",4,4,2,4,2,6,4,1e-09,4,4,2,2,4,2,4,1e-09,2,6,4,2,0,1e-09,6
"22",6,8,6,4,4,2,6,2,2,4,2,1e-09,4,2,2,4,6,4,2,2,1e-09,0,4
"23",4,2,1e-09,2,2,4,4,2,4,4,6,2,2,2,4,4,4,2,2,2,6,4,0
