"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48"
"1",0,2,18,14,24,26,18,22,4,20,16,24,18,16,18,14,20,2,2,16,12,22,4,1e-09,2,28,10,16,18,26,10,10,22,14,20,14,16,18,18,20,8,22,2,22,18,22,20,16
"2",2,0,16,16,16,20,18,24,16,20,22,28,20,18,24,16,18,24,22,16,20,14,2,4,14,14,6,14,28,18,16,8,4,22,18,18,14,16,20,30,6,20,2,10,20,24,22,14
"3",18,16,0,16,26,14,18,18,14,12,20,22,26,18,2,1e-09,18,2,16,18,18,14,10,2,2,18,22,18,14,14,2,20,6,20,26,16,16,22,18,12,22,16,4,12,4,22,4,16
"4",14,16,16,0,22,22,14,18,16,22,18,16,20,16,4,12,18,16,18,28,16,12,8,8,14,16,22,16,18,18,8,8,6,16,24,18,4,16,8,20,24,14,6,10,6,2,2,26
"5",24,16,26,22,0,20,22,22,14,2,16,20,20,22,18,4,18,12,20,14,4,18,2,4,12,24,24,14,16,16,12,24,4,10,14,16,16,12,18,18,16,18,2,18,14,22,8,18
"6",26,20,14,22,20,0,16,14,16,12,18,22,24,22,14,24,14,20,14,18,16,18,18,20,6,22,22,2,24,14,4,8,2,12,8,6,12,24,6,26,24,16,18,14,6,20,4,16
"7",18,18,18,14,22,16,0,16,16,10,18,20,12,10,22,18,16,1e-09,14,16,1e-09,20,6,30,10,12,18,14,22,14,24,14,14,10,2,14,6,18,2,24,22,18,28,26,6,22,20,14
"8",22,24,18,18,22,14,16,0,14,18,26,20,14,20,2,16,14,22,22,24,20,30,14,14,8,10,12,2,1e-09,16,24,12,2,4,8,6,8,20,4,2,1e-09,16,16,30,2,16,30,22
"9",4,16,14,16,14,16,16,14,0,16,18,20,2,4,20,22,14,22,20,22,14,12,10,20,2,20,20,22,22,6,22,2,18,16,16,18,6,18,6,20,22,6,18,20,2,18,14,20
"10",20,20,12,22,2,12,10,18,16,0,28,16,18,14,24,16,16,22,22,1e-09,20,20,4,18,2,6,8,16,8,10,24,8,14,4,8,18,1e-09,20,2,6,4,10,16,22,22,6,20,16
"11",16,22,20,18,16,18,18,26,18,28,0,24,16,12,20,12,26,16,16,22,22,18,10,26,12,2,8,18,4,20,20,8,8,12,20,12,4,18,16,20,6,6,24,24,24,10,18,10
"12",24,28,22,16,20,22,20,20,20,16,24,0,18,16,14,24,16,14,22,14,16,26,8,24,20,2,10,20,10,24,10,8,6,10,20,2,12,18,26,6,4,22,22,26,16,12,26,10
"13",18,20,26,20,20,24,12,14,2,18,16,18,0,14,16,18,16,18,20,14,16,24,2,16,22,8,12,14,16,24,22,20,8,4,14,12,20,18,16,12,12,22,14,22,14,2,24,10
"14",16,18,18,16,22,22,10,20,4,14,12,16,14,0,16,20,14,16,16,22,20,2,6,6,16,10,8,14,8,16,6,20,2,12,1e-09,6,22,18,16,14,8,24,8,22,16,4,16,4
"15",18,24,2,4,18,14,22,2,20,24,20,14,16,16,0,18,22,14,20,2,22,20,10,8,22,14,24,22,6,18,10,26,2,10,14,6,18,14,14,1e-09,20,22,14,4,14,6,6,2
"16",14,16,1e-09,12,4,24,18,16,22,16,12,24,18,20,18,0,20,2,16,24,24,4,22,12,20,12,28,20,12,20,8,20,14,4,8,18,22,16,22,24,30,18,18,4,16,2,2,6
"17",20,18,18,18,18,14,16,14,14,16,26,16,16,14,22,20,0,14,12,20,14,8,24,14,6,6,22,22,20,16,14,16,18,4,8,16,20,14,20,24,14,12,20,10,16,20,8,4
"18",2,24,2,16,12,20,1e-09,22,22,22,16,14,18,16,14,2,14,0,14,24,24,16,16,10,20,22,20,16,12,22,10,14,20,10,20,18,6,14,14,22,20,20,18,8,14,20,4,18
"19",2,22,16,18,20,14,14,22,20,22,16,22,20,16,20,16,12,14,0,18,22,14,24,10,4,10,22,22,24,8,26,18,20,22,14,20,20,16,12,24,18,8,20,4,20,22,18,26
"20",16,16,18,28,14,18,16,24,22,1e-09,22,14,14,22,2,24,20,24,18,0,14,6,22,4,1e-09,22,24,20,12,4,30,10,20,24,16,18,2,26,20,20,26,8,18,22,20,4,28,20
"21",12,20,18,16,4,16,1e-09,20,14,20,22,16,16,20,22,24,14,24,22,14,0,10,4,2,2,6,20,16,18,10,20,10,18,14,18,16,2,16,14,6,24,10,8,6,8,6,14,12
"22",22,14,14,12,18,18,20,30,12,20,18,26,24,2,20,4,8,16,14,6,10,0,22,10,8,12,20,20,8,8,22,12,8,24,20,12,4,16,20,22,16,12,18,22,18,4,18,12
"23",4,2,10,8,2,18,6,14,10,4,10,8,2,6,10,22,24,16,24,22,4,22,0,8,4,14,2,16,6,16,24,10,18,22,18,16,6,14,22,10,10,8,6,20,2,12,16,6
"24",1e-09,4,2,8,4,20,30,14,20,18,26,24,16,6,8,12,14,10,10,4,2,10,8,0,18,1e-09,22,12,12,14,26,6,4,4,14,8,2,22,16,12,14,24,2,22,12,8,24,8
"25",2,14,2,14,12,6,10,8,2,2,12,20,22,16,22,20,6,20,4,1e-09,2,8,4,18,0,6,22,14,12,8,22,22,4,22,18,8,18,20,16,10,8,28,4,16,10,20,22,28
"26",28,14,18,16,24,22,12,10,20,6,2,2,8,10,14,12,6,22,10,22,6,12,14,1e-09,6,0,22,16,12,24,22,26,6,2,10,10,28,2,20,18,8,22,6,18,14,30,12,30
"27",10,6,22,22,24,22,18,12,20,8,8,10,12,8,24,28,22,20,22,24,20,20,2,22,22,22,0,16,18,12,1e-09,24,4,2,10,1e-09,16,24,22,14,20,20,2,2,12,14,10,10
"28",16,14,18,16,14,2,14,2,22,16,18,20,14,14,22,20,22,16,22,20,16,20,16,12,14,16,16,0,18,20,6,18,1e-09,1e-09,12,4,18,16,24,26,14,22,16,10,16,20,10,8
"29",18,28,14,18,16,24,22,1e-09,22,8,4,10,16,8,6,12,20,12,24,12,18,8,6,12,12,12,18,18,0,4,12,20,16,10,2,14,16,14,14,30,16,24,26,12,22,18,6,16
