"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100","V101","V102","V103","V104","V105","V106","V107","V108","V109","V110","V111","V112","V113","V114","V115","V116","V117","V118","V119","V120","V121","V122","V123","V124","V125","V126","V127","V128","V129","V130","V131","V132","V133","V134","V135","V136","V137","V138","V139","V140","V141","V142","V143","V144","V145","V146","V147","V148","V149","V150","V151","V152","V153","V154","V155","V156","V157","V158","V159","V160","V161","V162","V163","V164","V165","V166","V167","V168","V169","V170","V171","V172","V173","V174","V175","V176","V177","V178","V179","V180","V181","V182","V183","V184","V185","V186","V187","V188","V189","V190","V191","V192","V193","V194","V195","V196","V197","V198","V199","V200","V201","V202","V203","V204","V205","V206","V207","V208","V209","V210","V211","V212","V213","V214","V215","V216","V217","V218","V219","V220","V221","V222","V223","V224","V225","V226","V227","V228","V229","V230","V231","V232","V233","V234","V235","V236","V237","V238","V239","V240","V241","V242","V243","V244","V245","V246","V247","V248","V249","V250","V251","V252","V253","V254","V255","V256","V257","V258","V259","V260","V261","V262","V263","V264","V265","V266","V267","V268","V269","V270","V271","V272","V273","V274","V275","V276","V277","V278","V279","V280","V281","V282","V283","V284","V285","V286","V287","V288","V289","V290","V291","V292","V293","V294","V295","V296","V297","V298","V299","V300","V301","V302","V303","V304","V305","V306","V307","V308","V309","V310","V311","V312","V313","V314","V315","V316","V317","V318","V319","V320","V321","V322","V323","V324","V325","V326","V327","V328","V329","V330","V331","V332","V333","V334","V335","V336","V337","V338","V339","V340","V341","V342","V343","V344","V345","V346","V347","V348","V349","V350","V351","V352","V353","V354","V355","V356","V357","V358","V359","V360","V361","V362","V363","V364","V365","V366","V367","V368","V369","V370","V371","V372","V373","V374","V375","V376","V377","V378","V379","V380","V381","V382","V383","V384","V385","V386","V387","V388","V389","V390","V391","V392","V393","V394","V395","V396","V397","V398","V399","V400","V401","V402","V403","V404","V405","V406","V407","V408","V409","V410"
"1",0,4012,2716,4410,10124,4132,4574,10242,1622,4292,10982,2244,9844,8738,5474,1152,2376,10242,4734,9758,8620,4336,3230,3926,2554,2330,2290,2494,2788,1270,10864,3232,4132,10864,9962,9640,5356,3456,9640,3112,4616,10124,4616,2656,2172,4734,4250,4130,1224,2362,8620,4454,9962,3808,5356,2232,2774,5474,4336,9844,2436,3112,4250,3230,3514,10982,4454,3716,2906,3350,1212,3574,2834,2350,3396,1342,1138,5150,4456,3436,5032,9758,3554,118,8738,3834,1020,0,4012,2716,4410,10124,4132,4574,10242,1622,4292,10982,2244,9844,8738,5474,1152,2376,10242,4734,9758,8620,4336,3230,3926,2554,2330,2290,2494,2788,1270,10864,3232,4132,10864,9962,9640,5356,3456,9640,3112,4616,10124,4616,2656,2172,4734,4250,4130,1224,2362,8620,4454,9962,3808,5356,2232,2774,5474,4336,9844,2436,3112,4250,3230,3514,10982,4454,3716,2906,3350,1212,3574,2834,2350,3396,1342,1138,5150,4456,3436,5032,9758,3554,118,8738,3834,1020,1668,4940,9640,9758,3808,3304,5032,9962,2362,2244,10864,5264,10982,4202,2880,3926,10242,6122,5474,4780,9758,11512,5150,11630,10492,4454,4898,3230,3878,3554,4660,3232,8738,11630,4984,9962,3396,4250,5264,3834,10890,9268,10772,10242,3024,2330,9640,1138,2554,1270,2494,3760,3456,10124,3202,9844,3554,1786,2436,1990,10406,1978,2906,1342,5356,4898,3230,4222,648,3422,3482,2892,1800,2820,2938,5102,6004,3142,2774,2212,1152,2376,4336,4132,3112,9386,9268,10492,4454,2172,10982,4130,4336,2290,10610,3998,2270,2152,2834,3716,1330,4456,9844,1872,6004,5474,1622,4734,5382,10124,10890,4616,4410,4780,2716,3514,4456,5102,4084,5104,1504,4616,3084,3574,766,2998,2788,1224,4574,10288,10864,2860,11512,8620,8738,10610,4044,1918,3760,4104,3010,4482,2656,2978,10772,8620,3112,1020,0,118,4292,9386,3436,4984,4364,3350,2350,4734,5356,5382,3364,5798,6122,5222,4778,5680,10406,5058,10288,89026,89230,88064,81454,81350,81405,80181,89964,81685,80010,89343,90363,81234,82140,81088,90250,90192,87948,89058,88944,89288,81514,81400,80970,89568,88854,90308,89172,89338,88006,89139,89224,89510,82026,80916,82254,87720,79896,88740,88119,80068,82370,79782,81572,81201,81146,81006,81030,81292,88968,82312,90132,81174,89112,89452,88908,81120,80802,82425,90078,81286,81630,82194,87834,89623,89084,80126
"2",4012,0,1904,398,10400,6876,1762,10538,3186,280,11258,3808,10140,11462,5750,3436,2212,10518,5030,12482,11344,4632,5954,2362,1742,1966,4574,2330,1224,3554,11140,2868,6856,11160,10238,12384,5652,2644,12364,5836,4892,10420,4912,2492,4456,5010,6974,118,2788,3926,11364,4750,10258,2244,5632,3868,2610,5770,4612,10120,1624,5856,6994,5974,3350,11278,4730,904,1342,2986,2848,2762,2022,3986,3232,2906,5150,1138,1644,624,1020,12502,742,4130,11482,1022,5032,4012,0,1904,398,10400,6876,1762,10538,3186,280,11258,3808,10140,11462,5750,3436,2212,10518,5030,12482,11344,4632,5954,2362,1742,1966,4574,2330,1224,3554,11140,2868,6856,11160,10238,12384,5652,2644,12364,5836,4892,10420,4912,2492,4456,5010,6974,118,2788,3926,11364,4750,10258,2244,5632,3868,2610,5770,4612,10120,1624,5856,6994,5974,3350,11278,4730,904,1342,2986,2848,2762,2022,3986,3232,2906,5150,1138,1644,624,1020,12502,742,4130,11482,1022,5032,5680,928,12384,12502,2244,3140,1020,10238,3926,3808,11140,5560,11258,1390,4516,2362,10538,6398,5750,7504,12482,11788,1138,11906,10768,4730,7642,5974,6622,742,648,2868,11482,11926,5280,10258,3232,6994,5540,1022,11166,11992,11048,10518,2860,1966,12364,5150,1742,3554,2330,6504,2644,10400,2390,10120,1990,5798,1624,3554,13150,3614,1342,2906,5632,7622,5954,3410,4660,3258,2670,4456,4084,5104,5222,5398,6280,2978,2610,1848,3436,2212,4632,6876,5856,12130,12012,10788,4750,4456,11278,118,4612,4574,10906,3634,3834,3716,2022,904,2966,1644,10140,3436,6300,5770,3186,5010,5678,10420,11186,4912,398,7524,1904,3350,2892,5378,1272,2292,3068,4892,2272,2762,4778,4634,1224,2788,3010,13032,11160,2496,11808,11364,11462,10886,3880,4202,6484,3292,4574,1670,2492,2614,11068,11344,5836,5032,4012,4130,280,12110,1872,5260,1552,2986,3986,5030,5652,5658,2552,1786,6418,2410,766,1668,13130,1046,13012,92078,89834,91116,82058,81954,82009,83233,90568,82289,83062,89947,90967,81838,82744,84140,90854,90796,91000,89662,89548,89892,82118,82004,84022,90172,91906,90912,89776,89942,91058,92191,89828,90114,82630,83968,82858,90772,82948,91792,91171,83120,82974,82834,82176,84253,84198,81610,84082,81896,92020,82916,90736,81778,89716,90056,91960,81724,83854,83029,90682,81890,82234,82798,90886,90227,92136,83178
"3",2716,1904,0,1742,9736,6488,2250,9758,1330,1624,10986,2344,9920,11358,5478,3292,2068,9854,4250,12210,11240,4412,5850,4098,398,2622,4262,2186,3128,3410,10868,3356,6584,10772,10134,11996,5264,1132,12092,5732,4228,9640,4132,1788,4144,4346,6702,2022,1492,2462,11144,4530,10038,3980,5360,2356,1906,5382,4508,10016,280,5636,6606,5754,3038,10890,4626,1000,3246,3474,1504,1250,118,2474,2920,1610,3686,2874,2132,1280,2756,12114,1398,2834,11262,1118,3568,2716,1904,0,1742,9736,6488,2250,9758,1330,1624,10986,2344,9920,11358,5478,3292,2068,9854,4250,12210,11240,4412,5850,4098,398,2622,4262,2186,3128,3410,10868,3356,6584,10772,10134,11996,5264,1132,12092,5732,4228,9640,4132,1788,4144,4346,6702,2022,1492,2462,11144,4530,10038,3980,5360,2356,1906,5382,4508,10016,280,5636,6606,5754,3038,10890,4626,1000,3246,3474,1504,1250,118,2474,2920,1610,3686,2874,2132,1280,2756,12114,1398,2834,11262,1118,3568,4216,2272,11996,12114,3980,2436,2756,10134,2462,2344,10868,4780,10986,2046,3004,4098,9758,6126,5478,7232,12210,11516,2874,11634,10664,4626,7254,5754,6402,1398,2552,3356,11262,11538,5060,10038,2920,6606,4876,1118,10502,11888,10384,9854,2716,2622,12092,3686,398,3410,2186,6284,1132,9736,1046,10016,3894,4334,280,2258,12762,2270,3246,1610,5360,7350,5850,1898,3364,2554,766,2992,3940,4792,4910,5178,6008,2834,1906,2504,3292,2068,4412,6488,5636,11910,11792,10568,4530,4144,10890,2022,4508,4262,10686,4122,1978,1860,118,1000,1622,2132,9920,2140,5912,5382,1330,4346,4898,9640,10406,4132,1742,7136,0,3038,4628,5274,1928,2780,1212,4228,928,1250,3482,3122,3128,1492,4746,12644,10772,3152,11420,11144,11358,10782,3568,4058,6380,1780,3110,1766,1788,3270,10288,11240,5732,3568,2716,2834,1624,12006,3776,5156,1648,3474,2474,4250,5264,4994,648,3522,6030,2898,2670,3404,12858,2390,12740,91574,89498,90780,81162,81618,81673,82897,90064,81393,82726,89611,90463,81502,82240,83636,90350,90292,90664,89326,89212,89556,81222,81108,83518,89276,91402,90408,89440,89046,90722,91687,88932,89218,82126,83464,82354,90436,82612,91288,90835,82784,82470,82498,81280,83749,83694,81274,83578,81560,91516,82412,90232,81442,89380,89160,91456,81388,83350,82525,90178,80994,81338,82294,90550,89331,91632,82842
"4",4410,398,1742,0,10238,7106,1756,10140,2788,118,11252,4038,10538,11624,5744,3834,2610,10120,4632,12476,11742,5030,6116,2356,1904,2128,4568,2492,1622,3716,11370,3098,7086,11390,10400,12614,5882,2874,12594,6234,4730,10258,4750,2330,4686,4612,6968,280,3186,3920,11762,4912,10420,2474,5862,4098,2212,5764,5010,10518,2022,6254,6988,6136,3344,11272,4892,742,1504,2980,3246,2756,1624,3980,3462,3068,5144,1132,1874,1022,1250,12496,904,4292,11644,624,5262,4410,398,1742,0,10238,7106,1756,10140,2788,118,11252,4038,10538,11624,5744,3834,2610,10120,4632,12476,11742,5030,6116,2356,1904,2128,4568,2492,1622,3716,11370,3098,7086,11390,10400,12614,5882,2874,12594,6234,4730,10258,4750,2330,4686,4612,6968,280,3186,3920,11762,4912,10420,2474,5862,4098,2212,5764,5010,10518,2022,6254,6988,6136,3344,11272,4892,742,1504,2980,3246,2756,1624,3980,3462,3068,5144,1132,1874,1022,1250,12496,904,4292,11644,624,5262,5910,766,12614,12496,2474,2978,1250,10400,3920,4038,11370,5398,11252,1552,4746,2356,10140,6392,5744,7734,12476,12018,1132,11900,11166,4892,7636,6136,6784,904,1046,3098,11644,11920,5678,10420,3462,6988,5378,624,10768,12390,10886,10120,3258,2128,12594,5144,1904,3716,2492,6902,2874,10238,2552,10518,2152,5792,2022,3716,13144,3776,1504,3068,5862,7616,6116,3404,5058,2860,2272,4686,4482,5334,5216,5560,6510,3140,2212,2246,3834,2610,5030,7106,6254,12292,12410,11186,4912,4686,11272,280,5010,4568,11068,3628,3436,3554,1624,742,3128,1874,10538,3834,6530,5764,2788,4612,5280,10258,10788,4750,0,7754,1742,3344,3122,5540,1670,2522,2906,4730,2670,2756,4940,4628,1622,3186,3004,13262,11390,2894,12038,11762,11624,11048,4110,4364,6882,3522,4568,1272,2330,2776,10906,11742,6234,5262,4410,4292,118,12272,2270,5658,1390,2980,3980,4632,5882,5260,2390,1780,6412,2404,928,1898,13124,648,13242,92072,89996,91394,81664,82232,82232,83456,90680,81952,83399,90170,91022,82175,82970,84134,90848,90965,91337,90056,89828,90170,81895,81838,84020,89890,92132,91022,90113,89776,91220,92246,89548,89716,82742,84194,83027,91052,83342,91904,91394,83282,83084,83114,81778,84308,84308,81890,84251,82058,92189,82910,90734,81944,89882,89833,91958,82118,83966,83084,90908,81610,81952,82796,91280,89890,92246,83456
"5",10124,10400,9736,10238,0,8096,10986,350,8738,10120,1250,9752,512,1622,6758,10892,9668,118,5858,2474,1504,6020,7130,12594,10134,11358,11862,9786,11624,11010,1132,12092,7864,1364,398,2588,6872,10868,2356,7012,5508,232,5740,9388,11744,5626,7982,10518,8900,9870,1736,6138,630,12476,6640,12092,9506,6990,5788,280,10016,7244,8214,7362,10638,1482,5906,9736,11742,12210,11240,10986,9854,12210,10520,9018,11094,11370,10868,10016,11252,2706,10134,10242,1854,9854,10976,10124,10400,9736,10238,0,8096,10986,350,8738,10120,1250,9752,512,1622,6758,10892,9668,118,5858,2474,1504,6020,7130,12594,10134,11358,11862,9786,11624,11010,1132,12092,7864,1364,398,2588,6872,10868,2356,7012,5508,232,5740,9388,11744,5626,7982,10518,8900,9870,1736,6138,630,12476,6640,12092,9506,6990,5788,280,10016,7244,8214,7362,10638,1482,5906,9736,11742,12210,11240,10986,9854,12210,10520,9018,11094,11370,10868,10016,11252,2706,10134,10242,1854,9854,10976,11624,10768,2588,2706,12476,10036,11252,398,9870,9752,1132,6388,1250,10782,12740,12594,350,7406,6758,8512,2474,1780,11370,1898,928,5906,8862,7362,8010,10134,11048,12092,1854,2130,6668,630,10520,8214,6156,9854,766,2152,648,118,10316,11358,2356,11094,10134,11010,9786,7892,10868,0,10782,280,12390,11742,10016,9666,3354,12006,11742,9018,6640,8630,7130,11634,10772,10154,10502,10400,11540,12392,12510,6786,7288,10434,9506,11240,10892,9668,6020,8096,7244,2502,2384,1160,6138,11744,1482,10518,5788,11862,1278,12858,9386,9268,9854,9736,11358,10868,512,9548,7520,6990,8738,5626,6506,232,998,5740,10238,8744,9736,10638,13124,6554,10664,11516,8620,5508,10664,10986,10890,12858,11624,8900,13242,3236,1364,11888,2012,1736,1622,1046,11168,11658,7660,11516,10518,10502,9388,12006,880,1504,7012,10976,10124,10242,10120,2270,12272,6436,10384,12210,12210,5858,6872,6274,10384,12018,7638,11634,11166,11900,3122,10886,3004,82206,80130,81412,71794,72250,72305,73529,80696,72025,73358,80243,81095,72134,72872,74268,80982,80924,81296,79958,79844,80188,71854,71740,74150,79908,82034,81040,80072,79678,81354,82319,79564,79850,72758,74096,72986,81068,73244,81920,81467,73416,73102,73130,71912,74381,74326,71906,74210,72192,82148,73044,80864,72074,80012,79792,82088,72020,73982,73157,80810,71626,71970,72926,81182,79963,82264,73474
"6",4132,6876,6488,7106,8096,0,5494,7982,5586,6988,7082,4336,7752,6878,1574,5092,6316,8214,2474,5858,6760,2244,1370,4750,6494,5290,4190,6434,5652,5210,6964,4152,232,6732,8102,5508,1224,5356,5740,1252,2588,7864,2356,6428,4072,2706,350,6994,5356,4454,6528,2362,7870,4632,1456,4132,6546,1342,2476,7984,6376,1020,118,1138,5414,6850,2594,6508,5770,4270,5152,5474,6606,4250,5296,5474,3230,5974,5376,6396,5856,5626,6514,4250,6646,6626,3112,4132,6876,6488,7106,8096,0,5494,7982,5586,6988,7082,4336,7752,6878,1574,5092,6316,8214,2474,5858,6760,2244,1370,4750,6494,5290,4190,6434,5652,5210,6964,4152,232,6732,8102,5508,1224,5356,5740,1252,2588,7864,2356,6428,4072,2706,350,6994,5356,4454,6528,2362,7870,4632,1456,4132,6546,1342,2476,7984,6376,1020,118,1138,5414,6850,2594,6508,5770,4270,5152,5474,6606,4250,5296,5474,3230,5974,5376,6396,5856,5626,6514,4250,6646,6626,3112,3760,7636,5508,5626,4632,7076,5856,8102,4454,4336,6964,3004,7082,7162,4780,4750,7982,2222,1574,880,5858,7612,5974,7730,8632,2594,766,1138,1786,6514,7524,4152,6646,7498,2892,7870,5296,118,3236,6626,8862,7408,8744,8214,6964,5290,5740,3230,6494,5210,6434,1668,5356,8096,7142,7984,6418,3878,6376,6122,6274,5918,5770,5474,1456,998,1370,6122,4780,7194,7254,4984,5740,4720,4838,3010,2104,7082,6546,5172,5092,6316,2244,0,1020,7294,7176,8400,2362,4072,6850,6994,2476,4190,8518,4918,6234,6116,6606,6508,5270,5376,7752,6004,1872,1342,5586,2706,3122,7864,8630,2356,7106,648,6488,5414,5280,3242,7044,6024,5468,2588,7024,5474,4898,4898,5652,5356,5398,6156,6732,5820,7380,6528,6878,8750,5944,5858,1900,6004,5102,7274,6428,5938,8512,6760,1252,3112,4132,4250,6988,7526,6300,3124,7156,4270,4250,2474,1224,3354,7136,6622,1990,6142,7642,6504,6506,7754,6388,85358,87602,86436,79658,79722,79777,78553,86296,79889,78382,87715,86695,79606,78472,77420,86582,86524,86320,87430,87316,87660,79718,79604,77302,87772,85186,86640,87544,87542,86378,85471,87428,87714,78358,77248,78586,86092,78268,85072,86491,78440,78702,78154,79776,77533,77478,79378,77362,79664,85300,78644,86464,79546,87484,87656,85240,79492,77134,78757,86410,79490,79834,78526,86206,87827,85416,78498
"7",4574,1762,2250,1756,10986,5494,0,10792,3344,1874,9736,2330,10798,11980,4228,5150,3926,10868,5284,10960,12098,5290,6472,1848,2020,2244,4012,3808,2986,5032,9854,1342,5570,9778,10756,11002,4270,1118,11078,6590,5478,10910,5402,4038,4130,5360,5452,1644,3350,2212,12022,5172,10680,1966,4346,2342,3920,4152,5366,10874,2138,6514,5376,6396,2788,9660,5248,1250,2868,1224,3362,1000,2132,2224,2906,3232,3436,624,118,1138,742,10884,1020,4456,11904,1132,3554,4574,1762,2250,1756,10986,5494,0,10792,3344,1874,9736,2330,10798,11980,4228,5150,3926,10868,5284,10960,12098,5290,6472,1848,2020,2244,4012,3808,2986,5032,9854,1342,5570,9778,10756,11002,4270,1118,11078,6590,5478,10910,5402,4038,4130,5360,5452,1644,3350,2212,12022,5172,10680,1966,4346,2342,3920,4152,5366,10874,2138,6514,5376,6396,2788,9660,5248,1250,2868,1224,3362,1000,2132,2224,2906,3232,3436,624,118,1138,742,10884,1020,4456,11904,1132,3554,4202,2522,11002,10884,1966,4686,742,10756,2212,2330,9854,6050,9736,1668,2990,1848,10792,4876,4228,6218,10960,10502,624,10384,11522,5248,6024,6396,7044,1020,2410,1342,11904,10308,5938,10680,2906,5376,6126,1132,11516,12746,11634,10868,4574,2244,11078,3436,2020,5032,3808,7162,1118,10986,2668,10874,3516,4084,2138,3880,11532,3892,2868,3232,4346,6100,6472,1648,5222,4568,2780,2978,5798,4778,4660,5820,4994,4456,3920,2362,5150,3926,5290,5494,6514,12552,12670,11446,5172,4130,9660,1644,5366,4012,11328,1872,3992,4110,2132,1250,3244,118,10798,3998,4918,4152,3344,5360,5932,10910,11440,5402,1756,6142,2250,2788,2614,5896,1786,766,3462,5478,2786,1000,5104,2872,2986,3350,2496,11650,9778,3010,10426,12022,11980,11404,3554,5680,7238,1766,2860,1780,4038,2892,11558,12098,6590,3554,4574,4456,1874,12628,3634,6014,1898,1224,2224,5284,4270,6008,2898,1272,4800,648,2292,1390,11608,2404,11726,90364,90160,91558,82220,82396,82396,83620,88972,82508,83563,90334,89314,82339,81262,82426,89140,89257,91501,90220,89992,90334,82451,82394,82312,90446,90424,89314,90277,90332,91384,90538,90104,90272,81034,82486,81319,91216,83506,90196,91558,83446,81376,83278,82334,82600,82600,82054,82543,82222,90481,81202,89026,82108,90046,90389,90250,82282,82258,81376,89200,82166,82508,81088,91444,90446,90538,83620
"8",10242,10538,9758,10140,350,7982,10792,0,8620,10258,1364,9870,398,1736,6872,11202,9978,232,5508,2588,1854,5906,7244,12496,9920,11164,11936,9860,11762,11084,1482,12134,8214,1250,512,2474,6758,10890,2706,7362,5858,118,5626,9698,12054,5740,8096,10420,9018,9752,1622,5788,280,12614,6990,12114,9580,6640,6138,630,10038,7130,7864,7012,10712,1132,6020,9778,11644,12016,11262,10772,9640,11996,10830,8900,10976,11272,10910,10058,11390,2356,9940,10124,1504,9660,11094,10242,10538,9758,10140,350,7982,10792,0,8620,10258,1364,9870,398,1736,6872,11202,9978,232,5508,2588,1854,5906,7244,12496,9920,11164,11936,9860,11762,11084,1482,12134,8214,1250,512,2474,6758,10890,2706,7362,5858,118,5626,9698,12054,5740,8096,10420,9018,9752,1622,5788,280,12614,6990,12114,9580,6640,6138,630,10038,7130,7864,7012,10712,1132,6020,9778,11644,12016,11262,10772,9640,11996,10830,8900,10976,11272,10910,10058,11390,2356,9940,10124,1504,9660,11094,11742,10906,2474,2356,12614,10346,11390,512,9752,9870,1482,6274,1364,10588,12762,12496,0,7520,6872,8862,2588,2130,11272,2012,1278,6020,8512,7012,7660,9940,11186,12134,1504,1780,6554,280,10830,7864,6506,9660,880,2502,998,232,10626,11164,2706,10976,9920,11084,9860,7778,10890,350,10568,630,12292,11624,10038,9548,3004,11792,11644,8900,6990,8744,7244,11420,10890,10228,10288,10518,11850,12702,12584,6436,7638,10508,9580,11282,11202,9978,5906,7982,7130,2152,2270,1046,5788,12054,1132,10420,6138,11936,928,12664,9268,9386,9640,9778,11144,10910,398,9666,7406,6640,8620,5740,6156,118,648,5626,10140,8630,9758,10712,13262,6668,10706,11558,8738,5858,10686,10772,10772,12644,11762,9018,13144,3122,1250,11930,1898,1622,1736,1160,11478,11732,8010,11538,10400,10308,9698,11812,766,1854,7362,11094,10242,10124,10258,2384,12410,6786,10426,12016,11996,5508,6758,6388,10406,11920,7288,11440,11068,12038,3236,10788,3354,82088,80012,81410,71680,72248,72248,73472,80696,71968,73415,80186,81038,72191,72986,74150,80864,80981,81353,80072,79844,80186,71911,71854,74036,79906,82148,81038,80129,79792,81236,82262,79564,79732,72758,74210,73043,81068,73358,81920,81410,73298,73100,73130,71794,74324,74324,71906,74267,72074,82205,72926,80750,71960,79898,79849,81974,72134,73982,73100,80924,71626,71968,72812,81296,79906,82262,73472
"9",1622,3186,1330,2788,8738,5586,3344,8620,0,2906,9752,1250,9018,10124,4244,2774,1550,8620,3112,10976,10242,3510,4616,5144,1492,3716,3508,1432,4410,2656,9870,4686,5586,9870,8900,11094,4362,2462,11094,4734,3230,8738,3230,1270,3626,3112,5468,3068,398,1132,10242,3392,8900,5262,4362,3686,1152,4244,3510,9018,1610,4734,5468,4616,2284,9752,3392,2330,4292,4568,2834,2344,1212,3568,2402,280,2356,3920,3462,2610,4038,10976,2492,1504,10124,2212,2474,1622,3186,1330,2788,8738,5586,3344,8620,0,2906,9752,1250,9018,10124,4244,2774,1550,8620,3112,10976,10242,3510,4616,5144,1492,3716,3508,1432,4410,2656,9870,4686,5586,9870,8900,11094,4362,2462,11094,4734,3230,8738,3230,1270,3626,3112,5468,3068,398,1132,10242,3392,8900,5262,4362,3686,1152,4244,3510,9018,1610,4734,5468,4616,2284,9752,3392,2330,4292,4568,2834,2344,1212,3568,2402,280,2356,3920,3462,2610,4038,10976,2492,1504,10124,2212,2474,3122,3554,11094,10976,5262,1918,4038,8900,1132,1250,9870,3878,9752,3140,4334,5144,8620,4892,4244,6234,10976,10518,3920,10400,9666,3392,6116,4616,5264,2492,3834,4686,10124,10400,4158,8900,2402,5468,3878,2212,9268,10890,9386,8620,2198,3716,11094,2356,1492,2656,1432,5382,2462,8738,2140,9018,4940,3004,1610,928,11624,3364,4292,280,4362,6116,4616,2992,2270,1800,1860,1898,3422,4274,4156,4040,5010,2080,1152,3834,2774,1550,3510,5586,4734,10772,10890,9666,3392,3626,9752,3068,3510,3508,9548,5216,648,766,1212,2330,2716,3462,9018,1046,5010,4244,0,3112,3760,8738,9268,3230,2788,6234,1330,2284,5910,4040,3258,4110,118,3230,2258,2344,2152,4216,4410,398,5792,11742,9870,4482,10518,10242,10124,9548,3050,3304,5382,3110,1780,2860,1270,4364,9386,10242,4734,2474,1622,1504,2906,10772,5058,4158,2978,4568,3568,3112,4362,3760,1978,4568,4892,3992,3716,4686,11624,3436,11742,90244,88168,89566,79836,80404,80404,81628,88852,80124,81571,88342,89194,80347,81142,82306,89020,89137,89509,88228,88000,88342,80067,80010,82192,88062,90304,89194,88285,87948,89392,90418,87720,87888,80914,82366,81199,89224,81514,90076,89566,81454,81256,81286,79950,82480,82480,80062,82423,80230,90361,81082,88906,80116,88054,88005,90130,80290,82138,81256,89080,79782,80124,80968,89452,88062,90418,81628
"10",4292,280,1624,118,10120,6988,1874,10258,2906,0,11370,3920,10420,11742,5862,3716,2492,10238,4750,12594,11624,4912,6234,2474,2022,2246,4686,2610,1504,3834,11252,2980,6968,11272,10518,12496,5764,2756,12476,6116,4612,10140,4632,2212,4568,4730,7086,398,3068,4038,11644,5030,10538,2356,5744,3980,2330,5882,4892,10400,1904,6136,7106,6254,3462,11390,5010,624,1622,3098,3128,2874,1742,4098,3344,3186,5262,1250,1756,904,1132,12614,1022,4410,11762,742,5144,4292,280,1624,118,10120,6988,1874,10258,2906,0,11370,3920,10420,11742,5862,3716,2492,10238,4750,12594,11624,4912,6234,2474,2022,2246,4686,2610,1504,3834,11252,2980,6968,11272,10518,12496,5764,2756,12476,6116,4612,10140,4632,2212,4568,4730,7086,398,3068,4038,11644,5030,10538,2356,5744,3980,2330,5882,4892,10400,1904,6136,7106,6254,3462,11390,5010,624,1622,3098,3128,2874,1742,4098,3344,3186,5262,1250,1756,904,1132,12614,1022,4410,11762,742,5144,5792,648,12496,12614,2356,2860,1132,10518,4038,3920,11252,5280,11370,1670,4628,2474,10258,6510,5862,7616,12594,11900,1250,12018,11048,5010,7754,6254,6902,1022,928,2980,11762,12038,5560,10538,3344,7106,5260,742,10886,12272,10768,10238,3140,2246,12476,5262,2022,3834,2610,6784,2756,10120,2670,10400,2270,5910,1904,3834,13262,3894,1622,3186,5744,7734,6234,3522,4940,2978,2390,4568,4364,5216,5334,5678,6392,3258,2330,2128,3716,2492,4912,6988,6136,12410,12292,11068,5030,4568,11390,398,4892,4686,11186,3746,3554,3436,1742,624,3246,1756,10420,3716,6412,5882,2906,4730,5398,10140,10906,4632,118,7636,1624,3462,3004,5658,1552,2404,2788,4612,2552,2874,5058,4746,1504,3068,3122,13144,11272,2776,11920,11644,11742,11166,3992,4482,6764,3404,4686,1390,2212,2894,10788,11624,6116,5144,4292,4410,0,12390,2152,5540,1272,3098,4098,4750,5764,5378,2272,1898,6530,2522,1046,1780,13242,766,13124,92190,90114,91396,81778,82234,82289,83513,90680,82009,83342,90227,91079,82118,82856,84252,90966,90908,91280,89942,89828,90172,81838,81724,84134,89892,92018,91024,90056,89662,91338,92303,89548,89834,82742,84080,82970,91052,83228,91904,91451,83400,83086,83114,81896,84365,84310,81890,84194,82176,92132,83028,90848,82058,89996,89776,92072,82004,83966,83141,90794,81610,81954,82910,91166,89947,92248,83458
