"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100","V101","V102","V103","V104","V105","V106","V107","V108","V109","V110","V111","V112","V113","V114","V115","V116","V117","V118","V119","V120","V121","V122","V123","V124","V125","V126","V127","V128","V129","V130","V131","V132","V133","V134","V135","V136","V137","V138","V139","V140","V141","V142","V143","V144","V145","V146","V147","V148","V149","V150","V151","V152","V153","V154","V155","V156","V157","V158","V159","V160","V161","V162","V163","V164","V165","V166","V167","V168","V169","V170","V171","V172","V173","V174","V175","V176","V177","V178","V179","V180","V181","V182","V183","V184","V185","V186","V187","V188","V189","V190","V191","V192","V193","V194","V195","V196","V197","V198","V199","V200","V201","V202","V203","V204","V205","V206","V207","V208","V209","V210","V211","V212","V213","V214","V215","V216","V217","V218","V219","V220","V221","V222","V223","V224","V225","V226","V227","V228","V229","V230","V231","V232","V233","V234","V235","V236","V237","V238","V239","V240","V241","V242","V243","V244","V245","V246","V247","V248","V249","V250","V251","V252","V253","V254","V255","V256","V257","V258","V259","V260","V261","V262","V263","V264","V265","V266","V267","V268","V269","V270","V271","V272","V273","V274","V275","V276","V277","V278","V279","V280","V281","V282","V283","V284","V285","V286","V287","V288","V289","V290","V291","V292","V293","V294","V295","V296","V297","V298","V299","V300","V301","V302","V303","V304","V305","V306","V307","V308","V309","V310","V311","V312","V313","V314","V315","V316","V317","V318","V319","V320","V321","V322","V323","V324","V325","V326","V327","V328","V329","V330","V331","V332","V333","V334","V335","V336"
"1",0,1680,843,2415,2074,2095,4018,1339,780,2611,559,1402,672,1447,1339,108,4507,1008,775,888,2767,951,4126,216,1515,3610,667,2523,900,1008,1572,1116,27127,4678,27235,4615,3835,1623,3391,4636,2182,4744,3502,1851,5350,4573,4570,1743,2830,4465,2503,2611,27970,108,2767,4681,27127,2875,780,4507,2719,2203,3901,27019,3175,3346,5308,3943,3283,1510,4573,3793,1987,3454,2659,3283,3727,4399,2938,2095,4009,27862,1680,5416,3901,667,3835,5242,1788,1231,4987,780,3003,4090,667,1255,1539,2074,5830,4507,1116,2160,3871,843,1515,3610,2268,27607,27862,27715,1368,27970,3979,3199,588,5266,4198,1680,3091,3763,3283,5308,2035,1431,696,2662,2523,3199,2103,804,888,1260,559,4042,5224,5095,1008,0,108,2719,1231,1368,27019,3355,2767,2683,4423,2203,2268,1987,3307,5350,2659,2376,5242,4573,2875,5332,4615,3463,2611,2098,1819,2791,3526,1788,4465,3835,3835,1572,5161,5203,6004,4009,5269,4507,4606,2095,4489,4531,667,4744,27823,2767,4714,4126,2938,5161,3175,4681,5053,3247,1927,1927,5095,27235,27715,5896,1008,3901,951,3355,4423,3283,1339,4597,27127,780,28450,3871,3793,3346,2611,4678,216,1596,1680,775,1255,4636,2830,2770,2683,4381,4315,1623,5938,3111,28558,5158,27127,3934,1990,1447,3943,4573,3454,1510,1476,4018,1363,5416,1339,4570,3901,3502,2182,3391,1596,1402,108,2503,2211,2095,4399,216,4507,4570,667,780,888,4636,3175,4681,2938,1743,2767,3454,775,1447,4126,3943,1680,2203,3346,3901,4573,4399,2659,667,4009,27970,843,4018,108,2875,1339,27127,4678,3283,1231,4615,1339,2415,1623,5242,3793,1680,2719,2503,5308,2074,4744,2523,1572,672,4465,3835,1116,4507,3610,2611,108,1008,0,2830,1515,951,2767,3835,1851,2611,1510,780,3502,559,3391,1008,2095,1788,27235,3901,1402,3727,2182,3283
"2",1680,0,2523,951,2410,1759,2554,1675,1116,2491,2239,3082,1008,1567,1459,1788,3923,888,2239,1008,1303,2415,2446,1680,1851,1930,2131,843,780,672,108,780,26543,5222,26435,3815,4595,1743,1711,5416,2302,5308,2038,1515,4550,3793,5330,1623,2710,3901,2383,2275,27170,1572,1087,3901,26327,1195,900,3707,2383,1867,4681,26435,1711,3226,4744,4487,1819,2974,4009,4573,1867,3118,1195,1603,4487,3815,2602,1975,4573,27278,216,4636,4465,2347,4379,4658,108,1567,4403,1116,1539,2626,2131,2935,3003,2410,5246,3923,780,696,2407,2523,1851,1930,588,27023,27278,27131,1488,27170,2299,2863,2268,5810,2518,0,2971,2299,1603,4744,2155,3111,2376,2998,843,3079,2439,2268,1008,1596,2239,3706,6004,4511,888,1680,1788,2383,1567,1704,26435,1891,1303,2347,4967,1867,804,1867,2971,4550,1195,696,4658,3793,1195,5896,3815,1783,2275,3562,2155,2455,3190,108,3901,4595,4379,108,4597,4403,5224,4573,4489,3707,3142,1759,5269,5075,2347,5308,27023,1087,3034,2446,2602,4381,1711,3901,4489,1783,2047,2263,4295,26435,26915,5332,672,4465,2415,1675,5183,1819,1675,5161,26327,900,27866,2191,4573,3226,2491,5222,1680,1476,216,2239,2719,5416,2710,2890,2563,5161,5075,1743,5138,1431,27758,5918,26543,3814,3670,1567,4487,4009,3118,2974,1596,2554,2827,4636,1459,5330,4681,2038,2302,1711,1260,3082,1572,2383,2331,1975,3815,1680,3707,5330,2131,1116,1008,5416,1711,3901,2602,1623,1087,3118,2239,1567,2446,4487,0,1867,3226,4465,3793,3815,1195,2347,4573,27170,2523,2554,1572,1195,1459,26543,5222,1603,1567,3815,1675,951,1743,4658,4573,216,2383,2383,4744,2410,5308,843,108,1008,3901,4595,780,3923,1930,2491,1788,888,1680,2710,1851,2415,1303,4379,1515,2275,2974,900,2038,2239,1711,672,1975,108,26435,4681,3082,4487,2302,1819
"3",843,2523,0,1572,1231,2938,3175,1966,1407,3238,1402,559,1515,2074,2182,735,5134,1635,1402,1515,3394,108,3283,843,672,2767,1510,1680,1743,1851,2415,1743,27754,3835,27862,5242,4462,780,4018,3793,1339,3901,2659,1008,4507,5416,3727,900,1987,5308,3346,3454,27127,951,3610,5308,27970,3502,1623,5350,3346,2830,4528,27862,4018,2503,4465,4570,3910,667,5200,4636,2830,2611,3502,4126,4570,5242,2095,2722,4636,27019,2307,4573,4744,1294,4678,4399,2415,2074,5830,1407,2160,3247,1510,1882,696,1231,4987,5134,1743,3003,4498,0,672,2767,3111,28450,27019,28342,2211,27127,4606,4042,1431,4423,3355,2523,3934,4606,4126,4465,2662,588,1323,1819,1680,3826,1260,1431,1515,2103,1402,3199,4381,5722,1635,843,735,3346,2074,1995,27862,3982,3394,3526,5266,2830,2895,2830,3934,4507,3502,3003,4399,5416,3502,4489,5242,4090,3454,1255,2662,3418,2683,2415,5308,4462,4678,2415,5788,5830,5161,4636,5896,5350,3763,2938,5116,5158,1294,3901,28450,3610,3871,3283,2095,6004,4018,5308,5896,4090,2770,2554,5938,27862,28558,5053,1851,4744,108,4198,5050,3910,1966,5224,27970,1623,27607,4714,4636,2503,3238,3835,843,2223,2307,1402,2098,3793,1987,1927,3310,5224,5158,780,5095,2268,27715,4315,27754,3091,1147,2074,4570,5200,2611,667,2103,3175,1990,4573,2182,3727,4528,2659,1339,4018,2439,559,951,3346,1368,2722,5242,843,5350,3727,1510,1407,1515,3793,4018,5308,2095,900,3610,2611,1402,2074,3283,4570,2523,2830,2503,4744,5416,5242,3502,1294,4636,27127,0,3175,951,3502,2182,27754,3835,4126,2074,5242,1966,1572,780,4399,4636,2307,3346,3346,4465,1231,3901,1680,2415,1515,5308,4462,1743,5134,2767,3238,735,1635,843,1987,672,108,3394,4678,1008,3454,667,1623,2659,1402,4018,1851,2722,2415,27862,4528,559,4570,1339,3910
"4",2415,951,1572,0,1459,2710,1603,2194,1635,3010,2974,2131,1743,2302,2410,2307,4442,1407,2974,1743,1822,1680,1711,2415,900,1195,3082,108,1515,1623,843,1515,27062,4487,27170,4550,5114,1008,2446,4465,1567,4573,1087,780,3815,4744,4379,672,1759,4636,3118,3226,26435,2523,2038,4636,27278,1930,1851,4658,3118,2602,5200,27170,2446,2275,3793,5222,2338,2239,4528,5308,2602,2383,1930,2554,5222,4550,1867,2494,5308,26327,735,3901,5416,2866,5330,3707,843,2302,5138,1635,588,1675,3082,3454,2268,1459,4295,4442,1515,1431,2926,1572,900,1195,1539,27758,26327,27650,2439,26435,3034,3814,3003,5075,1783,951,3706,3034,2554,3793,2890,2160,2895,2047,108,3598,1488,3003,1743,2331,2974,2971,5053,5030,1407,2415,2307,3118,2302,2223,27170,2410,1822,3298,5918,2602,1323,2602,3706,3815,1930,1431,3707,4744,1930,5161,4550,2518,3226,2827,2890,3190,2455,843,4636,5114,5330,843,5116,5138,4489,5308,5224,4658,2191,2710,5788,5810,2866,4573,27758,2038,2299,1711,1867,5332,2446,4636,5224,2518,2998,2782,5246,27170,27866,4381,1623,5416,1680,2626,5702,2338,2194,5896,27278,1851,26915,3142,5308,2275,3010,4487,2415,1995,735,2974,3670,4465,1759,2155,3082,5896,5810,1008,4403,696,27023,4967,27062,2863,2719,2302,5222,4528,2383,2239,2331,1603,3562,3901,2410,4379,5200,1087,1567,2446,2211,2131,2523,3118,1596,2494,4550,2415,4658,4379,3082,1635,1743,4465,2446,4636,1867,672,2038,2383,2974,2302,1711,5222,951,2602,2275,5416,4744,4550,1930,2866,5308,26435,1572,1603,2523,1930,2410,27062,4487,2554,2302,4550,2194,0,1008,3707,5308,735,3118,3118,3793,1459,4573,108,843,1743,4636,5114,1515,4442,1195,3010,2307,1407,2415,1759,900,1680,1822,5330,780,3226,2239,1851,1087,2974,2446,1623,2494,843,27170,5200,2131,5222,1567,2338
"5",2074,2410,1231,1459,0,4126,1987,735,1294,3394,1515,672,1402,843,951,1966,4892,2866,1515,1402,3238,1339,2095,2074,559,2611,1623,1567,2974,3082,2302,2974,27512,4937,27620,5000,5564,667,2830,4809,108,4917,2503,2239,4265,5088,4829,2131,3175,4980,3502,3610,26885,2182,3454,4980,27728,3346,1510,5108,3502,4018,5544,27620,2830,2659,4137,5672,2722,780,4872,5652,4018,2767,3346,2938,5672,5000,3283,3910,5652,26777,2194,4245,5760,1407,5780,4157,2302,843,5588,1294,2047,3091,1623,1995,1927,0,4745,4892,2974,2890,3310,1231,559,2611,2998,28208,26777,28100,2098,26885,3418,4198,2662,5525,3199,2410,4090,3418,2938,4137,1431,1819,2554,588,1567,3982,1147,2662,1402,1990,1515,3355,5397,5480,2866,2074,1966,3502,843,1882,27620,3826,3238,4714,6368,4018,2782,4018,4090,4265,3346,2890,4157,5088,3346,5505,5000,3934,3610,1368,1431,4606,3871,2302,4980,5564,5780,2302,5460,5588,4833,5652,5568,5108,2575,4126,6132,6260,1407,4917,28208,3454,2683,2095,3283,5676,2830,4980,5568,3934,1539,1323,5696,27620,28316,4725,3082,5760,1339,4042,6152,2722,735,6240,27728,1510,27365,3526,5652,2659,3394,4937,2074,3454,2194,1515,2211,4809,3175,696,4498,6240,6260,667,4853,2155,27473,5417,27512,3247,1260,843,5672,4872,2767,780,1990,1987,2103,4245,951,4829,5544,2503,108,2830,3670,672,2182,3502,1255,3910,5000,2074,5108,4829,1623,1294,1402,4809,2830,4980,3283,2131,3454,2767,1515,843,2095,5672,2410,4018,2659,5760,5088,5000,3346,1407,5652,26885,1231,1987,2182,3346,951,27512,4937,2938,843,5000,735,1459,667,4157,5652,2194,3502,3502,4137,0,4917,1567,2302,1402,4980,5564,2974,4892,2611,3394,1966,2866,2074,3175,559,1339,3238,5780,2239,3610,780,1510,2503,1515,2830,3082,3910,2302,27620,5544,672,5672,108,2722
"6",2095,1759,2938,2710,4126,0,2655,3391,2875,1248,2611,3454,2767,3283,3175,2203,3680,1303,2611,2767,888,2830,2547,2095,3610,1515,2503,2602,1195,1087,1867,1195,26300,3635,26192,3572,3008,3502,1812,3743,4018,3635,1623,1930,4307,3464,3743,2038,951,3572,1140,1032,26927,1987,672,3572,26084,780,2659,3464,1140,108,3008,26192,1812,1983,4415,2900,1920,3346,3680,2900,108,1875,780,1704,2900,3572,843,216,2900,27035,1975,4307,2792,2719,2792,4415,1867,3283,4160,2875,3298,2211,2503,3307,3418,4126,5003,3680,1195,2455,2508,2938,3610,1515,2347,26780,27035,26888,3247,26927,2400,1620,2683,4223,2103,1759,1728,2400,1704,4415,3871,3526,2791,4714,2602,1836,4198,2683,2767,3355,2611,2463,4331,4268,1303,2095,2203,1140,3283,3463,26192,1476,888,588,3380,108,2563,108,1728,4307,780,2455,4415,3464,780,4223,3572,1368,1032,3934,3871,696,1431,1867,3572,3008,2792,1867,4268,4160,4895,2900,4160,3464,3243,0,3596,3488,2719,3635,26780,672,3135,2547,843,4052,1812,3572,4160,1368,3763,3979,4052,26192,26672,5003,1087,2792,2830,1260,3596,1920,3391,3488,26084,2659,27623,2292,2900,1983,1248,3635,2095,1891,1975,2611,3091,3743,951,4606,804,3488,3488,3502,4895,3190,27515,4331,26300,2571,4042,3283,2900,3680,1875,3346,3355,2655,3199,4307,3175,3743,3008,1623,4018,1812,1675,3454,1987,1140,4090,216,3572,2095,3464,3743,2503,2875,2767,3743,1812,3572,843,2038,672,1875,2611,3283,2547,2900,1759,108,1983,2792,3464,3572,780,2719,2900,26927,2938,2655,1987,780,3175,26300,3635,1704,3283,3572,3391,2710,3502,4415,2900,1975,1140,1140,4415,4126,3635,2602,1867,2767,3572,3008,1195,3680,1515,1248,2203,1303,2095,951,3610,2830,888,2792,1930,1032,3346,2659,1623,2611,1812,1087,216,1867,26192,3008,3454,2900,4018,1920
"7",4018,2554,3175,1603,1987,2655,0,2722,3238,1407,3502,2659,3346,2830,2938,3910,4387,3010,3502,3346,1767,3283,108,4018,2503,1140,3610,1711,3118,3226,2446,3118,27007,4432,27115,4495,5059,2611,843,4152,2095,4260,1032,2383,3760,4431,4324,2275,1704,4323,1515,1623,26380,4126,1983,4323,27223,1875,3454,4603,1515,2547,4887,27115,843,672,3480,5167,735,2767,4215,4995,2547,780,1875,951,5167,4495,1812,2439,4995,26272,2338,3588,5103,3394,5275,3652,2446,2830,5083,3238,2191,1620,3610,3982,3871,1987,4240,4387,3118,3034,1323,3175,2503,1140,3142,27703,26272,27595,4042,26380,1431,2211,4606,5020,1728,2554,2103,1431,951,3480,3418,3763,4498,2575,1711,1995,3091,4606,3346,3934,3502,1368,4740,4975,3010,4018,3910,1515,2830,3826,27115,2355,1767,3243,5863,2547,2926,2547,2103,3760,1875,3034,3652,4431,1875,4848,4495,2463,1623,3355,3418,3135,2400,2446,4323,5059,5275,2446,4803,5083,4176,4995,4911,4603,588,2655,5475,5755,3394,4260,27703,1983,696,108,1812,5019,843,4323,4911,2463,3526,3310,5191,27115,27811,4068,3226,5103,3283,2571,5647,735,2722,5583,27223,3454,26860,1539,4995,672,1407,4432,4018,3598,2338,3502,4198,4152,1704,2683,3027,5583,5755,2611,4348,2299,26968,4912,27007,1260,3247,2830,5167,4215,780,2767,3934,0,4090,3588,2938,4324,4887,1032,2095,843,3814,2659,4126,1515,3199,2439,4495,4018,4603,4324,3610,3238,3346,4152,843,4323,1812,2275,1983,780,3502,2830,108,5167,2554,2547,672,5103,4431,4495,1875,3394,4995,26380,3175,0,4126,1875,2938,27007,4432,951,2830,4495,2722,1603,2611,3652,4995,2338,1515,1515,3480,1987,4260,1711,2446,3346,4323,5059,3118,4387,1140,1407,3910,3010,4018,1704,2503,3283,1767,5275,2383,1623,2767,3454,1032,3502,843,3226,2439,2446,27115,4887,2659,5167,2095,735
"8",1339,1675,1966,2194,735,3391,2722,0,559,2659,780,1407,667,108,216,1231,4157,2131,780,667,2503,2074,2830,1339,1294,3346,888,2302,2239,2347,1567,2239,26777,5672,26885,4265,4829,1402,2095,5544,843,5652,3238,2974,5000,4353,5564,2866,3910,4245,2767,2875,27620,1447,2719,4245,26993,2611,775,4373,2767,3283,4809,26885,2095,3394,4872,4937,1987,1515,4137,4917,3283,3502,2611,2203,4937,4265,4018,3175,4917,27512,1459,4980,5025,672,5045,4892,1567,108,4853,559,2782,3826,888,1260,2662,735,5480,4157,2239,2155,2575,1966,1294,3346,2263,27473,27512,27365,1363,27620,2683,3463,1927,6260,3934,1675,3355,2683,2203,4872,696,2554,1819,1323,2302,3247,1882,1927,667,1255,780,4090,6132,4745,2131,1339,1231,2767,108,1147,26885,3091,2503,3979,5633,3283,2047,3283,3355,5000,2611,2155,4892,4353,2611,6240,4265,3199,2875,2103,696,3871,4606,1567,4245,4829,5045,1567,4725,4853,5568,4917,4833,4373,3310,3391,5397,5525,672,5652,27473,2719,3418,2830,4018,4941,2095,4245,4833,3199,804,588,4961,26885,27581,5460,2347,5025,2074,3307,5417,1987,0,5505,26993,775,28100,2791,4917,3394,2659,5672,1339,2719,1459,780,1476,5544,3910,1431,3763,5505,5525,1402,5588,2890,28208,6152,26777,3982,1995,108,4937,4137,3502,1515,1255,2722,1368,4980,216,5564,4809,3238,843,2095,2935,1407,1447,2767,1990,3175,4265,1339,4373,5564,888,559,667,5544,2095,4245,4018,2866,2719,3502,780,108,2830,4937,1675,3283,3394,5025,4353,4265,2611,672,4917,27620,1966,2722,1447,2611,216,26777,5672,2203,108,4265,0,2194,1402,4892,4917,1459,2767,2767,4872,735,5652,2302,1567,667,4245,4829,2239,4157,3346,2659,1231,2131,1339,3910,1294,2074,2503,5045,2974,2875,1515,775,3238,780,2095,2347,3175,1567,26885,4809,1407,4937,843,1987
"9",780,1116,1407,1635,1294,2875,3238,559,0,3175,1339,1966,108,667,775,672,3727,1572,1339,108,1987,1515,3346,780,735,2830,1447,1743,1680,1788,1008,1680,26347,5242,26455,3835,4399,843,2611,5200,1402,5308,2722,2415,4570,4009,5134,2307,3394,3901,3283,3391,27190,888,2203,3901,26563,2095,216,3943,3283,2767,4465,26455,2611,3910,4528,4507,2503,2074,3793,4573,2767,4018,2095,2719,4507,3835,3502,2659,4573,27082,900,4636,4681,1231,4615,4462,1008,667,4423,0,2223,3310,1447,1819,2103,1294,5050,3727,1680,1596,3091,1407,735,2830,1704,27043,27082,26935,804,27190,3199,3979,1368,5830,3418,1116,3871,3199,2719,4528,1255,1995,1260,1882,1743,3763,1323,1368,108,696,1339,4606,5788,4315,1572,780,672,3283,667,588,26455,2575,1987,3463,5203,2767,1488,2767,3871,4570,2095,1596,4462,4009,2095,5896,3835,2683,3391,2662,1255,3355,4090,1008,3901,4399,4615,1008,4381,4423,5224,4573,4489,3943,3826,2875,5053,5095,1231,5308,27043,2203,3934,3346,3502,4597,2611,3901,4489,2683,1363,1147,4531,26455,27151,5116,1788,4681,1515,2791,4987,2503,559,5161,26563,216,27670,3307,4573,3910,3175,5242,780,2160,900,1339,2035,5200,3394,1990,3247,5161,5095,843,5158,2331,27778,5722,26347,4498,2554,667,4507,3793,4018,2074,696,3238,1927,4636,775,5134,4465,2722,1402,2611,2376,1966,888,3283,1431,2659,3835,780,3943,5134,1447,0,108,5200,2611,3901,3502,2307,2203,4018,1339,667,3346,4507,1116,2767,3910,4681,4009,3835,2095,1231,4573,27190,1407,3238,888,2095,775,26347,5242,2719,667,3835,559,1635,843,4462,4573,900,3283,3283,4528,1294,5308,1743,1008,108,3901,4399,1680,3727,2830,3175,672,1572,780,3394,735,1515,1987,4615,2415,3391,2074,216,2722,1339,2611,1788,2659,1008,26455,4465,1966,4507,1402,2503
"10",2611,2491,3238,3010,3394,1248,1407,2659,3175,0,2095,2722,3283,2767,2875,2503,4324,1603,2095,3283,1704,3346,1515,2611,3910,2547,2203,3118,1711,1819,2383,1711,26944,4495,27052,4432,3652,4018,780,4215,3502,4323,2439,2446,5167,4368,4387,2338,1767,4260,108,216,27787,2719,1920,4260,27160,1812,3391,4540,108,1140,3480,27052,780,735,4887,3760,672,2830,4152,3588,1140,843,1812,888,3760,4432,1875,1032,3588,27679,2275,4995,3696,1987,3868,5059,2383,2767,5020,3175,3598,3027,2203,2575,3934,3394,5647,4324,1711,2971,1260,3238,3910,2547,3079,27640,27679,27532,3979,27787,1368,804,3199,5083,3135,2491,696,1368,888,4887,3355,3826,3091,3982,3118,588,4498,3199,3283,3871,2095,1431,4803,4912,1603,2611,2503,108,2767,3763,27052,2292,1704,1836,4456,1140,2863,1140,696,5167,1812,2971,5059,4368,1812,4911,4432,2400,216,3418,3355,1728,2463,2383,4260,3652,3868,2383,4740,5020,5583,3588,4848,4540,1995,1248,4068,4348,1987,4323,27640,1920,2103,1515,1875,4956,780,4260,4848,2400,3463,3247,5128,27052,27748,5475,1819,3696,3346,2508,4240,672,2659,4176,27160,3391,28267,1476,3588,735,0,4495,2611,2191,2275,2095,2791,4215,1767,4090,1620,4176,4348,4018,5755,3706,28375,4975,26944,1323,3310,2767,3760,4152,843,2830,3871,1407,2683,4995,2875,4387,3480,2439,3502,780,2407,2722,2719,108,4606,1032,4432,2611,4540,4387,2203,3175,3283,4215,780,4260,1875,2338,1920,843,2095,2767,1515,3760,2491,1140,735,3696,4368,4432,1812,1987,3588,27787,3238,1407,2719,1812,2875,26944,4495,888,2767,4432,2659,3010,4018,5059,3588,2275,108,108,4887,3394,4323,3118,2383,3283,4260,3652,1711,4324,2547,0,2503,1603,2611,1767,3910,3346,1704,3868,2446,216,2830,3391,2439,2095,780,1819,1032,2383,27052,3480,2722,3760,3502,672
