"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100","V101","V102","V103","V104","V105","V106","V107","V108","V109","V110","V111","V112","V113","V114","V115","V116","V117","V118","V119","V120","V121","V122","V123","V124","V125","V126","V127","V128","V129","V130","V131","V132","V133","V134","V135","V136","V137","V138","V139","V140","V141","V142","V143","V144","V145","V146","V147","V148","V149","V150","V151","V152","V153","V154","V155","V156","V157","V158","V159","V160","V161","V162","V163","V164","V165","V166","V167","V168","V169","V170","V171","V172","V173","V174","V175","V176","V177","V178","V179","V180","V181","V182","V183","V184","V185","V186","V187","V188","V189","V190","V191","V192","V193","V194","V195","V196","V197","V198","V199","V200","V201","V202","V203","V204","V205","V206","V207","V208","V209","V210","V211","V212","V213","V214","V215","V216","V217","V218","V219","V220","V221","V222","V223","V224","V225","V226","V227","V228","V229","V230","V231","V232","V233","V234","V235","V236","V237","V238","V239","V240","V241","V242","V243","V244","V245","V246","V247","V248","V249","V250","V251","V252","V253","V254","V255","V256","V257","V258","V259","V260","V261","V262","V263","V264","V265","V266","V267","V268","V269","V270"
"1",0,17392,3796,3661,153,21743,17120,21495,17280,17408,21455,21639,1380,3576,17799,996,18043,876,987,201,17939,18200,1527,3148,288,639,17832,17728,17759,861,1212,540,1144,1179,840,21602,18096,1684,672,807,21770,1347,17484,17268,17012,17377,17511,17728,17425,17473,17287,17380,17761,17791,17125,17637,17181,17425,17428,17848,17305,17911,17125,17224,17575,17287,17318,17208,17033,17303,17044,17104,16969,17137,17351,17168,17120,17257,17257,17208,17104,17303,17361,17000,17471,17223,17257,17183,17137,17575,17257,17321,17257,17201,17351,17343,17377,17455,17287,17240,17425,17481,17392,17441,17441,16957,17181,17511,17422,16969,17257,17351,17239,17137,17089,17240,17190,17305,17328,17288,16820,17120,17511,17040,17575,17288,17254,16936,17361,17021,17153,17471,17089,17125,16924,17125,17425,17092,17351,17318,16973,17318,17033,17425,17239,17351,17361,17120,17328,17288,17575,17455,17575,17471,17089,17455,17241,17137,17125,17104,17361,17305,17305,16853,17061,17241,17272,17425,17193,17245,17120,17257,16789,17272,17438,17374,17201,17361,17089,17361,17201,17168,17153,17392,17377,17425,17272,17321,17056,17361,17208,16988,17321,17245,17153,17343,17181,17425,17303,17183,16924,17137,17328,17425,17153,17305,17021,17125,17288,17086,17425,17321,17328,17044,17193,17425,17201,17377,17104,17224,17392,17137,17305,17141,17422,16936,17257,16940,17224,17272,17160,17183,17176,17545,17471,17321,17137,17425,17104,17288,17321,17212,17358,17305,17061,17193,17438,17033,17021,17344,17141,17542,17545,17391,17425,17478,17181,17575,17425,17392,16988,17257,17245,17089,17193,17321,17201,17351,17441,17407
"2",17392,0,17756,17957,17545,8101,376,7975,352,392,8183,8373,17722,17356,697,17344,813,17224,17869,17257,1085,1034,17869,17624,17344,17857,730,938,905,17377,17890,17392,18026,17857,17722,8394,1178,18026,17890,17689,8186,17689,1216,880,820,385,685,568,265,1081,501,1168,1201,901,577,1369,865,801,880,520,513,1021,681,652,621,605,676,712,773,829,768,468,773,773,773,740,976,685,385,544,752,829,865,676,661,565,425,773,501,517,905,1073,321,721,709,685,441,501,565,680,321,337,120,713,545,745,865,517,468,953,1073,773,893,605,593,616,532,745,484,976,920,796,517,712,685,560,740,920,517,889,893,661,893,745,752,513,217,648,605,740,1009,572,709,633,893,605,385,496,832,392,685,565,517,893,593,333,565,565,577,712,217,333,577,953,745,397,532,685,685,633,560,593,953,300,796,692,785,517,1073,697,721,572,529,664,545,385,468,529,560,697,364,688,361,697,1009,685,865,321,893,709,648,953,652,697,1073,397,953,681,860,740,453,361,664,872,385,801,541,545,920,352,600,681,501,1073,364,740,905,1040,832,364,652,709,680,337,829,661,785,633,740,872,1009,768,364,333,577,685,628,953,953,408,1073,420,337,397,621,484,697,621,153,588,920,865,697,893,865,725,953,709,481,621
"3",3796,17756,0,201,3709,20325,18132,20071,17740,17844,20343,20533,3706,580,18085,3328,18329,3448,4033,3661,18537,18486,3853,748,3508,4021,18118,18326,18357,3361,3874,3616,4190,3841,3886,20490,18694,4010,4054,3853,20346,3673,18016,17560,17712,17837,17803,18260,17957,18173,17987,17840,18053,18323,17489,17929,17473,17717,17792,17972,17669,18203,17657,17684,17867,17963,18162,17740,18045,18075,17504,17804,17981,17981,18195,18012,17892,17717,17957,17572,17780,18075,17653,18012,17907,17923,17933,18195,17837,17699,17693,17925,17957,17877,18195,17803,17837,17987,17987,18012,17957,17605,17756,18045,17877,17657,17473,17635,17954,17981,17861,18195,18011,17813,18101,18012,17890,17837,17452,17892,17832,17892,17635,17740,17867,18132,18098,17948,17485,17865,17925,17907,17861,17657,17600,17489,17789,17624,18027,18162,17745,17994,18045,17549,18011,18027,17893,18132,17620,17964,17867,17987,17699,18075,18101,17819,17773,17837,17489,17804,17725,17669,17669,17865,17593,17605,17804,17717,17653,17369,18132,18101,17801,17636,18042,17810,17877,17485,17861,17485,17877,17844,18165,17516,17813,17957,17804,18165,18068,17485,17572,17664,17997,17369,17925,17803,17473,17957,18075,18195,17624,17981,17620,17549,17925,17669,17865,17657,17892,18098,17549,17997,17452,17480,17893,17717,17877,17813,17948,17924,17516,17837,17837,17745,17786,17948,17693,17712,17684,17636,17620,18195,17948,17669,18075,17757,17813,17549,17948,17724,17925,17504,17722,17669,17425,17653,17874,18045,17865,17804,17745,17666,17669,17755,17717,17602,17305,17867,17789,17684,17832,17717,17369,17861,17653,17757,18045,18195,17877,17867
"4",3661,17957,201,0,3508,20526,18021,20239,17941,17733,20166,20422,3841,781,18286,3529,18530,3649,4234,3829,18426,18654,4054,613,3709,3886,18253,18182,18246,3160,3673,3481,4358,3706,4021,20379,18550,4178,3853,4054,20547,3874,18217,17761,17913,17972,17971,18461,18125,18308,18155,18041,18188,18491,17624,18097,17608,17852,17993,18173,17804,18338,17825,17885,18035,17819,18051,17941,17868,17898,17705,18005,17804,17804,18018,17901,17781,17885,18092,17773,17669,17931,17788,17901,17763,18058,17756,18051,18005,17834,17516,17748,18125,17733,18051,17971,18005,18155,18155,17901,18125,17773,17957,17901,17733,17792,17641,17803,18155,17837,17684,18051,17867,17669,17924,17901,18091,18005,17653,17781,17721,17781,17770,17941,18002,18021,17987,17837,17653,17688,17748,17730,17717,17825,17489,17657,17924,17825,17883,18051,17568,17883,17868,17684,17834,17850,18028,18021,17821,17853,18035,18155,17867,17931,17957,17954,17908,18005,17657,18005,17893,17837,17804,17688,17728,17740,18005,17852,17821,17504,18021,17924,17657,17837,17931,17699,17700,17620,17717,17620,17700,17733,17988,17717,17669,18092,18005,17988,17957,17653,17773,17553,17820,17504,17748,17938,17608,18092,17898,18018,17825,17804,17821,17684,17781,17804,17721,17792,17781,17987,17684,17853,17653,17369,18061,17852,17700,17636,17837,18125,17717,18005,17972,17568,17987,17837,17549,17601,17885,17837,17821,18051,17837,17837,17898,17580,17669,17717,17837,17613,17781,17705,17923,17804,17560,17788,17763,17901,17688,18005,17601,17867,17804,17923,17885,17803,17440,18002,17957,17885,17721,17885,17537,17684,17788,17613,17868,18018,17733,18035
"5",153,17545,3709,3508,0,21656,17273,21375,17193,17321,21302,21552,1227,3729,17712,909,17956,1029,900,321,17852,18080,1440,3301,201,552,17679,17608,17672,708,1059,693,1024,1092,687,21515,17976,1564,519,720,21683,1260,17637,17181,17165,17224,17391,17881,17545,17560,17407,17293,17608,17911,17212,17517,17028,17272,17581,17761,17392,17758,17245,17137,17455,17407,17471,17361,17120,17150,16957,17257,17056,17224,17438,17321,17033,17137,17344,17361,17257,17183,17208,17153,17351,17310,17344,17303,17257,17422,17104,17168,17377,17321,17471,17223,17257,17575,17407,17153,17545,17361,17545,17321,17321,17044,17061,17391,17575,17089,17104,17471,17119,17257,17176,17153,17343,17425,17241,17201,16973,17033,17358,17193,17422,17441,17407,17089,17241,17108,17000,17318,16969,17245,17077,17245,17512,17245,17471,17471,16820,17471,17120,17272,17086,17438,17448,17273,17241,17441,17455,17575,17455,17351,17209,17542,17328,17257,17245,17257,17481,17425,17392,16940,17148,17328,17425,17272,17073,17092,17273,17344,16909,17425,17351,17287,17288,17208,16969,17208,17288,17321,17240,17305,17257,17512,17425,17408,17209,17241,17361,17141,17408,17092,17000,17190,17028,17512,17150,17270,17077,17224,17241,17272,17033,17392,17141,17212,17201,17239,17272,17441,17241,16957,17313,17272,17288,17224,17257,17377,17305,17257,17392,16988,17575,17089,17137,16853,17137,17425,17073,17303,17089,17425,17318,17168,17257,17305,17257,17201,17201,17125,17511,17392,17148,17040,17351,17153,17108,17257,17021,17455,17392,17511,17305,17391,17028,17422,17545,17305,17141,17137,17125,16936,17040,17201,17288,17438,17321,17287
"6",21743,8101,20325,20526,21656,0,8309,374,8045,8253,582,272,20489,19985,7586,20747,7642,20867,21056,21608,7914,7619,20576,20613,21455,21164,7619,7827,7794,21116,20657,21203,21029,20624,21029,305,7763,20489,21197,20996,97,20456,8981,8405,8753,8078,8210,8333,8030,9014,8434,8861,8726,8666,8678,8894,8390,8326,8981,8381,8614,8546,8446,8345,8146,8706,8441,8477,8706,8522,8461,8401,8706,8538,8538,8505,8669,8378,8318,8645,8853,8522,8390,8609,8522,8498,8526,8706,8434,8378,8766,8598,8254,8822,8474,8378,8134,8266,8498,8373,8086,8198,8221,8238,8406,8678,8390,8378,8233,8886,8598,8538,8586,8706,8526,8309,8465,8510,8345,8501,8853,8489,8378,8645,8210,8325,8505,8853,8378,8654,8586,8522,8586,8510,8853,8614,8318,8413,8706,8505,8702,8673,8642,8494,8586,8706,8150,8429,8357,8493,8210,8330,8378,8418,8526,8434,8330,8498,8678,8645,8318,8434,8678,8886,8510,8498,8297,8210,8378,8494,8493,8358,8886,8401,8321,8553,8886,8378,8766,8558,8822,8673,8462,8525,8406,8150,8233,8294,8493,8558,8465,8789,8462,8558,8702,8378,8390,8086,8586,8642,8581,8718,8177,8558,8766,8498,8718,8446,8385,8673,8314,8462,8525,8733,8318,8326,8642,8406,8685,8285,8461,8614,8266,8598,8465,8673,8766,8733,8525,8465,8345,8642,8373,8198,8354,8522,8886,8494,8505,8733,8534,8293,8465,8434,8678,8378,8489,8886,8718,8101,8598,8281,8198,8498,8146,8345,8558,8146,8254,8113,8685,8558,8558,8586,8558,8586,8718,8474,8342,8314
"7",17120,376,18132,18021,17273,8309,0,8189,392,352,7981,8165,17936,17732,911,17552,1027,17432,18083,17297,883,1248,18083,17688,17384,17759,944,736,703,17441,17792,17120,18240,17759,17936,8192,976,18240,17792,17903,8400,17903,1424,1088,860,425,893,776,473,1121,541,1208,1409,1109,953,1577,1073,1009,1256,896,889,1229,889,692,829,565,468,920,397,453,808,508,397,565,565,532,600,725,425,920,712,453,1073,300,621,605,385,397,541,893,865,865,361,681,501,725,481,709,605,304,529,713,496,505,505,785,1073,893,676,577,865,565,517,565,217,240,572,953,860,768,544,420,893,752,893,352,532,544,893,681,517,621,517,953,712,889,593,856,565,532,633,532,333,1009,517,565,593,120,1040,352,893,773,893,685,217,709,773,605,953,752,593,709,953,577,953,773,740,893,725,1009,184,385,577,676,588,652,745,893,697,1073,681,532,153,1040,505,593,676,321,184,1073,740,648,321,1073,633,725,1073,529,517,333,688,745,860,1073,697,773,745,889,652,364,829,321,1040,832,425,1009,501,505,712,392,976,721,709,865,740,364,865,664,872,740,692,333,304,713,621,621,745,1009,532,832,801,976,740,709,953,725,588,577,745,448,865,796,713,773,829,860,1073,829,529,796,712,905,1073,517,905,685,745,501,441,661
"8",21495,7975,20071,20239,21375,374,8189,0,7797,8063,305,582,20148,19731,7278,20505,7522,20625,20868,21294,7730,7613,20328,20359,21207,20856,7278,7453,7550,20829,20316,20955,20959,20316,20688,485,7821,20419,20856,20688,341,20148,8803,8291,8633,7861,7902,8155,7786,8797,8248,8677,8515,8422,8455,8650,8115,8179,8791,8191,8455,8335,8266,8161,7966,8386,8327,8235,8489,8369,8341,8281,8425,8263,8327,8327,8549,8128,8101,8391,8599,8336,8115,8489,8330,8217,8239,8456,8248,8155,8479,8387,8068,8630,8294,8064,7948,8086,8248,8189,7906,7878,8095,7994,8150,8461,8082,8058,8119,8572,8323,8294,8272,8386,8245,8189,8217,8266,8091,8387,8669,8369,8091,8397,7999,8147,8263,8605,8058,8507,8369,8363,8272,8266,8599,8422,8095,8299,8450,8327,8549,8483,8489,8335,8305,8483,7875,8309,8115,8303,7966,8086,8122,8174,8212,8275,8055,8248,8422,8461,7998,8242,8455,8669,8235,8211,8119,7999,8064,8335,8309,8083,8572,8275,8207,8299,8663,8091,8452,8271,8663,8483,8309,8335,8086,7939,8119,8147,8245,8238,8211,8663,8303,8335,8549,8097,8115,7939,8369,8489,8461,8443,7935,8335,8516,8275,8474,8299,8207,8425,8155,8270,8271,8479,8004,8179,8483,8119,8443,8101,8335,8428,8119,8387,8275,8425,8446,8549,8341,8275,8097,8456,8125,7942,8207,8363,8566,8302,8263,8543,8354,8179,8211,8275,8391,8097,8363,8636,8507,7981,8354,8155,7975,8178,7966,8091,8271,7999,8062,7999,8507,8308,8302,8305,8277,8330,8507,8327,8150,8128
"9",17280,352,17740,17941,17193,8045,392,7797,0,440,8069,8253,17544,17580,519,17160,763,17280,17691,17145,971,920,17691,17848,16992,17679,552,760,791,17361,17712,17280,17848,17679,17544,8216,1128,17848,17712,17511,8072,17511,1336,824,836,97,501,688,385,1033,517,880,1081,1021,865,1249,681,745,1168,568,865,901,865,364,565,829,860,768,725,605,544,484,661,829,893,860,752,397,337,768,976,605,681,692,773,453,649,725,517,565,889,953,337,1073,893,333,217,685,517,392,505,321,472,593,593,697,681,501,652,841,889,893,541,829,481,392,420,865,468,920,872,572,501,600,565,680,796,808,501,1073,605,773,541,865,976,865,505,832,893,860,785,860,725,745,541,893,441,512,648,680,565,685,565,773,481,685,621,517,865,664,441,685,865,905,801,621,652,565,333,745,512,649,841,652,740,676,1073,501,721,681,1073,860,545,712,529,505,652,713,448,681,588,1040,713,745,785,333,681,505,605,725,664,1009,468,745,785,685,1073,865,740,628,565,713,648,856,273,745,893,529,976,304,712,697,685,953,652,628,889,752,544,652,300,725,328,385,773,773,1009,745,796,920,953,712,588,685,801,333,740,905,1073,184,953,532,385,621,565,468,681,565,505,532,1040,577,745,541,513,773,1073,893,593,397
"10",17408,392,17844,17733,17321,8253,352,8063,440,0,7791,7981,17810,17684,785,17432,965,17552,17957,17585,693,1058,17957,17640,17432,17633,818,610,513,17153,17666,17408,18114,17633,17810,8066,914,18114,17666,17777,8210,17777,1480,1032,1212,409,773,832,529,1345,893,1192,1225,1165,841,1393,953,953,1144,544,905,1045,1073,676,773,517,652,1040,621,565,920,860,685,685,621,588,712,709,649,872,664,565,953,652,397,893,337,621,893,541,577,681,713,697,685,773,593,893,829,288,713,425,512,321,153,1009,953,605,860,865,745,621,565,517,505,352,860,1009,572,712,768,532,605,1040,709,408,652,832,605,865,501,397,565,1009,664,905,481,1040,453,588,745,420,685,785,565,453,713,472,920,240,709,829,541,501,505,725,893,829,841,976,545,725,841,801,1073,725,796,709,773,785,408,505,865,692,532,364,633,605,745,785,697,420,505,688,217,649,860,505,472,785,692,664,337,721,745,773,953,713,501,685,1040,865,740,721,681,661,801,1073,468,652,605,337,752,544,713,953,517,217,832,616,752,1073,893,681,628,652,577,648,856,628,740,685,352,361,565,397,697,785,652,480,745,920,692,725,905,773,364,801,801,560,681,572,361,725,773,572,785,773,545,740,768,889,721,565,953,333,801,685,217,773
