"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100","V101","V102","V103","V104","V105","V106","V107","V108","V109","V110","V111","V112","V113","V114","V115","V116","V117","V118","V119","V120","V121","V122","V123","V124","V125","V126","V127","V128","V129","V130","V131","V132","V133","V134","V135","V136","V137","V138","V139","V140","V141","V142","V143","V144","V145","V146","V147","V148","V149","V150","V151","V152","V153","V154","V155","V156","V157","V158","V159","V160","V161","V162","V163","V164","V165","V166","V167","V168","V169","V170","V171","V172","V173"
"1",0,10,18,18,4,16,14,44,8,44,10,40,26,22,20,22,14,22,20,18,44,38,24,28,24,26,24,14,10,4,10,10,8,10,40,14,8,14,10,12,10,6,20,40,24,24,12,16,10,12,38,20,22,14,12,12,16,24,28,40,12,10,12,20,44,12,12,32,24,6,14,8,16,16,16,16,20,14,46,40,10,10,44,48,44,12,40,26,24,6,40,18,8,12,14,38,24,24,2,46,40,14,8,40,16,40,4,42,38,14,16,40,46,38,42,46,16,12,18,44,42,46,6,40,40,24,22,44,46,44,22,42,10,8,10,6,14,8,10,8,12,10,14,12,6,6,12,8,10,6,12,6,6,6,2,8,10,8,6,8,4,2,10,10,10,10,10,8,8,8,8,10,10
"2",10,0,10,12,16,14,12,12,38,12,42,40,22,24,20,20,14,22,26,20,48,48,26,24,24,28,28,10,12,12,6,8,8,44,16,10,8,12,8,8,6,8,48,28,26,26,6,16,10,12,36,24,24,44,10,12,20,26,24,44,6,6,22,18,4,10,10,28,30,4,10,10,18,14,14,18,16,16,40,40,8,8,42,44,38,10,44,20,26,8,10,18,14,12,8,40,24,24,44,40,40,16,44,38,18,38,14,46,38,12,18,10,44,42,42,44,16,10,16,44,44,8,42,2,42,32,20,46,44,42,22,42,14,10,12,4,14,6,4,12,8,8,12,14,6,8,10,8,6,10,10,10,6,4,10,10,6,6,6,12,8,8,8,14,12,8,10,8,6,12,10,8,10
"3",18,10,0,14,10,8,46,18,44,14,38,8,24,20,22,22,24,20,18,16,48,44,20,26,28,26,26,22,44,10,8,14,16,44,4,14,18,14,16,6,10,12,18,22,26,26,8,18,8,12,36,20,22,42,6,8,40,26,30,42,12,8,14,16,42,16,12,28,22,2,14,16,14,16,16,12,16,18,40,40,10,6,40,42,36,4,40,22,26,10,38,24,10,12,10,8,26,28,40,46,42,8,46,38,14,40,6,46,40,14,18,6,46,40,38,42,12,14,16,44,42,40,8,44,40,28,18,50,44,42,26,40,12,16,12,10,14,10,2,8,10,12,16,8,6,6,12,6,6,10,6,10,8,8,4,8,12,4,6,8,10,10,12,8,4,6,10,8,6,10,10,12,6
"4",18,12,14,0,16,12,20,4,14,40,44,38,24,20,18,20,22,22,20,22,2,42,24,28,28,20,26,10,38,12,10,16,6,44,42,14,14,12,20,14,10,14,44,26,28,24,14,14,12,14,8,20,20,38,10,8,46,26,26,46,12,10,20,18,4,18,14,30,24,44,16,18,16,16,16,16,16,16,44,40,12,12,40,40,40,6,38,20,28,10,14,18,10,12,10,38,18,24,42,44,40,16,6,38,14,36,4,46,42,14,16,10,48,38,36,44,10,16,16,42,42,40,48,40,40,28,24,46,44,44,26,40,14,14,6,6,16,10,8,10,12,10,16,8,8,8,10,8,6,8,8,10,8,8,6,10,10,6,8,12,10,10,10,8,8,4,8,12,4,10,8,10,8
"5",4,16,10,16,0,16,44,18,42,46,42,28,22,20,20,20,20,26,22,2,20,16,22,24,22,24,26,10,40,14,14,10,12,18,40,14,12,14,44,10,12,6,48,20,24,26,18,12,12,12,16,20,24,42,10,8,44,24,26,42,10,6,20,18,44,12,10,30,26,40,8,40,14,8,14,14,18,18,40,44,12,6,42,40,44,40,44,20,26,8,40,16,14,8,12,28,26,26,40,40,38,14,10,40,18,40,38,44,42,14,18,8,44,44,38,46,14,14,8,42,48,36,44,42,46,30,16,50,44,44,24,42,14,10,4,8,16,8,14,12,4,10,12,6,6,8,8,8,8,10,6,8,6,8,12,8,8,12,8,10,8,10,10,10,6,6,10,4,8,8,10,10,12
"6",16,14,8,12,16,0,44,14,16,44,38,26,24,22,26,22,24,20,20,12,8,18,22,22,28,28,26,12,44,10,14,14,12,8,40,14,14,12,42,18,12,10,48,22,24,26,38,16,16,14,36,22,22,10,14,16,42,24,26,42,14,10,18,14,40,12,12,30,22,44,12,44,14,44,14,12,22,20,40,40,10,12,36,42,42,42,38,30,24,8,38,22,14,14,12,26,20,22,40,40,36,16,4,38,18,38,40,44,36,18,18,4,44,40,40,46,16,12,18,46,46,42,46,44,44,30,20,48,44,46,24,44,18,12,14,12,10,6,14,14,8,8,16,4,10,4,8,8,12,10,8,10,8,10,10,8,10,12,8,10,6,10,10,10,12,8,12,8,8,14,6,10,6
"7",14,12,46,20,44,44,0,2,44,40,40,28,24,26,24,20,22,18,22,8,18,16,30,22,26,22,24,14,10,8,10,10,14,12,18,14,14,14,12,14,10,8,1e-09,20,28,28,42,8,14,14,38,20,24,8,12,12,18,24,22,20,14,12,20,18,44,14,14,32,24,44,12,4,16,12,16,14,16,16,38,42,6,10,38,48,44,44,42,24,22,12,40,22,14,8,12,28,20,26,46,44,44,10,8,40,12,42,40,42,36,16,18,6,48,38,40,46,14,16,14,38,46,42,46,42,44,30,20,44,44,46,30,42,14,12,16,4,14,12,2,10,10,12,16,10,10,10,8,10,10,6,6,12,6,8,6,8,4,8,6,6,10,14,8,12,10,8,10,6,8,10,4,6,8
"8",44,12,18,4,18,14,2,0,42,14,8,16,24,20,18,20,22,22,24,18,20,46,24,28,24,24,26,40,12,16,12,10,8,10,40,14,14,14,42,12,8,12,20,20,26,26,2,14,12,18,36,20,24,6,6,14,16,24,26,14,10,6,20,18,8,12,14,26,26,38,10,42,16,42,14,12,16,16,40,40,12,10,42,10,40,4,38,26,28,8,16,22,16,8,12,14,20,28,44,40,42,12,40,38,18,40,12,44,38,14,18,38,44,38,40,42,10,16,18,42,46,42,42,46,44,32,18,48,40,40,28,42,12,12,10,2,14,6,8,10,6,10,14,8,12,12,14,10,10,6,4,8,8,12,8,10,8,10,8,10,10,6,8,8,14,12,6,8,4,8,6,8,8
"9",8,38,44,14,42,16,44,42,0,10,14,20,24,20,24,18,18,24,20,6,10,42,26,28,20,28,28,2,8,14,10,10,8,8,22,12,12,10,12,12,10,12,10,30,22,24,40,14,10,10,8,22,24,42,14,12,16,24,24,46,8,18,18,16,8,12,12,28,26,40,10,2,18,44,14,16,20,18,42,38,12,14,38,8,42,6,40,26,24,12,14,22,10,8,10,22,20,24,44,46,38,14,42,40,16,42,8,46,40,18,20,44,46,40,44,44,16,12,10,36,44,42,50,46,42,26,18,48,46,42,26,40,14,10,10,6,8,8,4,12,8,2,18,10,8,10,10,10,8,2,8,6,8,8,6,10,12,14,6,10,8,10,8,12,8,6,10,12,8,12,6,10,10
"10",44,12,14,40,46,44,40,14,10,0,40,20,26,24,22,22,18,20,20,18,6,46,28,28,24,22,24,38,42,14,8,8,8,12,16,12,10,16,40,18,6,12,18,24,28,22,2,14,18,16,34,24,24,44,6,12,44,26,26,44,12,8,16,18,40,12,14,30,22,14,10,44,14,44,16,18,20,16,38,40,12,10,42,42,44,6,40,26,26,10,36,18,12,10,14,20,20,26,44,40,38,14,42,42,14,36,12,42,36,14,12,6,40,40,38,46,14,12,14,40,44,42,46,48,42,28,14,48,44,44,26,44,10,16,12,10,10,10,4,8,8,8,10,10,12,8,12,8,6,10,8,10,4,6,8,10,10,10,4,6,6,4,2,8,12,8,8,10,4,6,12,8,4
