"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89"
"1",0,92,1242,1476,1120,432,790,718,1156,524,1028,1348,810,1440,846,1420,0,502,1150,1100,842,410,1278,934,92,1222,926,980,946,946,914,490,882,878,718,774,966,470,948,774,846,598,810,878,754,858,846,92,766,846,902,858,892,662,0,398,638,506,786,912,710,730,914,634,578,846,718,892,790,1000,866,902,866,1000,846,912,878,526,980,790,754,946,878,810,786,912,966,922,912
"2",92,0,1150,1420,1028,524,846,810,1100,432,1120,1440,718,1348,790,1476,92,410,1242,1156,934,502,1222,842,0,1278,980,926,858,1000,858,398,826,966,810,866,878,526,858,866,790,506,718,964,662,946,790,0,710,902,846,948,948,754,92,490,730,598,878,820,766,638,858,578,634,902,810,948,846,946,774,846,774,946,754,963,966,470,922,734,846,1000,963,718,878,820,878,980,964
"3",1242,1150,0,270,566,810,560,524,638,718,658,290,432,198,504,326,1242,740,92,694,400,832,72,308,1150,128,774,720,652,794,652,800,964,760,604,1004,672,928,652,1004,504,1128,432,758,800,740,584,1150,584,1040,984,742,742,892,1242,892,604,1220,672,614,640,512,652,1200,1256,1040,524,742,560,740,912,984,912,740,892,757,760,872,716,872,984,794,757,512,672,614,672,774,758
"4",1476,1420,270,0,440,1044,722,758,368,988,496,128,702,72,630,92,1476,1010,326,460,634,1066,198,578,1420,290,938,850,918,958,778,1070,1090,992,838,1238,938,1090,914,1238,630,1362,702,986,1070,972,710,1420,710,1202,1110,972,904,1126,1476,1126,838,1418,906,884,802,782,778,1290,1382,1202,758,904,722,870,1182,1110,1182,870,1162,921,992,998,850,998,1218,958,989,782,906,884,938,940,918
"5",1120,1028,566,440,0,688,1126,1090,72,596,92,460,998,368,1070,496,1120,1306,658,128,966,1398,638,874,1028,694,1260,1206,1138,1280,1138,630,1082,1246,1090,1122,1158,758,1138,1122,1070,922,998,1244,918,1226,1070,1028,990,1158,1102,1228,1228,1010,1120,722,1010,1014,1158,1100,1046,918,1138,994,1050,1158,1090,1228,1126,1226,1030,1102,1030,1226,1010,1243,1246,702,1202,990,1102,1280,1243,998,1158,1100,1158,1260,1244
"6",432,524,810,1044,688,0,1222,1150,724,92,596,916,1242,1008,1278,988,432,934,718,668,410,842,846,502,524,790,1358,1412,1378,1378,1346,922,1314,1310,1150,1206,1398,902,1380,1206,1278,1030,1242,1310,1186,1290,1278,524,1198,1278,1334,1290,1324,1094,432,830,1070,938,1218,1344,1142,1162,1346,1066,1010,1278,1150,1324,1222,1432,1298,1334,1298,1432,1278,1344,1310,958,1412,1222,1186,1378,1310,1242,1218,1344,1398,1354,1344
"7",790,846,560,722,1126,1222,0,72,1090,1278,1070,702,128,758,92,630,790,436,504,998,812,380,524,868,846,432,220,308,342,240,240,496,552,308,152,552,362,368,342,552,92,824,128,304,496,288,172,846,172,480,572,284,182,440,790,440,152,768,220,310,80,208,240,788,696,480,72,182,0,328,608,572,608,328,588,202,308,460,310,460,532,240,304,208,220,310,362,220,202
"8",718,810,524,758,1090,1150,72,0,1126,1242,998,630,92,722,128,702,718,400,432,1070,740,308,560,832,810,504,288,342,308,308,276,460,588,240,80,480,328,440,310,480,128,788,92,240,460,220,208,810,208,552,608,220,254,368,718,368,80,696,148,274,152,172,276,824,768,552,0,254,72,362,572,608,572,362,552,274,240,496,342,496,460,308,240,172,148,274,328,284,274
"9",1156,1100,638,368,72,724,1090,1126,0,668,128,496,1070,440,998,460,1156,1378,694,92,1002,1434,566,946,1100,658,1226,1138,1206,1246,1066,702,1010,1280,1126,1158,1226,722,1202,1158,998,994,1070,1274,990,1260,998,1100,918,1122,1030,1260,1192,1046,1156,758,1046,1050,1194,1172,1010,990,1066,922,1014,1122,1126,1192,1090,1158,1102,1030,1102,1158,1082,1209,1280,630,1138,918,1138,1246,1277,1070,1194,1172,1226,1228,1206
"10",524,432,718,988,596,92,1278,1242,668,0,688,1008,1150,916,1222,1044,524,842,810,724,502,934,790,410,432,846,1412,1358,1290,1432,1290,830,1258,1398,1242,1298,1310,958,1290,1298,1222,938,1150,1396,1094,1378,1222,432,1142,1334,1278,1380,1380,1186,524,922,1162,1030,1310,1252,1198,1070,1290,1010,1066,1334,1242,1380,1278,1378,1206,1278,1206,1378,1186,1395,1398,902,1354,1166,1278,1432,1395,1150,1310,1252,1310,1412,1396
"11",1028,1120,658,496,92,596,1070,998,128,688,0,368,1090,460,1126,440,1028,1398,566,72,874,1306,694,966,1120,638,1206,1260,1226,1226,1194,722,1138,1158,998,1030,1246,702,1228,1030,1126,1014,1090,1158,1010,1138,1126,1120,1046,1102,1158,1138,1172,918,1028,630,918,922,1066,1192,990,1010,1194,1050,994,1102,998,1172,1070,1280,1122,1158,1122,1280,1102,1192,1158,758,1260,1046,1010,1226,1158,1090,1066,1192,1246,1202,1192
"12",1348,1440,290,128,460,916,702,630,496,1008,368,0,722,92,758,72,1348,1030,198,440,506,938,326,598,1440,270,918,972,938,938,906,1090,1218,870,710,1110,958,1070,940,1110,758,1382,722,870,1090,850,838,1440,838,1182,1238,850,884,998,1348,998,710,1290,778,904,782,802,906,1418,1362,1182,630,884,702,992,1202,1238,1202,992,1182,904,870,1126,972,1126,1090,938,870,802,778,904,958,914,904
"13",810,718,432,702,998,1242,128,92,1070,1150,1090,722,0,630,72,758,810,308,524,1126,832,400,504,740,718,560,342,288,220,362,220,368,532,328,172,572,240,496,220,572,72,696,0,326,368,308,152,718,152,608,552,310,310,460,810,460,172,788,240,182,208,80,220,768,824,608,92,310,128,308,480,552,480,308,460,325,328,440,284,440,552,362,325,80,240,182,240,342,326
"14",1440,1348,198,72,368,1008,758,722,440,916,460,92,630,0,702,128,1440,938,290,496,598,1030,270,506,1348,326,972,918,850,992,850,998,1162,958,802,1202,870,1126,850,1202,702,1290,630,956,998,938,782,1348,782,1238,1182,940,940,1090,1440,1090,802,1382,870,812,838,710,850,1362,1418,1238,722,940,758,938,1110,1182,1110,938,1090,955,958,1070,914,1070,1182,992,955,710,870,812,870,972,956
