"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76"
"1",0,4,1e-09,14,4,8,10,8,12,10,8,1e-09,12,14,4,10,12,4,4,12,10,12,16,14,8,6,10,10,10,14,10,18,14,16,14,8,10,10,14,16,8,12,16,2,12,4,16,10,10,12,10,16,14,16,14,12,18,14,8,18,6,8,10,8,10,4,4,8,18,14,10,6,10,6,4,12
"2",4,0,4,16,8,10,14,4,12,14,10,4,6,10,4,4,8,10,8,4,12,10,6,10,10,10,18,6,6,8,14,16,16,12,12,8,2,10,10,10,12,8,14,6,14,8,12,4,14,14,10,4,14,12,8,12,4,10,4,14,2,4,8,12,8,4,18,6,16,16,6,4,16,16,8,6
"3",1e-09,4,0,14,6,12,1e-09,14,12,6,10,4,10,8,14,10,1e-09,8,6,12,8,8,12,14,12,6,12,10,8,14,14,10,14,16,16,12,4,6,8,12,8,14,14,4,18,4,10,8,14,12,4,10,10,16,16,8,16,8,8,14,8,4,18,6,10,10,12,6,2,14,4,2,14,12,12,8
"4",14,16,14,0,14,10,8,12,12,12,4,6,8,10,14,14,6,10,14,10,10,12,8,12,8,4,12,16,8,8,2,14,16,16,10,8,1e-09,8,4,8,4,12,14,8,16,6,16,14,4,10,8,2,12,18,16,10,6,10,8,6,12,10,16,6,12,6,4,4,10,16,4,10,16,12,10,6
"5",4,8,6,14,0,16,10,4,8,10,8,8,14,10,12,10,14,14,8,12,10,6,16,8,8,2,10,18,12,20,6,18,14,10,14,4,10,10,8,18,4,14,14,6,18,4,16,10,8,16,12,10,14,6,12,12,12,20,10,8,6,6,16,4,16,12,18,12,14,14,10,14,8,6,10,8
"6",8,10,12,10,16,0,12,12,12,10,12,12,14,12,8,14,12,10,10,12,4,10,4,10,4,6,18,18,2,16,4,12,16,14,12,12,14,4,12,14,10,18,16,8,6,14,12,6,4,12,14,6,8,16,14,6,10,18,12,4,6,16,8,10,6,14,8,12,12,16,8,14,12,2,2,8
"7",10,14,1e-09,8,10,12,0,10,12,10,14,6,14,4,12,12,12,12,12,12,8,8,4,14,10,6,6,8,6,14,8,10,14,18,18,10,14,14,6,16,16,14,12,16,12,12,20,4,8,14,10,10,18,16,16,14,12,14,8,14,16,14,6,2,12,4,16,12,18,14,10,6,16,4,6,10
"8",8,4,14,12,4,12,10,0,6,10,10,8,14,14,8,8,12,10,10,12,12,14,14,8,8,14,14,12,14,14,10,10,16,10,18,4,14,4,10,16,14,16,14,4,8,8,14,8,12,8,10,6,8,14,10,6,6,14,8,18,4,6,8,10,14,4,8,12,4,16,10,6,18,8,4,8
"9",12,12,12,12,8,12,12,6,0,12,10,12,14,16,1e-09,10,8,12,16,8,14,14,14,6,10,6,4,8,6,14,4,16,12,16,18,8,10,8,8,12,14,14,14,12,16,8,14,8,10,12,4,4,12,14,18,10,12,14,4,18,10,6,4,6,12,4,8,12,4,8,4,6,14,16,10,8
"10",10,14,6,12,10,10,10,10,12,0,4,10,4,6,14,14,4,10,10,12,10,14,12,6,14,4,12,12,14,16,12,8,10,14,18,12,14,8,14,14,18,16,14,14,20,8,12,8,12,14,1e-09,6,12,14,10,10,6,12,10,18,4,10,18,4,14,6,10,16,6,4,8,6,2,16,12,12
"11",8,10,10,4,8,12,14,10,10,4,0,8,1e-09,12,12,8,8,12,14,12,10,14,8,12,10,10,8,14,12,14,8,16,10,14,18,4,14,6,14,10,14,14,12,14,20,10,20,8,8,18,4,16,10,16,14,8,18,14,8,14,16,12,18,4,4,4,6,6,18,8,6,12,12,16,12,16
