"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97"
"1",0,632,332,626,722,488,770,836,626,512,422,180,180,422,480,722,812,758,524,566,872,566,926,758,668,524,242,422,770,668,512,656,422,656,872,1988,1274,1118,1328,1184,1328,1226,1082,1082,902,1103,1186,995,934,910,1169,1109,1174,1168,1061,1000,1018,1012,1162,1054,826,1174,1078,1109,1025,908,934,1066,1142,1060,1108,1048,1372,1169,1103,917,910,1103,1001,1168,1103,1186,1108,904,1018,830,1162,1156,1385,1018,1012,1025,1018,995,914,1156,1378
"2",632,0,648,924,468,144,1068,534,744,468,678,452,632,678,932,690,948,894,878,534,1170,534,1224,894,636,780,390,210,1068,636,648,792,390,792,1170,1490,1376,1220,1430,686,1430,1328,1004,1184,1184,484,575,376,484,461,628,652,569,634,520,383,400,478,635,527,376,569,467,652,574,374,484,461,644,526,491,514,892,628,640,466,292,484,544,634,640,575,491,370,569,380,635,622,898,569,478,574,400,532,296,622,905
"3",332,648,0,798,390,792,942,1008,798,180,726,512,512,726,812,738,480,426,842,582,1044,582,1098,426,684,828,258,438,942,684,180,324,438,324,1044,1802,1088,932,1142,998,1142,1040,896,896,716,886,959,778,700,683,964,874,959,946,856,779,790,790,959,851,592,959,851,874,784,686,700,851,956,838,887,844,1222,964,874,676,682,886,766,946,874,959,887,682,791,596,959,952,1234,791,790,784,790,766,686,952,1229
"4",626,924,798,0,1008,780,144,390,180,798,534,626,446,534,746,834,918,864,650,678,246,678,300,864,780,636,714,714,144,780,618,762,534,762,246,1958,1064,908,1118,1154,1118,1016,1052,872,1052,1324,1400,1216,1276,1256,1396,1435,1403,1384,1288,1217,1237,1234,1400,1292,1168,1403,1292,1435,1363,1130,1276,1295,1112,1276,1325,1276,1366,1396,1435,1255,1129,1324,1327,1384,1435,1400,1325,1126,1364,1172,1400,1384,1378,1364,1234,1363,1237,1327,1133,1384,1382
"5",722,468,390,1008,0,612,1152,828,828,210,936,542,722,936,1022,948,690,636,1052,792,1254,792,1308,636,894,1038,648,468,1152,894,390,534,648,534,1254,1622,1298,1142,1352,818,1352,1250,926,1106,1106,706,779,598,520,503,784,694,779,766,676,599,610,610,779,671,412,779,671,694,604,506,520,671,776,658,707,664,1042,784,694,496,502,706,586,766,694,779,707,502,611,416,779,772,1054,611,610,604,610,586,506,772,1049
"6",488,144,792,780,612,0,924,390,600,612,534,308,488,534,788,834,1092,1038,734,678,1026,678,1080,1038,780,636,534,354,924,780,792,936,534,936,1026,1598,1484,1328,1538,794,1538,1436,1112,1292,1292,628,719,520,628,605,772,796,713,778,664,527,544,622,779,671,520,713,611,796,718,518,628,605,752,670,635,658,982,772,784,610,436,628,688,778,784,719,635,514,713,524,779,766,988,713,622,718,544,676,440,766,995
"7",770,1068,942,144,1152,924,0,534,324,942,534,770,590,390,602,690,774,720,506,678,102,534,156,720,636,492,858,858,144,636,762,618,678,762,102,2102,920,908,974,1298,974,872,1196,1016,1196,1468,1544,1360,1420,1400,1540,1579,1547,1528,1432,1361,1381,1378,1544,1436,1312,1547,1436,1579,1507,1274,1420,1439,1256,1420,1469,1420,1510,1540,1579,1399,1273,1468,1471,1528,1579,1544,1469,1270,1508,1316,1544,1528,1522,1508,1378,1507,1381,1471,1277,1528,1526
"8",836,534,1008,390,828,390,534,0,210,828,924,656,836,924,1136,1224,1308,1254,1040,1068,636,1068,690,1254,1170,1026,924,744,534,1170,1008,1152,924,1152,636,1568,1454,1298,1508,764,1508,1406,1082,1262,1262,934,1010,826,886,866,1006,1045,1013,994,898,827,847,844,1010,902,778,1013,902,1045,973,740,886,905,722,886,935,886,976,1006,1045,865,739,934,937,994,1045,1010,935,736,974,782,1010,994,988,974,844,973,847,937,743,994,992
"9",626,744,798,180,828,600,324,210,0,618,714,446,626,714,926,1014,1098,1044,830,858,426,858,480,1044,960,816,714,534,324,960,798,942,714,942,426,1778,1244,1088,1298,974,1298,1196,872,1052,1052,1144,1220,1036,1096,1076,1216,1255,1223,1204,1108,1037,1057,1054,1220,1112,988,1223,1112,1255,1183,950,1096,1115,932,1096,1145,1096,1186,1216,1255,1075,949,1144,1147,1204,1255,1220,1145,946,1184,992,1220,1204,1198,1184,1054,1183,1057,1147,953,1204,1202
"10",512,468,180,798,210,612,942,828,618,0,726,332,512,726,812,738,480,426,842,582,1044,582,1098,426,684,828,438,258,942,684,180,324,438,324,1044,1622,1088,932,1142,818,1142,1040,716,896,896,706,779,598,520,503,784,694,779,766,676,599,610,610,779,671,412,779,671,694,604,506,520,671,776,658,707,664,1042,784,694,496,502,706,586,766,694,779,707,502,611,416,779,772,1054,611,610,604,610,586,506,772,1049
