"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100","V101","V102","V103","V104","V105","V106","V107","V108","V109","V110"
"1",0,4,6,8,10,8,10,8,14,8,10,14,10,12,12,10,8,14,10,14,14,14,10,6,12,14,2,10,18,18,6,6,16,16,8,16,16,4,14,14,12,18,2,12,4,16,14,10,16,8,16,10,14,16,12,8,10,10,8,14,10,4,8,14,8,8,10,8,20,8,12,14,16,20,16,14,4,8,6,10,10,16,16,16,18,12,20,14,8,10,10,16,22,18,8,18,14,16,4,4,2,6,6,8,6,6,6,4,6,6
"2",4,0,10,8,6,6,8,8,12,10,14,12,10,10,12,10,6,12,14,14,12,14,8,6,14,14,6,10,18,18,4,10,14,16,10,14,16,14,12,6,12,18,8,14,4,14,14,22,16,6,16,14,12,14,12,8,14,12,4,14,8,10,10,16,14,4,10,8,14,8,10,14,14,20,18,12,8,8,2,2,12,18,16,14,18,12,14,14,10,18,14,18,20,16,12,16,10,10,2,4,4,6,6,2,4,4,6,6,2,8
"3",6,10,0,6,6,6,6,8,12,2,18,12,12,12,12,12,8,12,20,14,14,14,12,12,14,12,4,12,16,16,8,2,14,16,6,14,16,10,12,6,24,16,4,14,10,16,14,16,14,10,16,20,14,12,14,6,12,10,18,12,6,10,10,14,18,6,12,10,8,10,12,12,16,20,18,18,22,10,4,22,14,20,16,16,16,12,8,16,12,14,12,18,18,16,8,18,12,16,4,4,4,2,4,6,4,4,4,4,6,4
"4",8,8,6,0,8,4,12,8,6,4,18,12,12,10,12,12,12,6,18,12,14,12,12,8,14,12,8,8,18,16,10,8,16,14,12,16,16,6,14,8,10,16,8,14,6,14,14,16,16,8,14,18,14,12,12,6,8,12,14,12,10,10,10,16,14,8,10,10,14,8,12,12,16,18,18,14,10,6,10,10,12,20,14,16,16,12,14,16,10,10,14,18,22,14,8,18,14,14,6,2,6,6,2,4,4,4,4,4,2,8
"5",10,6,6,8,0,6,10,8,14,12,14,10,12,12,10,4,10,14,14,12,14,12,12,10,14,14,10,10,16,18,8,6,14,14,10,16,16,8,12,4,16,18,6,12,10,14,14,16,14,22,16,14,14,10,8,8,6,12,10,14,8,12,10,16,18,12,12,10,14,12,12,14,14,18,16,14,12,20,20,12,10,18,14,14,18,12,14,16,12,14,12,18,20,16,12,16,2,16,6,4,6,6,4,6,4,8,6,6,8,6
"6",8,6,6,4,6,0,10,14,6,8,18,12,10,10,12,8,8,6,18,14,12,14,10,10,12,12,6,12,18,16,10,4,16,16,4,16,14,6,14,8,14,16,6,12,10,12,14,16,16,14,14,18,14,14,10,8,12,12,14,12,10,6,8,14,8,14,12,8,14,12,12,12,16,20,18,18,10,8,14,10,14,20,16,16,16,12,14,14,12,12,12,16,22,16,12,14,16,16,8,6,4,6,4,6,4,6,4,4,6,4
"7",10,8,6,12,10,10,0,10,16,8,12,10,10,12,10,8,12,16,14,14,12,14,8,6,12,14,8,6,18,18,10,8,16,16,8,14,14,6,14,14,18,18,2,14,10,14,12,14,16,14,16,14,14,14,6,8,8,8,12,8,8,12,8,16,18,14,12,6,12,10,10,14,14,20,16,16,16,10,8,16,12,18,16,14,18,10,12,14,12,14,12,16,22,10,10,18,16,12,4,6,4,4,6,6,6,8,6,4,6,8
"8",8,8,8,8,8,14,10,0,12,10,18,12,12,12,12,6,12,12,18,14,14,8,10,10,14,14,8,10,18,18,12,8,14,4,8,14,16,12,12,10,16,18,8,12,8,12,12,16,16,14,16,18,14,12,2,6,12,10,14,12,8,12,10,14,16,12,12,10,14,8,10,14,14,20,18,18,12,8,14,12,14,20,16,16,18,10,14,16,12,12,12,18,16,4,8,18,16,16,4,8,8,4,6,8,6,8,6,6,4,6
"9",14,12,12,6,14,6,16,12,0,4,16,12,10,12,12,6,12,8,16,12,12,8,10,14,14,14,14,10,18,18,10,22,16,6,8,16,16,6,14,14,16,18,1e-09,14,10,14,14,18,16,16,16,16,14,14,12,6,8,12,12,8,8,14,8,14,12,10,10,8,12,6,12,14,14,18,18,18,12,14,14,12,14,20,14,14,18,12,12,14,10,12,14,16,20,4,12,16,14,14,8,4,4,2,4,6,6,2,4,6,4,6
"10",8,10,2,4,12,8,8,10,4,0,14,12,12,10,12,10,10,10,16,12,14,6,8,20,14,14,10,10,16,18,8,10,14,6,14,14,8,10,12,14,20,18,10,14,12,14,14,18,16,12,16,16,12,12,6,8,14,10,12,8,8,18,6,14,14,10,12,10,14,4,10,14,16,18,18,18,16,10,14,16,14,20,12,16,18,12,14,16,10,10,12,16,20,6,10,18,16,16,4,2,6,4,2,4,4,6,4,6,6,8
