"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100","V101","V102","V103","V104","V105","V106","V107","V108","V109","V110","V111","V112","V113","V114","V115","V116","V117","V118","V119","V120","V121","V122","V123","V124","V125","V126","V127","V128","V129","V130","V131","V132","V133","V134","V135"
"1",0,460,3986,4032,638,4150,520,9126,5778,4210,9526,5896,0,460,5436,638,9408,3926,9586,3868,4092,5896,3868,520,402,14876,14310,14886,118,5778,352,15050,10792,5952,576,14426,14882,15054,14826,31638,31804,31864,31864,30780,30606,29500,30802,31184,31828,32212,31834,32264,30576,30864,33230,31690,31752,31962,32454,31638,31180,31180,30190,30236,30900,30740,29850,30120,29732,29732,30742,30900,31260,31952,31904,30786,32460,31866,32304,30914,31152,31670,29558,32082,31924,30900,32310,31552,32304,30808,31864,31278,31892,31930,30288,31278,31050,30920,30972,29500,31194,31510,31828,31450,30490,30198,29754,30288,30576,32830,31000,32098,30802,29094,30196,30062,29304,29326,31180,30258,31828,29034,30142,31114,30936,31828,32264,30142,30028,30876,32330,31060,32482,31932,31320
"2",460,0,4210,3808,178,3926,638,9586,5896,4092,9644,5672,460,342,5896,520,9526,4150,9362,4328,4210,6014,4092,296,178,14652,14192,15110,342,5554,576,15168,10910,5728,352,14886,15000,14936,14708,32098,31922,32153,32153,30898,31066,29960,31262,31644,32288,32672,32294,32724,31036,31324,33690,32150,32041,32422,32572,32098,31640,31640,30650,30525,31360,31200,30310,30409,29850,30021,31202,31360,31720,32412,32022,30904,32578,32326,32764,31203,31441,32130,30018,32371,32042,31360,32770,32012,32764,31268,31982,31738,32352,32048,30748,31738,31339,31038,31432,29960,31654,31970,32288,31910,30950,30658,30214,30748,31036,33119,31460,32558,31262,29554,30314,30522,29422,29786,31640,30718,32288,29494,30602,31574,31396,32288,32724,30602,30488,31336,32790,31520,32942,32392,31780
"3",3986,4210,0,638,4032,520,4150,5612,9644,520,5896,9526,3986,4210,9302,4032,6014,60,5896,118,578,9586,178,4150,4328,18862,18060,18516,3868,9704,4042,19036,14542,9878,4442,18352,18868,18744,18576,27948,28174,28174,28114,27030,26856,25750,27052,27554,28138,28462,28144,28514,26946,27174,29600,28060,28122,28212,28764,27888,27430,27430,26560,26546,27150,26990,26220,26430,25982,26042,27112,27210,27630,28202,28214,27096,28770,28236,28614,27224,27462,28040,25808,28452,28174,27210,28560,27802,28554,27058,28174,27588,28262,28180,26538,27588,27420,27230,27282,25810,27564,27820,28078,27820,26800,26568,26004,26598,26946,29200,27370,28468,27112,25404,26566,26372,25674,25696,27490,26508,28138,25404,26392,27484,27246,28078,28634,26452,26278,27246,28580,27370,28792,28242,27570
"4",4032,3808,638,0,3986,118,4210,5778,9468,520,5836,9244,4032,4150,9468,4328,5718,578,5554,520,402,9586,520,3868,3750,18224,18000,18918,4150,9126,4384,18740,14482,9300,3924,18458,18572,18744,18516,28290,28114,28345,28345,27090,27258,26152,27454,27836,28480,28864,28486,28916,27228,27516,29882,28342,28233,28614,28764,28290,27832,27832,26842,26717,27552,27392,26502,26601,26042,26213,27394,27552,27912,28604,28214,27096,28770,28518,28956,27395,27633,28322,26210,28563,28234,27552,28962,28204,28956,27460,28174,27930,28544,28240,26940,27930,27531,27230,27624,26152,27846,28162,28480,28102,27142,26850,26406,26940,27228,29311,27652,28750,27454,25746,26506,26714,25614,25978,27832,26910,28480,25686,26794,27766,27588,28480,28916,26794,26680,27528,28982,27712,29134,28584,27972
"5",638,178,4032,3986,0,3868,460,9644,5954,4210,9586,5494,638,520,5954,342,9704,4092,9244,4150,4268,5896,4210,118,296,14830,14370,15168,520,5672,694,15346,10852,5846,410,15004,15178,15054,14886,31980,31864,32035,31975,30720,30888,29782,31084,31586,32170,32494,32176,32546,30978,31206,33632,32092,31983,32244,32454,31920,31462,31462,30592,30407,31182,31022,30252,30291,29672,29903,31144,31242,31662,32234,31904,30786,32460,32268,32646,31085,31323,32072,29840,32313,31864,31242,32592,31834,32586,31090,31864,31620,32294,31870,30570,31620,31281,30920,31314,29842,31596,31852,32110,31852,30832,30600,30036,30630,30978,33061,31402,32500,31144,29436,30256,30404,29364,29728,31522,30540,32170,29436,30424,31516,31278,32110,32666,30484,30310,31278,32612,31402,32824,32274,31602
"6",4150,3926,520,118,3868,0,4092,5896,9586,638,5718,9126,4150,4268,9586,4210,5836,460,5436,402,520,9468,638,3750,3868,18342,18118,19036,4268,9244,4502,18858,14364,9418,4042,18576,18690,18862,18634,28172,27996,28227,28227,26972,27140,26034,27336,27718,28362,28746,28368,28798,27110,27398,29764,28224,28115,28496,28646,28172,27714,27714,26724,26599,27434,27274,26384,26483,25924,26095,27276,27434,27794,28486,28096,26978,28652,28400,28838,27277,27515,28204,26092,28445,28116,27434,28844,28086,28838,27342,28056,27812,28426,28122,26822,27812,27413,27112,27506,26034,27728,28044,28362,27984,27024,26732,26288,26822,27110,29193,27534,28632,27336,25628,26388,26596,25496,25860,27714,26792,28362,25568,26676,27648,27470,28362,28798,26676,26562,27410,28864,27594,29016,28466,27854
"7",520,638,4150,4210,460,4092,0,9526,5494,3986,9126,5718,520,296,5836,118,9244,4210,9468,4032,3808,5436,4328,342,520,15054,14146,15286,638,5896,812,14886,10392,6070,634,14886,14718,14830,14662,31862,31917,31746,31686,30773,30770,29664,30966,31468,32052,32376,32058,32428,30860,31088,33514,31974,31694,32126,32507,31802,31344,31344,30474,30118,31064,30904,30134,30002,29725,29614,31026,31124,31544,32116,31957,30839,32513,32150,32528,30796,31034,31954,29722,32024,31917,31124,32474,31716,32468,30972,31917,31502,32176,31923,30452,31502,30992,30973,31196,29724,31478,31734,31992,31734,30714,30482,29918,30512,30860,32772,31284,32382,31026,29318,30309,30286,29417,29610,31404,30422,32052,29318,30306,31398,31160,31992,32548,30366,30192,31160,32494,31284,32706,32156,31484
"8",9126,9586,5612,5778,9644,5896,9526,0,4032,5896,520,4150,9126,9586,3690,9644,402,5672,520,5494,5718,4210,5554,9526,9468,17234,16668,17124,9244,4092,9418,17408,9166,4266,9582,16724,17240,17352,17184,22572,22798,22798,22738,21654,21480,20374,21676,22178,22762,23086,22768,23138,21570,21798,24224,22684,22746,22836,23388,22512,22054,22054,21184,21170,21774,21614,20844,21054,20606,20666,21736,21834,22254,22826,22838,21720,23394,22860,23238,21848,22086,22664,20432,23076,22798,21834,23184,22426,23178,21682,22798,22212,22886,22804,21162,22212,22044,21854,21906,20434,22188,22444,22702,22444,21424,21192,20628,21222,21570,23824,21994,23092,21736,20028,21190,20996,20298,20320,22114,21132,22762,20028,21016,22108,21870,22702,23258,21076,20902,21870,23204,21994,23416,22866,22194
"9",5778,5896,9644,9468,5954,9586,5494,4032,0,9244,3868,460,5778,5554,342,5612,3750,9704,4210,9526,9066,178,9586,5836,5778,13544,12636,13776,5896,402,6070,13376,5134,576,5892,13376,13208,13320,13152,26604,26659,26488,26428,25515,25512,24406,25708,26210,26794,27118,26800,27170,25602,25830,28256,26716,26436,26868,27249,26544,26086,26086,25216,24860,25806,25646,24876,24744,24467,24356,25768,25866,26286,26858,26699,25581,27255,26892,27270,25538,25776,26696,24464,26766,26659,25866,27216,26458,27210,25714,26659,26244,26918,26665,25194,26244,25734,25715,25938,24466,26220,26476,26734,26476,25456,25224,24660,25254,25602,27514,26026,27124,25768,24060,25051,25028,24159,24352,26146,25164,26794,24060,25048,26140,25902,26734,27290,25108,24934,25902,27236,26026,27448,26898,26226
"10",4210,4092,520,520,4210,638,3986,5896,9244,0,5672,9704,4210,3750,9586,3868,5554,520,5954,638,178,9302,342,4328,4150,18744,17600,18800,4092,9526,4206,18576,14318,9700,4384,18516,18408,18224,18116,28348,28463,28232,28292,27379,27376,26270,27572,28014,28538,28982,28544,29034,27406,27574,30060,28520,28240,28732,28993,28408,27950,27950,27020,26604,27670,27510,26680,26488,26331,26100,27572,27610,28090,28722,28443,27325,28999,28696,29014,27282,27520,28500,26328,28570,28523,27610,29080,28322,29074,27578,28403,27988,28722,28529,27058,27988,27538,27459,27682,26210,28024,28220,28598,28280,27200,27028,26524,26998,27406,29318,27830,28928,27512,25804,26855,26772,25963,26156,27890,27028,28538,25864,26912,27944,27646,28598,29094,26852,26798,27706,29100,27770,29192,28642,28090
"11",9526,9644,5896,5836,9586,5718,9126,520,3868,5672,0,4092,9526,9302,4210,9244,118,5836,402,5778,5554,3750,6014,9468,9586,17292,16384,17644,9644,4210,9878,17124,8646,4384,9760,17184,16956,17128,16900,22796,22791,22680,22680,21767,21764,20658,21960,22342,22986,23370,22992,23422,21734,22022,24388,22848,22568,23120,23441,22796,22338,22338,21348,21052,22058,21898,21008,20936,20719,20548,21900,22058,22418,23110,22891,21773,23447,23024,23462,21730,21968,22828,20716,22898,22911,22058,23468,22710,23462,21966,22851,22436,23050,22917,21446,22436,21866,21907,22130,20658,22352,22668,22986,22608,21648,21356,20912,21446,21734,23646,22158,23256,21960,20252,21183,21220,20291,20484,22338,21416,22986,20192,21300,22272,22094,22986,23422,21300,21186,22034,23488,22218,23640,23090,22478
"12",5896,5672,9526,9244,5494,9126,5718,4150,460,9704,4092,0,5896,6014,460,5836,4210,9586,3750,9408,9526,402,9704,5376,5554,13320,13096,13894,6014,178,6188,13836,5358,352,5668,13494,13668,13780,13612,26486,26370,26541,26481,25226,25394,24288,25590,26092,26676,27000,26682,27052,25484,25712,28138,26598,26489,26750,26960,26426,25968,25968,25098,24913,25688,25528,24758,24797,24178,24409,25650,25748,26168,26740,26410,25292,26966,26774,27152,25591,25829,26578,24346,26819,26370,25748,27098,26340,27092,25596,26370,26126,26800,26376,25076,26126,25787,25426,25820,24348,26102,26358,26616,26358,25338,25106,24542,25136,25484,27567,25908,27006,25650,23942,24762,24910,23870,24234,26028,25046,26676,23942,24930,26022,25784,26616,27172,24990,24816,25784,27118,25908,27330,26780,26108
"13",0,460,3986,4032,638,4150,520,9126,5778,4210,9526,5896,0,460,5436,638,9408,3926,9586,3868,4092,5896,3868,520,402,14876,14310,14886,118,5778,352,15050,10792,5952,576,14426,14882,15054,14826,31638,31804,31864,31864,30780,30606,29500,30802,31184,31828,32212,31834,32264,30576,30864,33230,31690,31752,31962,32454,31638,31180,31180,30190,30236,30900,30740,29850,30120,29732,29732,30742,30900,31260,31952,31904,30786,32460,31866,32304,30914,31152,31670,29558,32082,31924,30900,32310,31552,32304,30808,31864,31278,31892,31930,30288,31278,31050,30920,30972,29500,31194,31510,31828,31450,30490,30198,29754,30288,30576,32830,31000,32098,30802,29094,30196,30062,29304,29326,31180,30258,31828,29034,30142,31114,30936,31828,32264,30142,30028,30876,32330,31060,32482,31932,31320
"14",460,342,4210,4150,520,4268,296,9586,5554,3750,9302,6014,460,0,5896,178,9184,4150,9704,4328,3868,5672,4092,638,520,14994,13850,15110,342,5896,576,14826,10568,6070,694,14886,14658,14594,14366,32098,32093,31982,31982,31069,31066,29960,31262,31644,32288,32672,32294,32724,31036,31324,33690,32150,31870,32422,32743,32098,31640,31640,30650,30354,31360,31200,30310,30238,30021,29850,31202,31360,31720,32412,32193,31075,32749,32326,32764,31032,31270,32130,30018,32200,32213,31360,32770,32012,32764,31268,32153,31738,32352,32219,30748,31738,31168,31209,31432,29960,31654,31970,32288,31910,30950,30658,30214,30748,31036,32948,31460,32558,31262,29554,30485,30522,29593,29786,31640,30718,32288,29494,30602,31574,31396,32288,32724,30602,30488,31336,32790,31520,32942,32392,31780
"15",5436,5896,9302,9468,5954,9586,5836,3690,342,9586,4210,460,5436,5896,0,5954,4092,9362,4210,9184,9408,520,9244,5836,5778,13544,12978,13434,5554,402,5728,13718,5476,576,5892,13034,13550,13662,13494,26262,26488,26488,26428,25344,25170,24064,25366,25868,26452,26776,26458,26828,25260,25488,27914,26374,26436,26526,27078,26202,25744,25744,24874,24860,25464,25304,24534,24744,24296,24356,25426,25524,25944,26516,26528,25410,27084,26550,26928,25538,25776,26354,24122,26766,26488,25524,26874,26116,26868,25372,26488,25902,26576,26494,24852,25902,25734,25544,25596,24124,25878,26134,26392,26134,25114,24882,24318,24912,25260,27514,25684,26782,25426,23718,24880,24686,23988,24010,25804,24822,26452,23718,24706,25798,25560,26392,26948,24766,24592,25560,26894,25684,27106,26556,25884
"16",638,520,4032,4328,342,4210,118,9644,5612,3868,9244,5836,638,178,5954,0,9362,4092,9586,4150,3926,5554,4210,460,638,15172,14028,15168,520,6014,694,15004,10510,6188,752,15004,14836,14712,14544,31980,32035,31864,31804,30891,30888,29782,31084,31586,32170,32494,32176,32546,30978,31206,33632,32092,31812,32244,32625,31920,31462,31462,30592,30236,31182,31022,30252,30120,29843,29732,31144,31242,31662,32234,32075,30957,32631,32268,32646,30914,31152,32072,29840,32142,32035,31242,32592,31834,32586,31090,32035,31620,32294,32041,30570,31620,31110,31091,31314,29842,31596,31852,32110,31852,30832,30600,30036,30630,30978,32890,31402,32500,31144,29436,30427,30404,29535,29728,31522,30540,32170,29436,30424,31516,31278,32110,32666,30484,30310,31278,32612,31402,32824,32274,31602
