"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100","V101","V102","V103","V104","V105","V106","V107","V108","V109","V110","V111","V112","V113","V114","V115","V116","V117","V118","V119","V120","V121","V122","V123","V124","V125","V126","V127","V128","V129","V130","V131","V132","V133","V134","V135"
"1",0,4,8,8,6,8,6,6,6,18,26,30,26,28,30,24,20,4,10,34,34,34,28,24,8,24,24,26,28,8,26,24,28,28,22,28,26,6,30,28,30,18,26,22,20,24,30,24,30,6,28,24,24,20,6,28,26,26,26,32,34,24,20,24,26,30,10,28,22,20,22,28,28,24,22,28,22,22,32,38,14,30,28,34,18,28,26,38,16,28,22,6,28,26,34,34,12,18,20,16,10,18,12,24,2,8,20,16,22,8,16,18,8,12,14,24,16,14,20,6,14,10,12,8,14,16,14,8,14,12,18,12,14,14,12
"2",4,0,4,6,6,1e-09,6,6,6,16,26,30,26,30,34,24,24,6,6,30,34,30,28,28,8,20,26,26,22,4,28,24,28,28,18,26,24,8,28,28,22,30,28,22,20,18,20,28,22,6,24,26,22,22,16,24,24,26,30,30,24,24,20,26,24,26,4,28,24,18,22,24,28,26,26,24,24,22,28,38,18,38,38,32,16,22,28,30,16,28,24,8,30,30,36,32,16,16,16,14,4,16,4,14,2,16,18,20,14,10,20,12,10,10,16,20,12,18,14,6,12,20,14,6,14,16,6,14,10,8,16,10,14,10,8
"3",8,4,0,6,8,4,10,4,16,30,28,32,26,26,24,24,26,8,6,32,32,32,32,30,8,20,24,22,24,6,28,26,26,6,18,30,26,10,28,24,22,28,28,28,26,28,18,28,26,8,24,26,22,20,20,26,4,26,32,28,28,26,26,24,28,24,8,24,24,22,24,26,24,24,20,32,28,28,28,38,14,34,38,30,18,24,28,36,16,26,30,6,32,32,34,32,18,18,20,20,16,20,6,22,4,10,8,24,6,6,16,12,8,12,16,16,18,16,10,8,6,16,18,4,10,20,6,14,14,8,12,4,16,8,12
"4",8,6,6,0,8,4,6,14,12,28,32,30,24,24,26,32,26,10,4,32,32,30,32,30,4,28,20,28,22,8,26,32,26,4,32,32,28,8,22,26,22,28,22,26,26,28,22,30,26,8,26,28,20,22,20,26,4,24,24,28,30,24,24,26,34,28,10,28,22,28,22,24,28,30,22,34,28,26,26,36,4,34,30,30,28,28,24,36,18,28,28,34,40,32,38,38,12,20,18,20,12,14,14,22,10,8,6,10,14,14,18,10,6,6,22,16,12,10,14,12,8,14,14,6,8,18,18,8,10,10,20,12,10,6,12
"5",6,6,8,8,0,8,6,16,8,30,30,28,24,30,26,26,30,8,14,30,30,28,30,34,10,28,22,24,26,10,26,28,22,10,30,30,34,6,26,24,32,26,30,28,26,20,28,30,26,4,24,26,22,24,10,20,8,24,24,30,30,20,26,24,30,24,20,24,24,24,18,22,26,26,26,22,30,28,34,36,14,32,34,28,28,24,24,36,24,26,30,36,32,36,32,34,18,18,18,20,12,10,8,22,14,12,14,10,12,16,8,8,14,12,12,20,12,12,20,10,12,8,18,16,6,20,12,8,14,10,12,14,12,6,10
"6",8,1e-09,4,4,8,0,8,18,6,30,30,28,26,34,28,28,32,6,14,30,28,32,30,36,2,28,20,30,20,4,24,26,24,8,30,28,30,4,30,28,26,24,30,34,24,24,24,28,28,8,28,30,22,20,4,28,6,26,24,24,34,22,32,26,32,28,18,28,22,26,20,8,32,28,22,30,30,34,34,34,16,28,34,28,26,30,24,32,20,26,30,34,34,38,34,40,6,16,22,18,10,10,16,10,14,8,20,14,14,14,6,14,10,14,12,10,10,16,20,10,8,12,14,8,18,14,14,14,12,14,10,12,8,10,10
"7",6,6,10,6,6,8,0,2,14,28,24,26,32,24,28,26,24,10,18,28,28,36,26,28,8,26,24,30,28,6,26,30,24,8,28,32,32,4,28,30,28,24,24,24,22,24,26,26,24,2,24,24,24,20,12,28,6,32,34,28,36,20,22,28,30,24,20,32,22,20,18,6,30,24,28,30,28,24,26,32,16,32,34,26,28,34,22,36,18,26,30,36,32,30,38,30,16,18,14,20,12,14,16,12,4,6,12,10,18,18,18,14,8,10,18,4,14,12,12,12,12,16,16,10,6,18,18,12,8,14,10,6,10,12,6
"8",6,6,4,14,16,18,2,0,16,26,28,26,30,30,24,22,24,8,2,30,30,28,28,28,2,24,22,20,20,6,26,26,24,10,26,30,28,4,26,22,26,22,28,22,20,24,24,28,26,10,30,26,28,24,20,22,10,30,28,28,28,24,20,26,28,26,4,22,20,16,22,6,22,24,32,30,26,22,26,32,10,30,30,28,26,22,26,32,22,20,26,34,34,32,34,34,12,20,16,20,16,12,16,16,8,12,18,10,14,16,18,14,12,8,12,12,16,12,10,14,14,14,12,12,16,16,16,8,12,12,10,8,4,12,10
"9",6,6,16,12,8,6,14,16,0,24,32,24,28,30,24,28,24,4,6,30,24,34,28,28,6,22,24,24,20,6,28,30,30,4,26,32,24,6,28,24,26,24,28,26,18,20,22,34,28,6,34,30,26,24,10,26,6,28,30,28,28,22,24,30,8,24,12,24,22,24,20,6,26,32,20,26,28,26,28,34,4,30,38,22,26,24,36,36,18,22,30,32,10,30,40,36,8,18,20,4,10,10,12,18,20,12,14,22,12,8,8,10,16,8,12,14,18,12,16,12,6,18,6,14,14,10,10,4,12,4,12,20,8,4,14
"10",18,16,30,28,30,30,28,26,24,0,30,26,32,30,28,24,34,2,6,32,28,34,28,38,10,20,24,26,26,4,32,26,26,8,24,28,30,8,28,22,8,28,28,32,20,26,8,32,26,20,28,26,26,22,6,26,6,32,28,28,28,24,30,32,6,22,8,24,24,18,22,18,26,30,22,28,34,32,26,28,6,30,32,28,24,26,30,38,22,24,36,30,4,40,44,36,10,20,22,12,18,14,14,24,16,12,18,8,14,14,8,14,16,8,18,16,12,6,4,12,8,10,10,14,14,14,8,18,12,14,16,16,12,14,10
