"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100","V101","V102","V103","V104","V105","V106","V107","V108","V109","V110","V111","V112","V113","V114","V115","V116","V117","V118","V119","V120","V121","V122","V123","V124","V125","V126","V127","V128","V129","V130","V131","V132","V133","V134","V135","V136","V137","V138","V139","V140","V141","V142","V143","V144","V145","V146","V147","V148","V149","V150","V151","V152","V153","V154","V155","V156","V157","V158","V159","V160","V161","V162","V163","V164","V165","V166","V167","V168","V169","V170","V171","V172","V173","V174","V175","V176","V177","V178","V179","V180","V181","V182","V183","V184","V185","V186","V187","V188","V189","V190","V191","V192","V193","V194","V195","V196","V197","V198","V199","V200","V201","V202","V203","V204","V205","V206","V207","V208","V209","V210","V211","V212","V213","V214","V215","V216","V217","V218","V219","V220","V221","V222","V223","V224","V225","V226","V227","V228","V229","V230","V231","V232","V233","V234","V235","V236","V237","V238","V239","V240","V241","V242","V243","V244","V245","V246","V247","V248","V249","V250","V251","V252","V253","V254","V255","V256","V257","V258","V259","V260","V261","V262","V263","V264","V265","V266","V267","V268","V269","V270","V271","V272","V273","V274","V275","V276","V277","V278","V279","V280","V281","V282","V283","V284","V285","V286","V287","V288","V289","V290","V291","V292","V293","V294","V295","V296","V297","V298","V299","V300","V301","V302","V303","V304","V305","V306","V307","V308","V309","V310","V311","V312","V313","V314","V315","V316","V317","V318","V319","V320","V321","V322","V323","V324","V325","V326","V327","V328","V329","V330","V331","V332","V333","V334","V335","V336","V337","V338","V339","V340","V341","V342","V343","V344","V345","V346","V347","V348","V349","V350","V351","V352","V353","V354","V355","V356","V357","V358","V359","V360","V361","V362","V363","V364","V365","V366","V367","V368","V369","V370","V371","V372","V373","V374","V375","V376","V377","V378","V379","V380","V381","V382","V383","V384","V385","V386","V387","V388","V389","V390","V391","V392","V393","V394","V395","V396","V397","V398"
"1",0,2026,1642,838,2916,2662,18340,3552,694,2974,1006,636,1968,58,20308,948,2806,780,20418,1416,19528,17560,20250,1474,3384,2604,3610,1584,20476,17502,2748,19470,3442,18282,18508,18450,78266,79436,79040,74244,75354,74492,75188,77548,74946,74764,75412,78250,78324,79816,75154,74550,74412,74836,74874,74946,79816,78516,77714,74958,75130,75020,74186,74640,80040,75244,75114,78490,78682,78266,78982,75212,74808,79644,75592,74774,79632,75436,80024,78504,74636,75130,78728,75244,78324,75380,78458,75182,79742,75424,78446,74884,75412,79950,79758,74962,75188,75338,75004,79512,74932,78078,75240,78010,75020,74706,75142,75366,74354,74660,74962,79574,78292,79982,77490,78020,74718,78474,75186,80040,79502,74988,74864,78168,74716,75378,77854,75396,75156,80174,80232,78490,78740,79206,75534,75170,74410,79966,79726,77796,79982,80220,79560,79346,78548,78670,80162,75354,79570,79288,79758,79264,104548,108460,108012,107898,143519,103836,143507,103998,108470,108252,107694,104104,107898,104446,142551,103316,104092,108554,108448,107492,143327,104238,104092,107378,104368,107492,108570,108268,143305,108118,108650,108012,103478,108314,103646,108268,143485,103388,114097,103342,143327,107930,108346,104434,108684,108428,143289,108876,108448,108470,104166,108138,108154,114521,109086,143311,104254,108864,103510,108346,104092,108638,108154,103568,103220,108334,108414,104092,108460,143305,108214,102486,104254,103836,108554,108154,104112,103132,104166,108118,109074,104284,108684,108650,143497,104446,108684,104422,114505,108570,104022,107908,108268,109074,114545,108894,102386,103148,102444,108762,107908,104272,104038,108570,108570,103220,103388,103478,108662,108214,104368,103314,103388,103372,104434,104076,114353,108750,108762,102742,104422,113745,103354,102964,103220,103580,143049,143071,113577,102554,114353,102612,108668,103400,104352,108894,103330,114533,104254,103400,104548,104614,103646,103412,104602,104352,104614,114713,114701,114337,104238,102922,104284,104272,108750,104076,104406,108570,142529,108878,108668,108138,104368,103998,103146,108554,103204,103204,108654,102964,107794,103568,108470,103592,108894,114265,108638,114521,108470,102934,104368,104112,47460,53072,51308,52657,75004,75172,80162,75212,80220,75592,75546,80024,80008,78682,78670,79938,80232,78474,52996,78532,78308,78504,78728,78458,78516,78446,78740,75228,80174,78250,79966,75154,75142,75604,79996,52391,75368,75396,75338,79742,52950,51516,51458,51458,52449,52800,79950,75378,74946,79800,75424,75170,75534,47656,47598,51516,52800,53280,53130,47668,47668,75322,75366,75436
"2",2026,0,3552,2748,1006,636,20250,1642,2604,948,2916,2662,58,1968,18282,2974,780,2806,18508,3442,17502,19470,18340,3384,1474,694,1584,3610,18450,19528,838,17560,1416,20308,20418,20476,77356,78866,78470,74354,75412,74718,75130,76522,75172,74874,75354,77340,77298,79246,75380,74660,74354,74946,74932,75004,79246,77490,76804,75016,75188,75130,74412,74750,79470,75354,75172,77580,77772,77356,78528,75322,74750,79074,75534,74884,79062,75546,79454,77478,74578,75188,77702,75354,77298,75322,77548,75240,79288,75534,77536,74942,75354,79496,79304,75188,75130,75396,74946,79058,74874,77052,75182,77100,75130,74932,75368,75592,74412,74718,75188,79120,77266,79528,76580,77110,74660,77564,75412,79470,79048,75098,74974,77142,74942,75604,76828,75338,75098,79720,79662,77580,77714,78752,75592,75396,74636,79512,79272,76886,79528,79650,78990,78776,77522,77760,79708,75412,79000,78834,79304,78694,106228,109328,108222,108108,142145,105348,142133,105678,109112,108520,108394,105842,108766,106126,141177,104886,105604,109054,108658,107702,141953,105976,105662,107588,106048,107760,108902,109078,141931,108392,109292,108280,105158,108814,105158,108478,142111,103388,114207,103568,141953,108204,109156,106114,109126,108870,141915,109318,108716,109112,105678,108948,108964,114463,109360,141937,105934,109306,103568,109214,105662,108970,109022,103568,103388,109144,108688,105604,109270,141931,108914,103168,105992,105406,108996,108422,105850,103132,105736,108450,109348,105796,109126,109350,142123,106184,109184,105934,114447,109012,105702,108350,109136,109406,114655,109168,102612,104886,102612,109204,108408,105842,105776,108844,109070,103388,103330,105216,109362,108856,106106,103372,103388,103314,106172,105646,114463,109082,109036,103424,105992,113687,103580,103132,103330,103522,141675,141697,113687,102612,114463,102554,109110,103568,106032,109226,103388,114643,105934,103510,106286,106126,105216,103522,106114,106090,106184,114655,114643,114447,105918,103604,105854,105784,109192,105588,105918,108902,141155,109152,109168,109006,106048,105736,103372,108828,103314,103372,108986,103074,108068,103510,109170,105272,109226,114207,108912,114463,109170,103616,106106,105792,47810,51698,49618,50982,75114,75114,79708,75322,79650,75534,75604,79454,79438,77772,77760,79484,79662,77564,51506,77506,77282,77478,77702,77548,77490,77536,77714,75338,79720,77340,79512,75380,75368,75546,79426,50832,75310,75338,75396,79288,51576,49826,49884,49884,50774,51310,79496,75604,75172,79230,75534,75396,75592,48006,48064,49826,51310,51906,51640,48018,48018,75380,75592,75546
"3",1642,3552,0,804,2662,2916,18270,2026,948,2604,636,1006,3610,1584,20238,694,2772,862,20128,226,21018,19050,20296,168,2194,2974,1968,58,20070,19108,2830,21076,2136,18328,18102,18160,79692,80794,80454,75658,76764,76022,76482,78962,76420,76126,76722,79724,79618,81126,76616,75964,75826,76206,76352,76432,81110,79862,79244,76420,76540,76330,75716,75998,81334,76538,76588,79900,80144,79676,80512,76558,76166,80990,76962,76188,81002,76782,81382,79874,76050,76556,80098,76554,79634,76726,79920,76644,81216,76794,79932,76414,76706,81412,81168,76372,76498,76812,76374,81042,76294,79492,76586,79488,76314,76184,76628,76852,75884,76190,76388,81060,79654,81392,79020,79550,76132,79948,76612,81350,80980,76350,76222,79526,76246,76840,79268,76754,76518,81636,81578,79916,80086,80736,77020,76644,75940,81440,81204,79326,81408,81590,80922,80760,79858,80156,81648,76780,80984,80818,81184,80678,105918,109864,109374,109260,144865,105198,144877,105360,109780,109668,109166,105532,109318,105792,143965,104788,105402,109970,109818,108906,144637,105654,105444,108792,105678,108964,109922,109578,144599,109532,110020,109432,104892,109734,105060,109562,144855,104740,115459,104828,144621,109300,109692,105804,109994,109790,144647,110222,109876,109764,105528,109496,109448,115831,110432,144669,105564,110234,104996,109750,105460,110058,109506,104996,104572,109704,109776,105386,109806,144615,109634,103848,105622,105256,109912,109522,105532,104552,105586,109590,110444,105630,109978,110078,144843,105850,110052,105732,115863,109880,105380,109322,109620,110502,115891,110204,103916,104620,103916,110108,109380,105700,105406,109864,109938,104588,104682,104950,110066,109576,105736,104788,104756,104730,105862,105492,115647,110178,110108,104052,105790,115159,104816,104384,104514,104926,144411,144433,114991,104084,115663,104026,110026,104828,105710,110246,104740,115903,105548,104770,105976,105960,105118,104758,105972,105768,106018,116059,116071,115695,105596,104292,105688,105642,110120,105434,105764,109938,143943,110236,110084,109554,105662,105418,104620,109912,104562,104620,110070,104326,109208,104938,109822,105006,110262,115627,110000,115815,109838,104280,105720,105474,48818,54546,52666,54003,76362,76530,81648,76558,81590,76962,77008,81382,81354,80144,80156,81424,81578,79948,54366,79890,79666,79874,80098,79920,79862,79932,80086,76586,81636,79724,81440,76616,76628,76950,81366,53865,76738,76754,76812,81216,54412,52862,52920,52920,53807,54158,81412,76840,76420,81158,76794,76644,77020,49026,49084,52862,54158,54742,54488,49014,49014,76784,76852,76782
"4",838,2748,804,0,2194,3384,17502,2830,1416,2136,168,1474,2806,780,19470,226,1968,58,19696,694,20250,18282,19528,636,2662,3442,2772,862,19638,18340,2026,20308,2604,17560,17670,17728,79104,80158,79762,74966,76192,75330,75910,78270,75784,75486,76134,79088,79046,80538,75992,75272,75134,75558,75712,75784,80538,79238,78552,75796,75968,75742,75024,75362,80762,75966,75952,79328,79520,79104,79820,75934,75530,80366,76314,75496,80354,76158,80746,79226,75358,75968,79450,75966,79046,76102,79296,76020,80580,76146,79284,75722,76134,80788,80596,75800,75910,76176,75726,80350,75654,78800,75962,78848,75742,75544,75980,76204,75192,75498,75800,80412,79014,80820,78328,78858,75440,79312,76024,80762,80340,75710,75586,78890,75554,76216,78576,76118,75878,81012,80954,79328,79462,80044,76372,76008,75248,80804,80564,78634,80820,80942,80282,80068,79270,79508,81000,76192,80292,80126,80596,79986,105270,109240,108734,108620,144241,104558,144229,104720,109192,109032,108474,104884,108678,105168,143273,104096,104814,109334,109170,108214,144049,105018,104872,108100,105090,108272,109350,108990,144027,108840,109372,108792,104200,109094,104368,108990,144207,104168,114819,104180,144049,108652,109068,105156,109406,109150,144011,109598,109228,109192,104888,108860,108876,115243,109808,144033,104976,109586,104348,109126,104872,109418,108934,104348,104000,109056,109136,104814,109182,144027,108994,103208,105034,104616,109276,108934,104892,103912,104946,108898,109796,105006,109406,109430,144219,105226,109464,105144,115227,109292,104744,108630,109048,109854,115267,109616,103224,103928,103224,109484,108688,105052,104818,109292,109350,104000,104110,104258,109442,108936,105148,104152,104168,104094,105214,104856,115075,109530,109484,103464,105202,114467,104192,103744,103942,104302,143771,143793,114299,103392,115075,103334,109390,104180,105074,109674,104168,115255,104976,104122,105328,105336,104426,104134,105324,105132,105394,115435,115423,115059,104960,103644,105064,104994,109472,104798,105128,109350,143251,109600,109448,108918,105090,104778,103984,109276,103926,103984,109434,103686,108516,104290,109250,104314,109674,114987,109360,115243,109250,103656,105148,104834,48182,53910,52030,53379,75726,75894,81000,75934,80942,76314,76384,80746,80730,79520,79508,80776,80954,79312,53718,79254,79030,79226,79450,79296,79238,79284,79462,75950,81012,79088,80804,75992,75980,76326,80718,53229,76090,76118,76176,80580,53788,52238,52296,52296,53171,53522,80788,76216,75784,80522,76146,76008,76372,48378,48436,52238,53522,54118,53852,48390,48390,76160,76204,76158
"5",2916,1006,2662,2194,0,1642,19696,636,3610,58,2026,3552,948,2974,17728,1968,226,2136,17502,2772,18508,20476,17670,2830,804,1584,694,2604,17560,20418,168,18450,862,19638,19528,19470,78030,79704,79364,75248,76070,75496,75904,77416,75894,75716,76144,78062,78072,80036,76090,75554,75248,75796,75658,75738,80020,78316,77582,75726,75846,75920,75190,75588,80244,76128,75894,78238,78482,78014,79306,76148,75588,79900,76384,75778,79912,76372,80292,78328,75472,75862,78552,76144,78088,76148,78258,75950,80010,76384,78270,75720,76128,80206,79962,75846,75920,76118,75796,79836,75716,77946,76008,77826,75904,75658,76102,76326,75190,75496,75862,79854,78108,80186,77358,77888,75554,78286,76086,80260,79774,75940,75812,77980,75720,76314,77722,76176,75940,80430,80488,78254,78540,79530,76326,76118,75414,80234,79998,77664,80202,80500,79832,79670,78312,78494,80442,76086,79894,79612,79978,79588,107078,110096,109064,108950,142971,106190,142983,106520,109902,109300,109230,106634,109550,106952,142071,105722,106394,109834,109508,108596,142743,106756,106378,108482,106838,108596,109618,109868,142705,109286,110142,109064,106052,109598,106052,109252,142961,104104,115049,104302,142727,109054,109982,106964,109916,109712,142753,110144,109508,109886,106520,109786,109738,115253,110186,142775,106724,110156,104302,109982,106394,109754,109738,104360,104104,109994,109530,106378,110096,142721,109698,104010,106724,106190,109834,109154,106634,103916,106520,109286,110198,106622,109900,110142,142949,106952,109916,106724,115285,109802,106540,109244,109852,110198,115481,109958,103390,105722,103448,110030,109244,106634,106508,109618,109802,104120,104104,106052,110130,109698,106838,104094,104120,104152,106964,106426,115237,109874,109862,104214,106724,114581,104290,103916,104104,104348,142517,142539,114581,103390,115253,103448,109948,104360,106870,109942,104046,115493,106708,104360,107078,106952,106052,104348,106964,106870,106952,115481,115493,115285,106756,104454,106622,106634,110042,106426,106756,109634,142049,109990,109948,109786,106822,106520,104094,109666,104152,104152,109766,103916,108962,104360,109886,106166,109958,115049,109754,115237,109902,104442,106822,106634,48648,52420,50456,51808,75952,75952,80442,76148,80500,76384,76314,80292,80264,78482,78494,80218,80488,78286,52356,78344,78120,78328,78552,78258,78316,78270,78540,76176,80430,78062,80234,76090,76102,76372,80276,51554,76160,76176,76118,80010,52286,50652,50594,50594,51612,52148,80206,76314,75894,80068,76384,76118,76326,48856,48798,50652,52148,52616,52478,48844,48844,76090,76326,76372
"6",2662,636,2916,3384,1642,0,20850,1006,1968,1584,3552,2026,694,2604,18882,3610,1416,3442,19108,2806,18102,20070,18940,2748,838,58,948,2974,19050,20128,1474,18160,780,20908,21018,21076,77992,79502,79106,74990,76048,75354,75766,77158,75808,75510,75990,77976,77934,79882,76016,75296,74990,75582,75568,75640,79882,78126,77440,75652,75824,75766,75048,75386,80106,75990,75808,78216,78408,77992,79164,75958,75386,79710,76170,75520,79698,76182,80090,78114,75214,75824,78338,75990,77934,75958,78184,75876,79924,76170,78172,75578,75990,80132,79940,75824,75766,76032,75582,79694,75510,77688,75818,77736,75766,75568,76004,76228,75048,75354,75824,79756,77902,80164,77216,77746,75296,78200,76048,80106,79684,75734,75610,77778,75578,76240,77464,75974,75734,80356,80298,78216,78350,79388,76228,76032,75272,80148,79908,77522,80164,80286,79626,79412,78158,78396,80344,76048,79636,79470,79940,79330,106864,109964,108858,108744,142781,105984,142769,106314,109748,109156,109030,106478,109402,106762,141813,105522,106240,109690,109294,108338,142589,106612,106298,108224,106684,108396,109538,109714,142567,109028,109928,108916,105794,109450,105794,109114,142747,104024,114843,104204,142589,108840,109792,106750,109762,109506,142551,109954,109352,109748,106314,109584,109600,115099,109996,142573,106570,109942,104204,109850,106298,109606,109658,104204,104024,109780,109324,106240,109906,142567,109550,103804,106628,106042,109632,109058,106486,103768,106372,109086,109984,106432,109762,109986,142759,106820,109820,106570,115083,109648,106338,108986,109772,110042,115291,109804,103248,105522,103248,109840,109044,106478,106412,109480,109706,104024,103966,105852,109998,109492,106742,104008,104024,103950,106808,106282,115099,109718,109672,104060,106628,114323,104216,103768,103966,104158,142311,142333,114323,103248,115099,103190,109746,104204,106668,109862,104024,115279,106570,104146,106922,106762,105852,104158,106750,106726,106820,115291,115279,115083,106554,104240,106490,106420,109828,106224,106554,109538,141791,109788,109804,109642,106684,106372,104008,109464,103950,104008,109622,103710,108704,104146,109806,105908,109862,114843,109548,115099,109806,104252,106742,106428,48446,52334,50254,51618,75750,75750,80344,75958,80286,76170,76240,80090,80074,78408,78396,80120,80298,78200,52142,78142,77918,78114,78338,78184,78126,78172,78350,75974,80356,77976,80148,76016,76004,76182,80062,51468,75946,75974,76032,79924,52212,50462,50520,50520,51410,51946,80132,76240,75808,79866,76170,76032,76228,48642,48700,50462,51946,52542,52276,48654,48654,76016,76228,76182
"7",18340,20250,18270,17502,19696,20850,0,20296,18882,19638,17670,18940,20308,18282,1968,17728,19470,17560,2194,18160,2748,780,2026,18102,20128,20908,20238,18328,2136,838,19528,2806,20070,58,168,226,64174,65228,64832,60036,61262,60400,60980,63340,60854,60556,61204,64158,64116,65608,61062,60342,60204,60628,60782,60854,65608,64308,63622,60866,61038,60812,60094,60432,65832,61036,61022,64398,64590,64174,64890,61004,60600,65436,61384,60566,65424,61228,65816,64296,60428,61038,64520,61036,64116,61172,64366,61090,65650,61216,64354,60792,61204,65858,65666,60870,60980,61246,60796,65420,60724,63870,61032,63918,60812,60614,61050,61274,60262,60568,60870,65482,64084,65890,63398,63928,60510,64382,61094,65832,65410,60780,60656,63960,60624,61286,63646,61188,60948,66082,66024,64398,64532,65114,61442,61078,60318,65874,65634,63704,65890,66012,65352,65138,64340,64578,66070,61262,65362,65196,65666,65056,91140,95110,94604,94490,130111,90428,130099,90590,95062,94902,94344,90754,94548,91038,129143,89966,90684,95204,95040,94084,129919,90888,90742,93970,90960,94142,95220,94860,129897,94710,95242,94662,90070,94964,90238,94860,130077,90038,100689,90050,129919,94522,94938,91026,95276,95020,129881,95468,95098,95062,90758,94730,94746,101113,95678,129903,90846,95456,90218,94996,90742,95288,94804,90218,89870,94926,95006,90684,95052,129897,94864,89078,90904,90486,95146,94804,90762,89782,90816,94768,95666,90876,95276,95300,130089,91096,95334,91014,101097,95162,90614,94500,94918,95724,101137,95486,89094,89798,89094,95354,94558,90922,90688,95162,95220,89870,89980,90128,95312,94806,91018,90022,90038,89964,91084,90726,100945,95400,95354,89334,91072,100337,90062,89614,89812,90172,129641,129663,100169,89262,100945,89204,95260,90050,90944,95544,90038,101125,90846,89992,91198,91206,90296,90004,91194,91002,91264,101305,101293,100929,90830,89514,90934,90864,95342,90668,90998,95220,129121,95470,95318,94788,90960,90648,89854,95146,89796,89854,95304,89556,94386,90160,95120,90184,95544,100857,95230,101113,95120,89526,91018,90704,45972,51700,49820,51169,60796,60964,66070,61004,66012,61384,61454,65816,65800,64590,64578,65846,66024,64382,51508,64324,64100,64296,64520,64366,64308,64354,64532,61020,66082,64158,65874,61062,61050,61396,65788,51019,61160,61188,61246,65650,51578,50028,50086,50086,50961,51312,65858,61286,60854,65592,61216,61078,61442,46168,46226,50028,51312,51908,51642,46180,46180,61230,61274,61228
"8",3552,1642,2026,2830,636,1006,20296,0,2974,694,2662,2916,1584,3610,18328,2604,862,2772,18102,2136,19108,21076,18270,2194,168,948,58,1968,18160,21018,804,19050,226,20238,20128,20070,78666,80340,80000,75884,76706,76132,76540,78052,76530,76352,76780,78698,78708,80672,76726,76190,75884,76432,76294,76374,80656,78952,78218,76362,76482,76556,75826,76224,80880,76764,76530,78874,79118,78650,79942,76784,76224,80536,77020,76414,80548,77008,80928,78964,76108,76498,79188,76780,78724,76784,78894,76586,80646,77020,78906,76356,76764,80842,80598,76482,76556,76754,76432,80472,76352,78582,76644,78462,76540,76294,76738,76962,75826,76132,76498,80490,78744,80822,77994,78524,76190,78922,76722,80896,80410,76576,76448,78616,76356,76950,78358,76812,76576,81066,81124,78890,79176,80166,76962,76754,76050,80870,80634,78300,80838,81136,80468,80306,78948,79130,81078,76722,80530,80248,80614,80224,107714,110732,109700,109586,143607,106826,143619,107156,110538,109936,109866,107270,110186,107588,142707,106358,107030,110470,110144,109232,143379,107392,107014,109118,107474,109232,110254,110504,143341,109922,110778,109700,106688,110234,106688,109888,143597,104740,115685,104938,143363,109690,110618,107600,110552,110348,143389,110780,110144,110522,107156,110422,110374,115889,110822,143411,107360,110792,104938,110618,107030,110390,110374,104996,104740,110630,110166,107014,110732,143357,110334,104646,107360,106826,110470,109790,107270,104552,107156,109922,110834,107258,110536,110778,143585,107588,110552,107360,115921,110438,107176,109880,110488,110834,116117,110594,104026,106358,104084,110666,109880,107270,107144,110254,110438,104756,104740,106688,110766,110334,107474,104730,104756,104788,107600,107062,115873,110510,110498,104850,107360,115217,104926,104552,104740,104984,143153,143175,115217,104026,115889,104084,110584,104996,107506,110578,104682,116129,107344,104996,107714,107588,106688,104984,107600,107506,107588,116117,116129,115921,107392,105090,107258,107270,110678,107062,107392,110270,142685,110626,110584,110422,107458,107156,104730,110302,104788,104788,110402,104552,109598,104996,110522,106802,110594,115685,110390,115873,110538,105078,107458,107270,49284,53056,51092,52444,76588,76588,81078,76784,81136,77020,76950,80928,80900,79118,79130,80854,81124,78922,52992,78980,78756,78964,79188,78894,78952,78906,79176,76812,81066,78698,80870,76726,76738,77008,80912,52190,76796,76812,76754,80646,52922,51288,51230,51230,52248,52784,80842,76950,76530,80704,77020,76754,76962,49492,49434,51288,52784,53252,53114,49480,49480,76726,76962,77008
"9",694,2604,948,1416,3610,1968,18882,2974,0,3552,1584,58,2662,636,20850,1642,3384,1474,21076,838,20070,18102,20908,780,2806,2026,2916,1006,21018,18160,3442,20128,2748,18940,19050,19108,78960,80014,79618,74822,76048,75186,75766,78126,75640,75342,75990,78944,78902,80394,75848,75128,74990,75414,75568,75640,80394,79094,78408,75652,75824,75598,74880,75218,80618,75822,75808,79184,79376,78960,79676,75790,75386,80222,76170,75352,80210,76014,80602,79082,75214,75824,79306,75822,78902,75958,79152,75876,80436,76002,79140,75578,75990,80644,80452,75656,75766,76032,75582,80206,75510,78656,75818,78704,75598,75400,75836,76060,75048,75354,75656,80268,78870,80676,78184,78714,75296,79168,75880,80618,80196,75566,75442,78746,75410,76072,78432,75974,75734,80868,80810,79184,79318,79900,76228,75864,75104,80660,80420,78490,80676,80798,80138,79924,79126,79364,80856,76048,80148,79982,80452,79842,105126,109096,108590,108476,144097,104414,144085,104576,109048,108888,108330,104740,108534,105024,143129,103952,104670,109190,109026,108070,143905,104874,104728,107956,104946,108128,109206,108846,143883,108696,109228,108648,104056,108950,104224,108846,144063,104024,114675,104036,143905,108508,108924,105012,109262,109006,143867,109454,109084,109048,104744,108716,108732,115099,109664,143889,104832,109442,104204,108982,104728,109274,108790,104204,103856,108912,108992,104670,109038,143883,108850,103064,104890,104472,109132,108790,104748,103768,104802,108754,109652,104862,109262,109286,144075,105082,109320,105000,115083,109148,104600,108486,108904,109710,115123,109472,103080,103784,103080,109340,108544,104908,104674,109148,109206,103856,103966,104114,109298,108792,105004,104008,104024,103950,105070,104712,114931,109386,109340,103320,105058,114323,104048,103600,103798,104158,143627,143649,114155,103248,114931,103190,109246,104036,104930,109530,104024,115111,104832,103978,105184,105192,104282,103990,105180,104988,105250,115291,115279,114915,104816,103500,104920,104850,109328,104654,104984,109206,143107,109456,109304,108774,104946,104634,103840,109132,103782,103840,109290,103542,108372,104146,109106,104170,109530,114843,109216,115099,109106,103512,105004,104690,48038,53766,51886,53235,75582,75750,80856,75790,80798,76170,76240,80602,80586,79376,79364,80632,80810,79168,53574,79110,78886,79082,79306,79152,79094,79140,79318,75806,80868,78944,80660,75848,75836,76182,80574,53085,75946,75974,76032,80436,53644,52094,52152,52152,53027,53378,80644,76072,75640,80378,76002,75864,76228,48234,48292,52094,53378,53974,53708,48246,48246,76016,76060,76014
"10",2974,948,2604,2136,58,1584,19638,694,3552,0,1968,3610,1006,2916,17670,2026,168,2194,17560,2830,18450,20418,17728,2772,862,1642,636,2662,17502,20476,226,18508,804,19696,19470,19528,78088,79646,79306,75190,76128,75554,75846,77358,75952,75658,76086,78120,78014,79978,76148,75496,75190,75738,75716,75796,79962,78258,77640,75784,75904,75862,75248,75530,80186,76070,75952,78296,78540,78072,79364,76090,75530,79842,76326,75720,79854,76314,80234,78270,75414,75920,78494,76086,78030,76090,78316,76008,80068,76326,78328,75778,76070,80264,80020,75904,75862,76176,75738,79894,75658,77888,75950,77884,75846,75716,76160,76384,75248,75554,75920,79912,78050,80244,77416,77946,75496,78344,76144,80202,79832,75882,75754,77922,75778,76372,77664,76118,75882,80488,80430,78312,78482,79588,76384,76176,75472,80292,80056,77722,80260,80442,79774,79612,78254,78552,80500,76144,79836,79670,80036,79530,107020,110096,109006,108892,142913,106132,142925,106462,109844,109300,109230,106634,109550,106894,142013,105722,106336,109834,109450,108538,142685,106756,106378,108424,106780,108596,109618,109810,142647,109228,110084,109064,105994,109598,105994,109194,142903,104104,114991,104360,142669,108996,109924,106906,109858,109654,142695,110086,109508,109828,106462,109728,109680,115195,110128,142717,106666,110098,104360,109982,106394,109754,109738,104360,104104,109936,109472,106320,110038,142663,109698,103952,106724,106190,109776,109154,106634,103916,106520,109286,110140,106564,109842,110142,142891,106952,109916,106666,115227,109744,106482,109186,109852,110198,115423,109900,103448,105722,103448,109972,109244,106634,106508,109560,109802,104120,104046,106052,110130,109640,106838,104152,104120,104094,106964,106426,115179,109874,109804,104156,106724,114523,104348,103916,104046,104290,142459,142481,114523,103448,115195,103390,109890,104360,106812,109942,104104,115435,106650,104302,107078,106894,106052,104290,106906,106870,106952,115423,115435,115227,106698,104396,106622,106576,109984,106368,106698,109634,141991,109932,109948,109786,106764,106520,104152,109608,104094,104152,109766,103858,108904,104302,109886,106108,109958,114991,109696,115179,109902,104384,106822,106576,48590,52478,50398,51750,75894,75894,80500,76090,80442,76326,76372,80234,80206,78540,78552,80276,80430,78344,52298,78286,78062,78270,78494,78316,78258,78328,78482,76118,80488,78120,80292,76148,76160,76314,80218,51612,76102,76118,76176,80068,52344,50594,50652,50652,51554,52090,80264,76372,75952,80010,76326,76176,76384,48798,48856,50594,52090,52674,52420,48786,48786,76148,76384,76314
