"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100","V101","V102","V103","V104","V105","V106","V107","V108","V109","V110","V111","V112","V113","V114","V115","V116","V117","V118","V119","V120","V121","V122","V123","V124","V125","V126","V127","V128","V129","V130","V131","V132","V133","V134","V135","V136","V137","V138","V139","V140","V141","V142","V143","V144","V145","V146","V147"
"1",0,5436,8047,7953,7737,3607,10944,13698,3487,3449,7919,11846,2170,2012,7004,13764,7004,7004,17374,14886,10598,3449,3453,3105,10632,12372,11703,220,12004,6666,17526,11393,11614,20437,2200,10566,3675,3266,2922,3577,3709,18766,7939,8266,11737,19306,17460,3232,20535,6762,3104,3449,10288,344,11630,4620,3611,3449,18668,11682,10136,14074,8576,4903,12306,4593,20500,6818,7162,7000,6136,6288,6700,6356,8834,8800,22762,17440,17290,5982,6292,6326,618,186,2567,2674,2434,584,18852,18786,2336,2434,18918,3108,3301,9950,10294,3263,11545,8490,20876,8452,1466,1810,4242,443,6283,18852,3365,14140,3878,11846,2966,2949,2850,10136,8063,16268,4222,16160,4188,18730,10474,2124,8809,4218,4252,16268,426,12673,274,27668,20876,13638,20500,18214,15030,20628,29297,19606,15290,18573,18365,17911,17799,19294,19228
"2",5436,0,5086,4800,5272,7668,14823,17486,8016,7578,4834,9944,4834,4992,4098,17552,4284,4098,18258,12872,12476,7826,7864,7888,12318,16476,15750,5216,9786,3462,18355,15970,14896,20595,5006,15167,7804,7263,7607,7864,7736,19334,9110,11944,15592,19903,18289,7297,20693,6464,7293,8012,12662,5092,15037,8423,7706,7544,18765,14828,11386,17908,11792,7035,16410,7345,21008,4284,3940,3778,3236,3084,3428,3772,13014,13048,23156,18324,18244,8506,8196,8162,4964,5436,6926,6864,6992,4964,19241,19175,5356,6992,19431,7641,8050,11572,11228,7978,15970,13358,21430,11978,4302,3958,8767,5184,3704,19365,8114,17940,4644,10130,7404,7500,7532,11572,8800,19482,4300,19623,4458,19528,12662,7336,13106,4472,4438,19482,5308,16562,5274,28974,21430,13558,21008,18024,14634,21136,27049,19100,14894,20616,20382,19844,19360,19853,19787
"3",8047,5086,0,286,310,9624,12906,19155,9524,9466,252,8352,8870,8836,5864,19221,6050,5736,19767,14706,10810,9590,9372,9652,10968,18015,17330,7827,8386,5180,18909,17674,13262,21271,8860,13058,9500,5378,5530,9376,9500,20973,10956,11246,17488,20525,18843,5344,21241,9294,5348,9776,11120,7895,13108,4058,9534,9500,17198,13262,10764,19449,10970,5211,17949,5397,22467,5922,5770,5864,5022,4802,5214,5366,11608,11574,23858,19833,19833,3758,3572,3606,7775,8047,8589,8467,8587,7707,19863,19797,8894,8655,20115,5564,9686,10950,10798,9742,17674,11760,22761,11280,8921,8769,4210,7671,1878,20049,9686,19481,8562,8538,8883,8847,8879,10950,10770,17916,8410,17818,8252,20051,11120,8807,11508,8400,8434,17848,7927,18458,7893,29840,22761,16381,22467,20187,17587,22339,27963,21393,17655,21112,20904,20428,20006,20409,20343
"4",7953,4800,286,0,472,9338,12620,18931,9686,9248,34,8450,8584,8742,5898,18997,6084,5898,19673,14612,11030,9496,9534,9558,10872,17921,17360,7733,8292,4962,18815,17580,13236,21049,8642,12964,9474,5348,5692,9534,9406,20749,11114,11152,17202,20363,18749,5382,21147,9260,5378,9682,11216,7609,13330,3772,9376,9214,16912,13168,10674,19353,11000,5181,17855,5491,22243,6084,5740,5578,4736,4584,4928,5272,11514,11548,23827,19739,19739,3916,3606,3572,7489,7953,8303,8249,8369,7489,19701,19635,8992,8369,19891,5726,9720,10860,10516,9648,17580,11858,22665,11186,8827,8483,4116,7701,1784,19825,9784,19385,8472,8636,8789,8877,8909,10860,10804,17822,8128,17916,8286,19988,11216,8713,11606,8186,8152,17822,7833,18172,7799,29934,22665,16287,22243,20093,17363,22371,28057,21169,17623,20976,20742,20204,19720,20313,20247
"5",7737,5272,310,472,0,9810,13092,19031,9400,9652,438,8414,9056,8898,5926,19097,5926,5798,19457,14396,11120,9652,9434,9342,11154,17705,17640,7889,8572,5366,18599,17364,13448,21457,9046,12748,9686,5564,5220,9686,9686,20849,10832,10936,17674,20379,18533,5530,21427,9480,5658,9652,10810,8081,13418,4244,9720,9686,17384,13448,10826,19407,11280,5397,17639,5087,22343,5612,5956,6050,5208,4988,5400,5056,11794,11760,23734,19523,19523,3448,3758,3792,7961,7923,8775,8653,8773,7893,19925,19859,8956,8841,19991,5440,9376,10640,10984,9432,17550,11450,22719,11156,8611,8955,3900,7981,1568,19925,9376,19439,8252,8414,8945,9157,9189,10826,10956,18102,8596,17880,8562,19803,10996,8497,11570,8586,8620,18034,7803,18644,7583,29658,22719,16071,22343,19877,17463,22215,27781,21269,17531,20966,20758,20304,20192,20367,20301
"6",3607,7668,9624,9338,9810,0,13135,11686,664,158,9372,13388,4609,4767,4352,11752,4538,4352,18062,12838,12284,158,478,502,12126,10676,8830,3421,13230,5396,17108,8982,10440,19720,4639,13513,384,5671,6015,478,384,19138,10869,9957,8672,18688,17074,5705,19818,9221,5701,344,12470,3263,10562,6136,320,158,19956,10406,11579,12108,9737,7491,10610,7801,18768,4538,4194,4032,5886,5746,5362,5706,10349,10383,22281,18128,17928,8334,8024,7990,2989,3607,2316,2012,2252,3057,17994,17960,5057,2218,18184,5981,630,11765,11421,378,9016,10693,19190,9923,4593,4249,6514,3519,9211,18150,694,12208,7067,13574,1720,2058,1960,11765,10559,15026,6723,15182,6881,18281,12470,2528,10605,6787,6753,15060,3367,9574,3367,28602,19190,16135,18768,18896,17211,18896,30206,19972,17471,18498,18264,17726,17242,18606,18572
"7",10944,14823,12906,12620,13092,13135,0,20150,13551,13045,12654,14060,11946,12104,16535,20216,16721,16535,21430,15753,12596,13293,13365,13389,12438,19140,12289,10758,13902,15979,21940,12441,17458,22004,11976,378,13271,7968,8312,13365,13271,22506,16098,10616,12131,23488,21874,8002,22102,15092,7998,13479,12782,10600,17586,8976,13207,13045,13602,17424,12016,20572,10396,9793,19074,10103,24652,16721,16377,16215,15741,15601,15945,16289,10842,10876,25802,21496,21296,11180,10870,10836,10326,10944,12668,12364,12604,10394,22826,22760,12394,12570,23016,8278,13517,12202,11858,13513,12475,11186,25074,10582,11930,11586,9354,10856,11956,22950,13581,20672,13782,14246,12904,13242,13144,12202,15788,16720,13438,16882,13596,23113,12782,12880,11098,13502,13468,16754,10704,13033,10704,28862,25074,20152,24652,22528,21228,24780,30953,23604,21488,22672,22438,21900,21416,23438,23372
"8",13698,17486,19155,18931,19031,11686,20150,0,11854,11596,18965,21584,15072,15106,14946,66,15008,14946,10784,16050,21192,11720,11792,11568,21096,1458,12880,13760,21550,14464,9746,12722,18655,15932,15102,20156,11822,16134,16106,11854,11822,9392,21118,18534,12784,8946,9712,16168,16030,19730,16102,11782,21068,13726,18698,16374,11758,11596,20982,18621,20412,1238,18624,17959,1392,17897,7882,14884,14912,14750,14954,14814,14430,14402,19316,19350,12668,10850,10650,18206,18268,18234,13452,13822,11954,11650,11890,13520,9708,9674,15396,11856,8354,16196,11696,20350,20378,11692,12880,19288,9120,18624,14684,14712,16380,13920,18657,8320,11760,1338,17166,21646,11234,11634,11536,20474,21056,20161,17194,20176,17290,9357,21192,11794,19448,17258,17224,20195,13582,13686,13458,28518,9120,16502,7882,11618,15110,8010,29758,10226,15370,10272,10038,9412,11768,9592,9558
"9",3487,8016,9524,9686,9400,664,13551,11854,0,506,9652,13244,4991,4833,4188,11920,4002,4060,17908,12684,12270,506,220,382,12304,10590,8986,3453,13402,5676,16954,8896,10528,20004,4987,13393,472,5763,5605,472,472,19238,10312,9803,9020,18684,16920,5729,19906,9362,5857,320,12146,3645,10524,6552,506,540,20304,10528,11614,12158,9961,7521,10524,7397,18868,4060,4218,4380,6234,6026,5710,5552,10557,10523,22147,17974,17774,7933,8057,8091,3405,3301,2666,2292,2532,3337,18094,18060,4829,2600,18284,5453,348,11614,11772,472,8710,10399,19172,9651,4473,4631,6394,3677,9057,18250,348,12190,6916,13058,1752,2216,2116,11428,10622,15182,7074,14986,7040,18158,11960,2442,10465,7070,7104,15114,3061,9990,3213,28378,19172,15981,18868,18742,17311,18740,29912,20072,17311,18470,18262,17828,17592,18588,18554
"10",3449,7578,9466,9248,9652,158,13045,11596,506,0,9214,13246,4519,4609,4194,11662,4380,4194,17904,12680,12147,248,320,344,12057,10518,8672,3263,13156,5238,16950,8824,10314,19630,4481,13355,226,5581,5857,320,294,19048,10745,9799,8582,18598,16916,5547,19728,9177,5543,434,12333,3173,10434,6046,230,68,19866,10348,11429,11952,9579,7338,10452,7648,18678,4380,4104,3942,5796,5588,5272,5548,10277,10243,22218,17970,17770,8182,7872,7906,2899,3449,2226,1854,2094,2899,17904,17870,4899,2128,18094,5823,472,11615,11339,468,8858,10553,19034,9765,4435,4159,6356,3361,9053,18060,536,12052,6917,13432,1562,1900,1802,11615,10435,14968,6641,15054,6731,18123,12333,2370,10465,6637,6671,14934,3209,9484,3209,28572,19034,15977,18678,18738,17121,18806,30172,19882,17381,18382,18174,17636,17152,18450,18416
