"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100","V101","V102","V103","V104","V105","V106","V107","V108","V109","V110","V111","V112","V113","V114","V115","V116","V117","V118","V119","V120","V121","V122","V123","V124","V125","V126","V127","V128","V129","V130","V131","V132","V133","V134","V135","V136","V137","V138","V139","V140","V141","V142","V143","V144","V145","V146","V147","V148","V149","V150","V151","V152","V153","V154","V155","V156","V157","V158","V159","V160","V161","V162","V163","V164","V165","V166","V167","V168","V169","V170","V171","V172","V173","V174","V175","V176","V177","V178"
"1",0,36,30,30,34,26,30,34,34,32,12,22,34,38,18,42,40,36,34,30,30,42,44,44,46,42,44,38,40,30,34,18,24,4,24,22,34,38,28,10,32,34,22,42,38,44,38,30,36,32,28,46,44,34,42,44,42,24,20,24,44,46,38,32,28,42,42,40,42,42,24,24,30,28,30,30,20,26,38,30,30,44,42,34,18,48,40,22,16,14,20,36,44,38,8,20,40,34,42,44,36,28,4,22,30,40,26,40,32,28,32,36,28,16,44,36,44,8,26,44,44,28,38,26,36,32,40,40,14,42,22,36,26,22,26,28,8,38,20,24,28,22,44,12,32,20,20,38,14,36,24,32,26,26,8,32,38,34,40,38,36,34,30,24,22,26,10,36,26,12,38,18,24,24,44,32,42,46
"2",36,0,26,34,34,36,30,28,36,10,40,26,34,36,36,30,32,18,40,28,30,44,44,40,46,32,42,38,38,28,22,16,16,36,32,24,34,20,40,24,14,20,32,40,42,44,36,40,22,30,28,44,44,34,44,36,34,28,36,32,44,46,26,12,28,44,46,38,46,36,28,30,24,28,34,26,28,28,14,20,20,42,44,36,38,48,38,22,24,32,36,14,42,40,24,30,18,40,42,40,36,30,42,32,22,34,26,24,26,40,32,26,18,8,16,24,34,38,44,36,30,30,36,28,38,32,42,40,16,32,24,16,22,36,36,30,16,40,22,18,28,18,38,18,24,36,44,32,26,32,6,36,26,22,38,34,38,32,32,40,24,24,34,22,20,34,28,2,36,36,46,26,24,38,22,26,42,46
"3",30,26,0,18,30,34,24,32,34,32,40,32,36,34,38,30,18,34,38,24,40,46,44,40,42,32,42,8,8,12,28,16,38,24,28,20,28,20,40,38,32,26,24,42,42,36,34,32,42,12,38,46,44,36,42,38,36,20,26,26,44,46,24,28,30,46,46,36,42,44,30,22,30,26,48,28,30,14,32,20,38,44,42,30,24,44,44,22,20,22,28,34,40,2,38,26,38,40,42,42,24,18,36,30,36,28,26,24,14,16,36,24,26,8,14,50,2,16,28,24,24,38,36,24,32,36,42,6,12,32,36,18,20,36,30,34,42,34,24,38,40,24,38,14,40,36,36,10,18,32,42,42,40,30,18,32,42,22,38,44,38,22,40,24,34,38,36,2,28,40,38,40,10,26,30,30,36,46
"4",30,34,18,0,36,28,38,34,34,30,28,42,34,32,20,30,38,18,36,34,36,42,44,46,42,42,40,4,14,36,24,14,14,36,22,30,28,20,18,26,18,28,28,44,40,42,32,34,36,42,34,40,34,38,40,38,38,28,26,30,44,36,4,28,34,42,42,30,36,38,36,24,28,32,32,18,36,22,12,30,14,42,42,32,40,46,44,28,22,28,34,16,44,20,22,24,36,40,42,40,24,26,24,30,26,2,34,16,40,20,40,28,40,38,24,34,32,22,28,38,46,28,32,36,38,36,8,38,42,34,38,38,20,36,34,30,36,30,38,14,38,36,30,36,10,24,30,8,20,16,36,34,8,26,12,38,42,24,28,36,28,36,32,22,30,44,16,36,32,28,40,8,44,34,26,26,28,40
"5",34,34,30,36,0,30,30,36,38,36,34,36,30,42,38,38,34,38,44,26,4,38,44,44,44,44,46,38,20,20,26,32,32,36,20,26,24,32,42,24,24,26,34,40,44,44,36,38,32,32,10,40,34,42,42,40,36,30,28,34,44,36,6,30,32,38,42,38,42,40,32,24,26,28,36,30,26,30,28,26,36,40,40,26,22,44,46,32,34,30,38,38,32,24,24,20,26,42,42,46,18,40,38,22,22,24,26,20,38,38,18,24,24,30,20,24,32,36,24,24,28,34,36,26,32,38,6,20,30,40,22,22,20,34,30,32,26,40,34,20,16,28,28,28,24,26,34,28,24,12,26,34,36,38,38,22,44,22,38,44,38,28,36,20,26,36,28,34,38,42,38,22,24,40,42,26,26,44
"6",26,36,34,28,30,0,38,36,34,44,42,28,18,32,18,38,38,44,34,26,34,46,40,40,46,44,42,28,22,26,34,30,12,22,36,28,20,16,24,22,20,22,42,40,42,32,38,26,36,34,36,46,44,40,42,42,38,28,24,50,40,42,6,30,30,46,44,36,34,42,30,24,24,32,36,38,34,30,30,22,16,42,46,30,34,46,50,34,26,24,36,34,40,24,28,26,38,40,38,44,22,12,26,34,34,22,36,22,16,24,30,44,28,22,30,34,32,30,24,38,40,40,28,14,26,4,38,18,30,36,18,30,36,30,28,32,38,38,32,32,30,4,30,26,26,38,32,32,10,10,36,14,40,38,32,24,40,44,16,38,36,34,38,22,32,36,26,14,50,28,38,24,30,48,46,22,32,44
"7",30,30,24,38,30,38,0,36,38,34,32,28,40,46,40,36,36,30,28,40,2,46,44,46,34,38,42,38,22,28,26,16,30,38,10,30,18,34,42,28,22,30,30,44,40,32,42,38,34,40,8,42,44,42,42,40,36,20,26,32,44,46,24,34,30,46,46,44,40,40,26,30,30,28,36,30,22,22,14,18,34,36,42,18,34,32,38,34,20,24,34,26,38,26,30,26,26,46,42,44,24,12,34,30,32,26,22,30,38,40,30,42,32,14,30,26,28,20,26,4,26,38,30,26,32,40,16,14,12,30,30,22,30,28,30,32,28,32,28,38,26,40,16,24,28,22,32,34,24,20,28,20,30,12,10,40,38,38,30,24,36,26,36,42,28,40,40,6,34,36,40,36,26,36,40,34,4,24
"8",34,28,32,34,36,36,36,0,30,36,34,46,34,34,38,32,30,30,32,38,38,44,48,48,40,38,40,38,20,34,34,20,28,20,14,18,14,10,40,30,30,34,34,44,44,40,40,38,34,34,40,36,36,46,42,44,36,32,26,36,48,38,20,28,24,44,34,42,34,42,30,30,28,30,38,34,48,18,30,28,34,44,42,26,30,42,38,30,18,32,22,34,42,24,26,34,34,46,48,42,24,18,40,36,28,16,38,26,26,38,28,24,34,40,32,30,36,24,10,6,26,32,28,40,30,34,16,42,26,36,22,20,32,34,36,36,36,24,24,18,28,24,16,28,26,22,36,34,8,26,32,32,32,28,16,40,38,30,38,42,40,48,36,42,30,40,10,38,38,42,38,8,26,40,44,32,6,4
"9",34,36,34,34,38,34,38,30,0,40,30,36,24,32,34,34,28,30,46,42,40,46,42,46,40,46,46,22,26,34,28,34,16,38,28,32,20,36,20,22,26,32,36,42,48,42,42,10,34,34,38,42,42,36,42,44,34,26,28,38,42,44,28,28,26,46,40,44,38,42,22,32,26,26,36,30,30,36,14,30,20,38,42,32,32,40,6,30,34,36,34,18,42,30,34,14,38,44,40,34,20,14,48,34,34,42,26,28,16,28,30,20,32,34,30,36,36,30,8,8,22,32,28,28,16,30,12,32,40,38,26,16,28,38,38,42,40,22,22,14,26,6,20,28,34,14,52,30,40,20,38,38,34,24,28,40,28,38,40,38,26,36,30,30,30,42,14,12,38,44,40,16,30,36,36,8,32,40
"10",32,10,32,30,36,44,34,36,40,0,40,36,22,28,36,30,42,38,26,4,34,46,48,42,40,46,46,40,28,14,18,16,30,36,34,12,14,14,22,24,36,28,36,44,44,42,46,32,10,34,36,34,44,36,38,42,36,24,24,38,48,42,26,32,26,46,40,48,44,32,30,24,26,26,32,30,20,16,16,26,34,40,46,34,30,42,4,24,8,32,28,16,40,32,34,30,38,46,46,36,24,8,36,28,26,18,34,26,6,36,18,36,34,12,30,40,36,38,16,16,38,36,28,28,24,18,40,36,16,32,42,30,22,30,34,36,52,34,26,22,16,16,14,40,28,20,34,32,38,22,50,16,34,22,38,34,44,32,34,42,24,28,36,20,30,40,12,16,38,36,38,12,34,36,44,24,24,36
"11",12,40,40,28,34,42,32,34,30,40,0,34,28,30,36,32,26,40,30,38,14,40,46,44,42,46,46,24,36,24,28,24,14,20,30,18,16,34,22,22,26,16,36,44,44,36,36,40,38,36,12,40,32,30,42,44,38,26,22,38,46,32,28,24,14,40,40,38,42,44,32,32,28,22,32,38,32,16,34,28,18,44,46,24,28,44,40,20,12,30,22,36,36,42,36,36,34,46,44,38,22,16,40,32,34,16,34,26,40,38,14,32,30,38,38,32,32,24,10,12,38,32,38,22,24,30,30,18,14,38,42,32,22,34,32,36,38,6,28,36,18,30,16,38,32,18,38,30,28,22,34,40,46,28,24,30,8,36,18,38,36,34,36,44,32,38,36,32,38,30,32,32,14,38,30,24,40,26
"12",22,26,32,42,36,28,28,46,36,36,34,0,36,42,34,32,36,44,18,6,38,42,44,42,40,46,44,40,20,26,16,26,16,26,28,28,16,36,4,30,14,14,30,42,42,36,36,40,36,36,40,34,32,10,48,44,42,20,22,32,44,32,28,28,32,42,42,38,40,46,30,32,28,26,18,10,22,22,14,22,16,42,48,38,32,40,4,18,26,18,24,24,42,22,32,34,28,46,46,36,22,20,34,38,32,26,28,26,12,20,18,28,32,28,32,36,34,10,12,12,46,32,30,36,44,36,34,24,10,32,24,34,26,32,28,34,42,32,28,22,16,14,14,20,32,22,38,30,38,20,38,24,38,12,16,28,42,40,16,36,36,30,40,26,42,36,22,30,32,42,38,30,14,36,42,26,22,38
